replicate,temperature,block_size,count_value,heldout_probability,single_clock_probability,two_clock_probability,hmm_probability,poisson_probability
4.0,0.58,20.0,4.0,0.00039587955364580327,0.0005587386984875247,0.0005668185194093021,0.0005615683582371399,0.00020594956520720415
4.0,0.58,20.0,5.0,5.773243490667964e-05,6.219586566649946e-05,6.467718295416003e-05,4.860428642619121e-05,1.172724713691312e-05
4.0,0.58,50.0,0.0,0.5128674600752721,0.5240767052479199,0.5238085082196183,0.5249313488041478,0.49379982148967827
4.0,0.58,50.0,1.0,0.30190214627199674,0.31083869341188064,0.31139396503880157,0.30190655414316,0.3484375304316853
4.0,0.58,50.0,2.0,0.1330485199877937,0.11696263646209043,0.11677091708159199,0.12255308980620315,0.12293312728128374
4.0,0.58,50.0,3.0,0.03903977214932357,0.03555689349799103,0.035426568464163,0.03868331957876214,0.028914898584418855
4.0,0.58,50.0,4.0,0.01063981283694436,0.009524369946421581,0.009516394845680287,0.009610367235863771,0.005100769287969525
4.0,0.58,50.0,5.0,0.0019530057979859627,0.002344702035570363,0.002364759507176483,0.0019355312301727874,0.0007198461306203762
4.0,0.58,50.0,6.0,0.0005289390702878649,0.000543322552005511,0.0005571145853032408,0.00032598552429352184,8.465691194713236e-05
4.0,0.58,50.0,7.0,2.0343810395687112e-05,0.00012029051168163841,0.0001263230845695326,4.7102779147094313e-05,8.533719839244042e-06
5.0,0.58,20.0,0.0,0.7506618611287516,0.754837331480048,0.754810954845915,0.746682583000686,0.7474198718945378
5.0,0.58,20.0,1.0,0.2069542841590446,0.20517947769707195,0.20524775774129378,0.2081850634861732,0.21759498270505565
5.0,0.58,20.0,2.0,0.03718793557060265,0.03469002369652894,0.034640861241173035,0.03931261763972008,0.03167401502076619
5.0,0.58,20.0,3.0,0.0046928222088429596,0.004676989467144311,0.0046780968652487195,0.00524444761428103,0.0030737327214190786
5.0,0.58,20.0,4.0,0.00048660195135629986,0.0005504707952436707,0.0005549015954021646,0.000529416147388138,0.0002237125488320977
5.0,0.58,20.0,5.0,1.649498140190847e-05,5.9133164352996115e-05,6.05200274692529e-05,4.281110346791664e-05,1.3025805179794005e-05
5.0,0.58,50.0,0.0,0.5132743362831859,0.5153607252261369,0.5153607252261369,0.49949658918679696,0.4860061876834049
5.0,0.58,50.0,1.0,0.30472993591699726,0.3145913976506585,0.3145913976506585,0.31285893480319293,0.350669951349147
5.0,0.58,50.0,2.0,0.12938663411657003,0.12023889886848933,0.12023889886848933,0.1335577593906186,0.12651013289085747
5.0,0.58,50.0,3.0,0.04013833791069067,0.036809005150228696,0.036809005150228696,0.04177586449983906,0.030427117507476634
5.0,0.58,50.0,4.0,0.009887091852303936,0.009868313789598914,0.009868313789598914,0.010019692609323417,0.005488549367499104
5.0,0.58,50.0,5.0,0.002339538195504018,0.002420428973912413,0.002420428973912413,0.0019318274675562013,0.0007920349116756819
5.0,0.58,50.0,6.0,0.00020343810395687112,0.0005568389010426304,0.0005568389010426304,0.0003107064286780486,9.524667620249351e-05
5.0,0.58,50.0,7.0,4.0687620791374224e-05,0.00012205361872709218,0.00012205361872709218,4.284314358552463e-05,9.817672566005021e-06
