model,replicate,realization,temperature,lag,block_size,predicted_msd,observed_msd,msd_relative_error,predicted_ngp,observed_ngp,ngp_absolute_error,surrogate_base_seed,calibration_events_only,external_cage_channel_used,calibration_cage_residual_transfer,heldout_events_used_in_calibration,heldout_cage_residual_used_in_prediction,macro_fit_parameter_count,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25
state_schedule_without_anchor_geometry,1.0,4.0,0.58,100.0,20.0,0.7310536468919627,0.6244853324897498,0.1706498277186712,0.4145140447801585,0.2825033492140283,0.1320106955661302,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6419954164609238,0.6748742076596806,0.03287879119875681,0.2498718360466209,0.25770578929215066,0.007833953245529768,0.06326243149176732,0.03757140173250425,0.025691029759263066
state_schedule_without_anchor_geometry,1.0,4.0,0.58,200.0,20.0,1.2808302787869394,1.1970958003749623,0.06994801784932281,0.322908441286228,0.17003137790337108,0.1528770633828569,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47044497952351366,0.4733264732392782,0.002881493715764516,0.10863241345709933,0.07641999280253814,0.03221242065456119,0.020558561314543887,0.0035374896626027496,0.01702107165194114
state_schedule_without_anchor_geometry,1.0,4.0,0.58,400.0,20.0,2.3593419861113456,2.302522122507715,0.024677228091840142,0.2667525877749122,0.08241548506967367,0.1843371027052385,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2665418644377244,0.2367746362454057,0.029767228192318668,0.029930583690526487,0.005007075510426834,0.024923508180099654,0.005267525041166431,-0.0015893870932790705,0.006856912134445501
state_schedule_without_anchor_geometry,1.0,4.0,0.58,600.0,20.0,3.4288573866687084,3.5092386999443375,0.022905627159789388,0.23448807015653683,0.04880248109629837,0.18568558906023847,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15910446404174497,0.10971466137823888,0.049389802663506094,0.01139090897374008,0.003664696471714173,0.007726212502025907,0.001461129353794148,-0.002099056579231919,0.0035601859330260674
anchor_aware_semi_markov,1.0,5.0,0.58,20.0,20.0,0.22618784466118208,0.16660841604263024,0.35760155479364975,0.7393847135783909,0.5385549106326213,0.20082980294576958,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8668621260748401,0.8977103424506039,0.030848216375763737,0.6080911935071954,0.6706091522002315,0.06251795869303611,0.28786847052865544,0.3302563514537057,0.04238788092505025
anchor_aware_semi_markov,1.0,5.0,0.58,100.0,20.0,0.7070366632156532,0.6244853324897498,0.13219098420899789,0.3869014036470886,0.2825033492140283,0.10439805443306027,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6487052188784244,0.6748742076596806,0.026168988781256286,0.25259116119161107,0.25770578929215066,0.005114628100539587,0.0626227451261444,0.03757140173250425,0.025051343393640145
anchor_aware_semi_markov,1.0,5.0,0.58,200.0,20.0,1.2534145160912522,1.1970958003749623,0.04704612253977447,0.3308114515022327,0.17003137790337108,0.1607800735988616,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47488337169138356,0.4733264732392782,0.001556898452105382,0.10899249436604425,0.07641999280253814,0.03257250156350611,0.019707388693199695,0.0035374896626027496,0.016169899030596947
anchor_aware_semi_markov,1.0,5.0,0.58,400.0,20.0,2.3592754915575114,2.302522122507715,0.024648349084257948,0.28606110477371605,0.08241548506967367,0.20364561970404238,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26298291874600754,0.2367746362454057,0.026208282500601837,0.027546258379190988,0.005007075510426834,0.022539182868764156,0.004320917859714024,-0.0015893870932790705,0.005910304952993094
anchor_aware_semi_markov,1.0,5.0,0.58,600.0,20.0,3.453003971159672,3.5092386999443375,0.016024765937283636,0.24969768383682167,0.04880248109629837,0.2008952027405233,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152430007106367,0.10971466137823888,0.04271534572812813,0.003948435422596083,0.003664696471714173,0.00028373895088191006,0.0011833665662582197,-0.002099056579231919,0.0032824231454901386
state_schedule_without_anchor_geometry,1.0,5.0,0.58,20.0,20.0,0.22995773510397996,0.16660841604263024,0.380228805759371,0.7772797536545406,0.5385549106326213,0.23872484302191932,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8652509241617445,0.8977103424506039,0.03245941828885934,0.6059228270046364,0.6706091522002315,0.06468632519559514,0.2871445489330797,0.3302563514537057,0.043111802520625964
state_schedule_without_anchor_geometry,1.0,5.0,0.58,100.0,20.0,0.729623059715895,0.6244853324897498,0.16835900181510022,0.4194814507164826,0.2825033492140283,0.13697810150245426,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6430499940522715,0.6748742076596806,0.03182421360740917,0.24964059816091086,0.25770578929215066,0.008065191131239796,0.06200209527542414,0.03757140173250425,0.024430693542919893
state_schedule_without_anchor_geometry,1.0,5.0,0.58,200.0,20.0,1.2733380897972595,1.1970958003749623,0.0636893800800371,0.32072978386694184,0.17003137790337108,0.15069840596357076,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4731097597559051,0.4733264732392782,0.00021671348337309881,0.10835237161980282,0.07641999280253814,0.031932378817264684,0.019198095288697693,0.0035374896626027496,0.015660605626094944
state_schedule_without_anchor_geometry,1.0,5.0,0.58,400.0,20.0,2.3498759269699905,2.302522122507715,0.02056605841020187,0.27993535339834374,0.08241548506967367,0.19751986832867008,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2698489462113174,0.2367746362454057,0.03307430996591168,0.030672932078427105,0.005007075510426834,0.025665856568000273,0.0029639534612554393,-0.0015893870932790705,0.00455334055453451
state_schedule_without_anchor_geometry,1.0,5.0,0.58,600.0,20.0,3.4221432453172804,3.5092386999443375,0.0248189029228586,0.26100889666415905,0.04880248109629837,0.21220641556786068,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16275356581326744,0.10971466137823888,0.05303890443502857,0.011031872776531233,0.003664696471714173,0.00736717630481706,0.00193358925102639,-0.002099056579231919,0.00403264583025831
anchor_aware_semi_markov,1.0,6.0,0.58,20.0,20.0,0.22777700690348052,0.16660841604263024,0.36713986192149517,0.7664438443650201,0.5385549106326213,0.22788893373239882,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8662459079276597,0.8977103424506039,0.03146443452294423,0.6074568906109165,0.6706091522002315,0.06315226158931508,0.28756170516393903,0.3302563514537057,0.04269464628976666
