record_type,persistence_exchange_ratio,persistence_mean,exchange_mean,diffusion_coefficient,tau_alpha,stokes_einstein_product,late_time,late_ngp,time,ngp,alpha_decay
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.21423344278304238,0.02533335718724968,0.9934717309627377
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.22265260317502825,0.02545013893152912,0.9932008105369375
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.23140262816399382,0.0256012054733167,0.9929181347824101
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.24049652039823627,0.025787788220094934,0.9926231580370226
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.24994779351714785,0.026011259696850135,0.9923153070989733
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.2597704922326558,0.026273142935008296,0.991993979727832
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.2699792131998425,0.026575121588985114,0.9916585430615849
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.28058912670776076,0.026919050806255895,0.991308331945309
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.2916159992226755,0.027306968873142313,0.990942647166946
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.30307621681723335,0.02774110965296796,0.9905607535954957
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.3149868095203749,0.028223915826476084,0.990161878216806
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.32736547662417326,0.028758052936523615,0.9897452080620054
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.3402306129852081,0.02934642422856202,0.9893098880235038
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.3536013363595556,0.029992186266918394,0.9888550185533865
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.36749751581201645,0.030698765293033337,0.988379653238941
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.38193980124179916,0.031469874276157925,0.9878827962499992
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.3969496540685326,0.032309530589329484,0.9873633996527488
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.41254937912420836,0.03322207422424005,0.9868203605846654
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.4287621577984437,0.034212186437672695,0.9862525182852666
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.4456120824863214,0.0352849087000888,0.985658650977473
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.4631241923899957,0.03644566179474631,0.9850374725945016
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.481324510727264,0.03770026489240586,0.9843876293474266
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.5002400834023989,0.039054954406020775,0.9837076961287995
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.5198990191967058,0.04051640240891322,0.9829961727480836
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.5403305315385298,0.04209173438354953,0.9822514799950881
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.5615649819147807,0.043788546054666685,0.9814719555281252
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.5836339249884877,0.045614919051833236,0.9806558495842692
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.6065701554894299,0.047579435144571226,0.9798013205098646
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.6304077569475227,0.04969118879577709,0.9789064301103524
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.6551821523413748,0.05195979778967303,0.9779691388195485
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.6809301567372843,0.054395411704743726,0.9769873006897538
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.7076900319968953,0.05700871802192442,0.9759586582054999
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.7355015436348115,0.05981094567836896,0.9748808369253753
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.7644060199106549,0.06281386589561815,0.9737513399582379
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.7944464132433845,0.06602979012335901,0.9725675422822232
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.8256673640391364,0.06947156493911594,0.9713266849173399
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.8581152670274361,0.07315256372624564,0.9700258689651002
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.8918383402043552,0.07708667490899247,0.9686620495316078
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.9268866964850643,0.08128828644938019,0.9672320295538273
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,0.9633124181722635,0.0857722662001708,0.9657324535524163
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,1.0011696343511465,0.09055393755842239,0.9641598013385294
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,1.0405146013259077,0.09564904967367995,0.9625103817064214
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,1.0814057862173243,0.10107374123628698,0.9607803261485157
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,1.1239039538456412,0.10684449661061018,0.9589655826348553
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,1.1680722570278672,0.11297809279555805,0.957061909504556
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,1.2139763304236624,0.11949153540420027,0.9550648695230244
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,1.2616843880692743,0.12640198157435825,0.9529698241652983
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,1.3112673247444653,0.13372664747208318,0.9507719281929183
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,1.3627988213230546,0.1414826978535828,0.9484661245992175
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,1.4163554542636347,0.14968711502983248,0.9460471400058337
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,1.472016809403158,0.15835654455503598,0.943509480601546
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,1.5298656002225033,0.16750711505277835,0.9408474287232049
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,1.5899877907597617,0.17715422982021142,0.9380550401874828
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,1.652472723353887,0.18731232821999078,0.9351261424913854
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,1.717413251408545,0.1979946153912776,0.9320543340088138
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,1.784905877373453,0.20921275948377963,0.9288329843198866
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,1.855050896148247,0.22097655644251368,0.9254552358190671
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,1.9279525441219758,0.23329356333591422,0.9219140067572786
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,2.0037191540696973,0.24616870231683086,0.9182019958819345
curve,12.0,12.0,1.0,0.35,14.22077659852199,4.977271809482696,nan,nan,2.0824633161363595,0.2596038385195801,0.9143116888469893
