protocol,held_clone_index,basis,memory_order,lag_frames,correlation_component,observed,predicted,thermodynamic_claim_allowed
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,28.0,pp,-0.010201116710687175,-0.011044535898152408,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,29.0,uu,0.28430852074693386,0.1995305942065712,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,29.0,up,0.0701130879622734,0.06418836772254743,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,29.0,pu,-0.06894208992511527,-0.06348474202908008,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,29.0,pp,-0.035371334211355215,-0.03580715089626778,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,30.0,uu,0.2725904784868913,0.18869172889571575,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,30.0,up,0.06219631345577359,0.05618274054683557,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,30.0,pu,-0.06086896021598641,-0.05546334932769216,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,30.0,pp,-0.0521022372221113,-0.05226903456416891,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,31.0,uu,0.26253556219568014,0.17951112029195807,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,31.0,up,0.05200576614391703,0.04595475865332974,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,31.0,pu,-0.05053193618402162,-0.04521484217198821,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,31.0,pp,-0.06079518800477339,-0.060540976592639247,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,32.0,uu,0.254423979110264,0.1722608041960919,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,32.0,up,0.040912419423865226,0.034909963659517006,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,32.0,pu,-0.03932442218010403,-0.034149084518925274,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,32.0,pp,-0.06234959547438548,-0.061454104979735406,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,33.0,uu,0.2483021215204155,0.16697922472044932,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,33.0,up,0.030076332395209862,0.024238999198876503,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,33.0,pu,-0.028407824106420825,-0.02347252852469348,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,33.0,pp,-0.058250213466998595,-0.056405422238819905,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,34.0,uu,0.24403651595582884,0.16351262341301726,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,34.0,up,0.020345668923131673,0.014858282338922548,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,34.0,pu,-0.018647016629978426,-0.01410101880736911,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,34.0,pp,-0.05019280782662475,-0.047208775651333655,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,35.0,uu,0.24137240193746884,0.1615719409916845,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,35.0,up,0.012245529157794229,0.007351934231348455,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,35.0,pu,-0.010580995355345244,-0.006612023116899689,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,35.0,pp,-0.03998284487516862,-0.03566066326822352,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,36.0,uu,0.23998512758627744,0.16079385878003635,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,36.0,up,0.006033157618815559,0.0019917501436431903,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,36.0,pu,-0.004440911068341571,-0.001276369216192266,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,36.0,pp,-0.029096011484436503,-0.023433465628766376,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,37.0,uu,0.239526686758642,0.16079008433523484,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,37.0,up,0.0017414577828258704,-0.0012345249160394635,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,37.0,pu,-0.00023366251492950698,0.00191604319388086,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,37.0,pp,-0.018757797597105778,-0.012004898070554328,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,38.0,uu,0.23966604312986095,0.16119647021632452,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,38.0,up,-0.0007990733156507417,-0.002570679563905081,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,38.0,pu,0.00224082412252118,0.003198456044110696,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,38.0,pp,-0.009857139001560626,-0.002440398327126587,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,39.0,uu,0.2401162352914379,0.16170450902020445,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,39.0,up,-0.0019098610476532274,-0.002406767588433763,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,39.0,pu,0.0032965779267470512,0.0029872812747946524,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,39.0,pp,-0.002860666241663895,0.00458954423085209,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,40.0,uu,0.2406534207361794,0.16208739432499528,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,40.0,up,-0.0019405631148251977,-0.0012243425297132253,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,40.0,pu,0.0032788378396420006,0.0017503091790177917,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,40.0,pp,0.002118915226955027,0.008815385747906608,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,41.0,uu,0.2411171670407262,0.16220263204881621,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,41.0,up,-0.0012355899581903773,0.0004908641626736774,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,41.0,pu,0.0025473537332214857,-2.3767225666210797e-05,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,41.0,pp,0.0052194703977981585,0.010385579328706684,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,42.0,uu,0.24140642515739077,0.1619931675549676,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,42.0,up,-0.00013345309298249303,0.0022889865508187923,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,42.0,pu,0.0014230241177932937,-0.0018801107910173759,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,42.0,pp,0.006667031141992778,0.009708518036058511,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,43.0,uu,0.24147477955526603,0.16147511334571968,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,43.0,up,0.001123826843358426,0.0038269035405755175,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,43.0,pu,0.00015571521076178688,-0.0034710739741181597,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,43.0,pp,0.006960547941730324,0.007478317335952248,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,44.0,uu,0.24131078776309506,0.16071494991798982,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,44.0,up,0.0023723092010366404,0.004898224821975528,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,44.0,pu,-0.0010857168736168516,-0.004586483850831588,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,44.0,pp,0.006546743048030005,0.004514782285543382,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,45.0,uu,0.24092458789729257,0.1598036938952177,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,45.0,up,0.0035296751331933755,0.005443810786050295,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,45.0,pu,-0.002244017419806398,-0.00516459343821018,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,45.0,pp,0.005983625769772657,0.0016274688933029283,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,46.0,uu,0.2403352805369402,0.15883119847526295,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,46.0,up,0.004569206387562948,0.005539026319154219,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,46.0,pu,-0.0033052469205342174,-0.005279549509942815,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,46.0,pp,0.005456783232465205,-0.0005049684928451983,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,47.0,uu,0.23955593673568007,0.15786446051221156,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,47.0,up,0.005549726643154144,0.005362008571462657,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,47.0,pu,-0.004310919982553845,-0.005109659661503517,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,47.0,pp,0.0051270251261447495,-0.0014233634825316674,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,48.0,uu,0.23859562122384642,0.15693280289663308,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,48.0,up,0.006463752118388017,0.005149697953392647,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,48.0,pu,-0.0052848747198996895,-0.004893231520051724,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,48.0,pp,0.004901912619548574,-0.0009344318980055699,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,49.0,uu,0.23746018899082466,0.1560214629031744,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,49.0,up,0.007316620018591113,0.005149504209533228,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,49.0,pu,-0.006240053585313085,-0.0048799258993413065,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,49.0,pp,0.004628590715777934,0.0008871856102567132,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,50.0,uu,0.23615885741632486,0.15507369862516762,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,50.0,up,0.008104461843045445,0.005574213092701787,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,50.0,pu,-0.0071527592358663645,-0.005285299945943193,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,50.0,pp,0.004292116991860078,0.003736357679878258,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,51.0,uu,0.2347064985111816,0.15400025883966142,0.0
discovery_leave_one_clone_out_memory_scan,1.0,relative_phase_generator,40.0,51.0,up,0.008782188562258163,0.006566368997266759,0.0
