temperature,restart,model,realization,lag,block_size,predicted_msd,predicted_ngp,predicted_fs_k2,predicted_fs_k4,predicted_fs_k7p25,target_msd,target_ngp,target_fs_k2,target_fs_k4,target_fs_k7p25,support_pass,heldout_path_used_in_prediction,heldout_observables_used_as_model_inputs,calibration_budget_equal_to_nulls,one_step_jump_law_retained,two_point_path_spectrum_retained,particle_identity_retained,static_particle_environment_retained,finite_exchange_environment_retained,ordered_path_memory_retained,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed
0.45,1,finite_exchange_environment,2,200,20,0.3935306621229435,0.12204149424557409,0.7723238275199793,0.3705405684301487,0.050961228057575,0.07543971565197483,2.0528096750212144,0.9531991465279716,0.8424536039827798,0.6251232912663965,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,2,500,20,0.983757019618678,0.06960214155892941,0.5262443075343921,0.0892179445423162,0.0008003572987979282,0.12726889615088294,2.240207131422164,0.9252086699236458,0.7741688168233672,0.533395281820343,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,2,1000,20,1.969766007083922,0.0424893215186386,0.2777410204662039,0.008940776012607095,-0.0016213864485973188,0.21371648432894896,2.035011317785304,0.8825336715723144,0.6840225543370759,0.43196745142274323,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,2,2000,20,3.9431032254431884,0.015458370003229138,0.07479182237987025,2.1766962198548168e-05,0.0003436480934339027,0.38494087781746295,1.5320813966552245,0.8061233874084176,0.5436221107653332,0.29754222992878293,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,2,3000,20,5.9362515173475545,0.005962830383414053,0.01881789978542284,0.0012148227908496273,0.00010196419429112564,0.5507382500974113,1.3301724324025965,0.7425593344166428,0.44897180267658227,0.22221602781950803,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,3,20,20,0.039253037015336986,0.6845302536525177,0.9743895824755257,0.9035047730612401,0.728023801487422,0.039439034265083064,0.6894572448102572,0.9742726065504118,0.9031194881740169,0.7273620752980499,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,3,100,20,0.19674371493993456,0.19308264939590747,0.8784578869121165,0.6049730202074575,0.21347300575942127,0.0570676716703697,1.6297339342658397,0.9637263303218477,0.8712844740845151,0.6701586799370863,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,3,200,20,0.39402117994074226,0.12491365720168712,0.7721735958901288,0.370197838359231,0.049911994194040805,0.07543971565197483,2.0528096750212144,0.9531991465279716,0.8424536039827798,0.6251232912663965,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,3,500,20,0.9862669678545525,0.07096890450909865,0.5256115967784758,0.08692928099192083,-0.0009305904837557831,0.12726889615088294,2.240207131422164,0.9252086699236458,0.7741688168233672,0.533395281820343,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,3,1000,20,1.98407185469694,0.03244860920722448,0.27481449555203064,0.008894802871431913,0.0010292877778471062,0.21371648432894896,2.035011317785304,0.8825336715723144,0.6840225543370759,0.43196745142274323,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,3,2000,20,3.988473392540519,0.013756102991615116,0.07348952890725302,0.0004921471218239917,0.0016169011812090337,0.38494087781746295,1.5320813966552245,0.8061233874084176,0.5436221107653332,0.29754222992878293,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,3,3000,20,5.991447536876157,0.009195244670308966,0.017625558487756172,-0.0016767597131941755,0.0003290552903481653,0.5507382500974113,1.3301724324025965,0.7425593344166428,0.44897180267658227,0.22221602781950803,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,4,20,20,0.039408137355031035,0.6867789518541763,0.9742904553575488,0.9031722347552823,0.727394190942705,0.039439034265083064,0.6894572448102572,0.9742726065504118,0.9031194881740169,0.7273620752980499,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,4,100,20,0.19750827972499319,0.1942096507293718,0.8780156020042623,0.603859681578128,0.21263737619648268,0.0570676716703697,1.6297339342658397,0.9637263303218477,0.8712844740845151,0.6701586799370863,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,4,200,20,0.39531516877608547,0.1255481959099627,0.7714641194576647,0.3684543558585486,0.048937262423708494,0.07543971565197483,2.0528096750212144,0.9531991465279716,0.8424536039827798,0.6251232912663965,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,4,500,20,0.9901478109605014,0.06735307809103386,0.5237714800905178,0.08419476129887002,0.001067533404803579,0.12726889615088294,2.240207131422164,0.9252086699236458,0.7741688168233672,0.533395281820343,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,4,1000,20,1.98627688569201,0.035826774448769694,0.2749736528442692,0.0070962053863596105,0.00032878229990704496,0.21371648432894896,2.035011317785304,0.8825336715723144,0.6840225543370759,0.43196745142274323,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,4,2000,20,3.9836230158777455,0.016549993637713367,0.0748091734221564,0.0018018611656704106,-0.0006797887436629282,0.38494087781746295,1.5320813966552245,0.8061233874084176,0.5436221107653332,0.29754222992878293,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,4,3000,20,6.034046229477321,-0.00023510137302229506,0.014805233915690314,-0.0010676709822370276,-0.000526073223899206,0.5507382500974113,1.3301724324025965,0.7425593344166428,0.44897180267658227,0.22221602781950803,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,5,20,20,0.03925486964571603,0.6613579228897868,0.9743832914413826,0.9034539662761777,0.7279065875445773,0.039439034265083064,0.6894572448102572,0.9742726065504118,0.9031194881740169,0.7273620752980499,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,5,100,20,0.19668932454874838,0.1891916843924979,0.8784814787527454,0.605037147092884,0.21368455634500028,0.0570676716703697,1.6297339342658397,0.9637263303218477,0.8712844740845151,0.6701586799370863,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,5,200,20,0.3942322398287924,0.12485499701850888,0.7719770451690973,0.36926434270888386,0.04891228698637629,0.07543971565197483,2.0528096750212144,0.9531991465279716,0.8424536039827798,0.6251232912663965,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,5,500,20,0.9868711965400533,0.06442423229227168,0.5247669319201056,0.08588563349036894,0.0006210234182618888,0.12726889615088294,2.240207131422164,0.9252086699236458,0.7741688168233672,0.533395281820343,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,5,1000,20,1.9709372746168157,0.0344877901037679,0.27641974176309053,0.005102305525005523,-0.0005243094293406017,0.21371648432894896,2.035011317785304,0.8825336715723144,0.6840225543370759,0.43196745142274323,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,5,2000,20,3.941085228946174,0.014742171921324987,0.07328987194947041,-0.0004562463121152683,-0.000874547559174434,0.38494087781746295,1.5320813966552245,0.8061233874084176,0.5436221107653332,0.29754222992878293,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,5,3000,20,5.913916696956649,0.013423920102648257,0.015191660997799158,-0.0018104431099013052,0.0002479793418114563,0.5507382500974113,1.3301724324025965,0.7425593344166428,0.44897180267658227,0.22221602781950803,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,6,20,20,0.03927835052118952,0.6521838876809021,0.974364323173206,0.9033713755828673,0.7277868953944998,0.039439034265083064,0.6894572448102572,0.9742726065504118,0.9031194881740169,0.7273620752980499,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,6,100,20,0.19721472400059395,0.19299082278910085,0.8781884435242953,0.604308425829317,0.2130995436577015,0.0570676716703697,1.6297339342658397,0.9637263303218477,0.8712844740845151,0.6701586799370863,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,6,200,20,0.3949635867278176,0.1248228923756376,0.7716693544244685,0.3691294078807713,0.0490105107448674,0.07543971565197483,2.0528096750212144,0.9531991465279716,0.8424536039827798,0.6251232912663965,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,6,500,20,0.9881272177849655,0.06665637559420867,0.524661955819782,0.0858109144829337,0.00018385772313357052,0.12726889615088294,2.240207131422164,0.9252086699236458,0.7741688168233672,0.533395281820343,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,6,1000,20,1.9760001032762498,0.0429165104549063,0.2771869277319452,0.010673643737055082,-8.980233515410195e-05,0.21371648432894896,2.035011317785304,0.8825336715723144,0.6840225543370759,0.43196745142274323,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,6,2000,20,3.9816955144162622,0.027220516736567335,0.07804772604171131,-0.0011202202060933946,-0.0003729607468957373,0.38494087781746295,1.5320813966552245,0.8061233874084176,0.5436221107653332,0.29754222992878293,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,6,3000,20,5.973339434178945,0.022092293086553916,0.022380611639442095,0.0008863119037646811,0.0010925131967854179,0.5507382500974113,1.3301724324025965,0.7425593344166428,0.44897180267658227,0.22221602781950803,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,7,20,20,0.039257811418272455,0.6930000762760371,0.974388706133579,0.903520693150167,0.7282245830235873,0.039439034265083064,0.6894572448102572,0.9742726065504118,0.9031194881740169,0.7273620752980499,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,7,100,20,0.19661289730188392,0.19435613084352465,0.8785468157346775,0.6054838300127142,0.2152341994713157,0.0570676716703697,1.6297339342658397,0.9637263303218477,0.8712844740845151,0.6701586799370863,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,7,200,20,0.39319880759803594,0.125180610387988,0.7725145920232785,0.3711638290076177,0.05158625965432799,0.07543971565197483,2.0528096750212144,0.9531991465279716,0.8424536039827798,0.6251232912663965,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,7,500,20,0.9843461189655874,0.07186587105429454,0.5260669396435631,0.08854537747577922,0.0009120059919797174,0.12726889615088294,2.240207131422164,0.9252086699236458,0.7741688168233672,0.533395281820343,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,7,1000,20,1.9666577565885146,0.04739515168426878,0.27835852296234376,0.00954737332118118,-0.00043066234840756723,0.21371648432894896,2.035011317785304,0.8825336715723144,0.6840225543370759,0.43196745142274323,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,7,2000,20,3.9504423249072946,0.03063915823139096,0.07775820037950411,0.001724822175452542,2.7444646680887964e-05,0.38494087781746295,1.5320813966552245,0.8061233874084176,0.5436221107653332,0.29754222992878293,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,7,3000,20,5.950739518800632,0.022537971776309007,0.024754471626582855,0.0004444713820401756,-0.0027679002387780596,0.5507382500974113,1.3301724324025965,0.7425593344166428,0.44897180267658227,0.22221602781950803,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,8,20,20,0.03934777844735721,0.6839707265874668,0.9743327213679278,0.9033421626670348,0.7278290353103686,0.039439034265083064,0.6894572448102572,0.9742726065504118,0.9031194881740169,0.7273620752980499,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,8,100,20,0.1972564982510828,0.19785290005669398,0.8782180227960684,0.6045398996309116,0.21364601137945605,0.0570676716703697,1.6297339342658397,0.9637263303218477,0.8712844740845151,0.6701586799370863,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,8,200,20,0.3947380835294467,0.12662041997157725,0.7718048381905953,0.36917184239495304,0.04913350448191622,0.07543971565197483,2.0528096750212144,0.9531991465279716,0.8424536039827798,0.6251232912663965,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,8,500,20,0.9878073233017165,0.07979298991286443,0.5259652863145898,0.08739251918080251,-0.00021045301034833375,0.12726889615088294,2.240207131422164,0.9252086699236458,0.7741688168233672,0.533395281820343,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,8,1000,20,1.9706762233258919,0.04984332611358977,0.2797389379582182,0.007720281475624799,-7.904047081923083e-05,0.21371648432894896,2.035011317785304,0.8825336715723144,0.6840225543370759,0.43196745142274323,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,8,2000,20,3.9275580651921556,0.03104742867588195,0.08172354234071133,0.0029363351243283974,-0.00023309306206450615,0.38494087781746295,1.5320813966552245,0.8061233874084176,0.5436221107653332,0.29754222992878293,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,8,3000,20,5.831973800291203,0.027286166423462044,0.019713120603565018,-0.001989637093970838,-0.00042307605334179885,0.5507382500974113,1.3301724324025965,0.7425593344166428,0.44897180267658227,0.22221602781950803,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,9,20,20,0.039110228129801465,0.6491253464864621,0.9744698200869023,0.9037217923534832,0.7284626057509327,0.039439034265083064,0.6894572448102572,0.9742726065504118,0.9031194881740169,0.7273620752980499,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,9,100,20,0.19623299967645383,0.18104853802327336,0.8786922706614287,0.6053672252578928,0.2135881189606358,0.0570676716703697,1.6297339342658397,0.9637263303218477,0.8712844740845151,0.6701586799370863,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,9,200,20,0.39258705416402934,0.11676929168715233,0.7727538067682193,0.3709048579492153,0.05035769710676498,0.07543971565197483,2.0528096750212144,0.9531991465279716,0.8424536039827798,0.6251232912663965,1,0,0,1,1,0,1,0,1,0,0,0,0
0.45,1,finite_exchange_environment,9,500,20,0.9811625521215168,0.06656985265214121,0.527470759293876,0.08852003508969405,0.00016367676528169787,0.12726889615088294,2.240207131422164,0.9252086699236458,0.7741688168233672,0.533395281820343,1,0,0,1,1,0,1,0,1,0,0,0,0
