replicate,temperature,jump_count,sample_count,conditional_msd,conditional_fourth_moment,conditional_characteristic_k2,conditional_characteristic_k4,conditional_characteristic_k7p25
3.0,0.45,32.0,15931.0,0.8428205392265967,1.7839976338731067,0.6164264805194051,0.2584466111687212,0.08564479770639641
3.0,0.45,33.0,14963.0,0.8624016430116297,1.8595575381043958,0.6100508998692933,0.2523330634363757,0.0865554867729099
3.0,0.45,34.0,14048.0,0.8849661363777548,1.9417062900636308,0.6026123292340976,0.24498492935240956,0.08329778714681493
3.0,0.45,35.0,13182.0,0.9061416507860944,2.0233852144585933,0.5958747235229882,0.23755723863691325,0.08064938921711594
3.0,0.45,36.0,12370.0,0.9294889974735551,2.121124113658932,0.5886444376361759,0.23059711931154458,0.0767023325373105
3.0,0.45,37.0,11605.0,0.9524642824551195,2.2218080375492972,0.5815836977141943,0.22413105871894567,0.07495406519546702
3.0,0.45,38.0,10882.0,0.9754940903760927,2.313213855861547,0.5743123584443242,0.21703797861861715,0.06905243874414439
3.0,0.45,39.0,10201.0,0.9993961218106316,2.4169529460499004,0.5674056949464061,0.2123016105078562,0.06957751125230434
3.0,0.45,40.0,9557.0,1.0228479333122524,2.514187765732753,0.5604102017039748,0.20611259265269907,0.06407947362365647
3.0,0.45,41.0,8936.0,1.044163874591784,2.6183203877908428,0.5546319898467954,0.20008736891183868,0.06088860455998018
3.0,0.45,42.0,8362.0,1.0647623714428178,2.7165651160526734,0.5489492821625539,0.19411339855219506,0.05880095501754556
3.0,0.45,43.0,7814.0,1.084548748127256,2.7986039713311133,0.543040043150059,0.1900317161252064,0.06090504923623581
3.0,0.45,44.0,7302.0,1.1026490918377396,2.8936326954665357,0.5387773265533563,0.1863855434716782,0.058636427018030464
3.0,0.45,45.0,6809.0,1.1238939355966076,3.022848177451368,0.5334837499400419,0.18210047199827772,0.06069067758692117
3.0,0.45,46.0,6347.0,1.1438955444921117,3.142646277990127,0.528791423905175,0.17954822576975366,0.06461651358823749
