model,replicate,temperature,lag,block_size,block_count,particle_window_count,predicted_msd,observed_msd,msd_relative_error,predicted_msd_mc_se,predicted_ngp,observed_ngp,ngp_absolute_error,predicted_ngp_mc_se,shuffle_realizations,shuffle_base_seed,heldout_path_used_in_prediction,macro_fit_parameter_count,calibration_path_distribution_used,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k2_mc_se,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k4_mc_se,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25,predicted_fs_k7p25_mc_se
contiguous_empirical_path,2.0,0.45,100.0,20.0,5.0,806142.0,0.057546163725173696,0.052775278088095054,0.0904000094346229,0.0,1.5781210671454424,1.6163795842344126,0.03825851708897021,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9634016162222429,0.9663158180281514,0.0029142018059085117,0.0,0.8698982091083203,0.8792594732386941,0.009361264130373859,0.0,0.666686710854388,0.6847219017867405,0.018035190932352507,0.0
contiguous_empirical_path,2.0,0.45,200.0,20.0,10.0,789757.0,0.07642040123730201,0.06724485325845257,0.13644981785570454,0.0,1.9801766391380742,2.1053026915279753,0.12512605238990115,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9525396673380864,0.9579937366175421,0.005454069279455687,0.0,0.8397353763138135,0.8562828584879376,0.016547482174124162,0.0,0.6191229205611426,0.6480499865399985,0.02892706597885586,0.0
contiguous_empirical_path,2.0,0.45,500.0,20.0,25.0,740602.0,0.12854117521414857,0.1073797564638258,0.19707083948781023,0.0,2.166016519595306,2.3654625478366693,0.19944602824136348,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9242465624430538,0.9359506294503632,0.011704067007309416,0.0,0.7703357115818934,0.8005729633027215,0.03023725172082814,0.0,0.5261754433310766,0.5679871984961697,0.04181175516509317,0.0
contiguous_empirical_path,2.0,0.45,1000.0,20.0,50.0,658677.0,0.21059031687815138,0.171315127140714,0.22925698619233836,0.0,1.8518201348842243,2.1878435702506227,0.33602343536639845,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8825532730907686,0.9031995585846249,0.020646285493856276,0.0,0.68171806652053,0.7283672041708552,0.04664913765032519,0.0,0.4298356961845905,0.4797847508304132,0.04994905464582272,0.0
contiguous_empirical_path,2.0,0.45,2000.0,20.0,100.0,494827.0,0.36945489830343925,0.30417451341716534,0.2146149069259593,0.0,1.4596137749163973,1.7285262993440798,0.26891252442768243,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8103631478555281,0.8413429351086408,0.03097978725311268,0.0,0.5546115973833431,0.6109579893966665,0.056346392013323365,0.0,0.3139391129732141,0.3600406540179815,0.046101541044767436,0.0
contiguous_empirical_path,2.0,0.45,3000.0,20.0,150.0,330977.0,0.5309184791747529,0.43061894250681476,0.23291947187472095,0.0,1.2007620266717107,1.4125656124190522,0.21180358574734148,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.74528758789007,0.7881757849378997,0.04288819704782976,0.0,0.46103427904344335,0.5238939683641092,0.06285968932066582,0.0,0.23442900253096977,0.28726954685338274,0.052840544322412974,0.0
direction_randomized_path,2.0,0.45,20.0,20.0,1.0,819250.0,0.03962103310375,0.038152024480352674,0.038504080541095,0.0,0.6476841420797537,0.6641054641430317,0.016421322063278065,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9741434935648873,0.975085284203826,0.0009417906389387332,0.0,0.9025606179469137,0.9059230562568693,0.00336243830995564,0.0,0.7257298544024745,0.7335770580014349,0.007847203598960406,0.0
direction_randomized_path,2.0,0.45,100.0,20.0,5.0,806142.0,0.19810578020323652,0.052775278088095054,2.7537609915110015,0.0,0.35283703086243734,1.6163795842344126,1.2635425533719753,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8787988463311966,0.9663158180281514,0.08751697169695472,0.0,0.6128165328311419,0.8792594732386941,0.26644294040755223,0.0,0.2360009417800343,0.6847219017867405,0.44872096000670625,0.0
direction_randomized_path,2.0,0.45,200.0,20.0,10.0,789757.0,0.39609095749042095,0.06724485325845257,4.890279155908976,0.0,0.24970962768188532,2.1053026915279753,1.85559306384609,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.774047289606148,0.9579937366175421,0.18394644701139407,0.0,0.3849718704585438,0.8562828584879376,0.4713109880293938,0.0,0.06376377895403783,0.6480499865399985,0.5842862075859606,0.0
direction_randomized_path,2.0,0.45,500.0,20.0,25.0,740602.0,0.9888525653453349,0.1073797564638258,8.208929112057174,0.0,0.16066821583511404,2.3654625478366693,2.2047943320015553,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.533354631521852,0.9359506294503632,0.4025959979285112,0.0,0.10305549310823484,0.8005729633027215,0.6975174701944867,0.0,0.0017812428988746,0.5679871984961697,0.5662059555972951,0.0
direction_randomized_path,2.0,0.45,1000.0,20.0,50.0,658677.0,1.974734548551165,0.171315127140714,10.526912897360003,0.0,0.1133578126040149,2.1878435702506227,2.074485757646608,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2916171490893127,0.9031995585846249,0.6115824094953122,0.0,0.013297052480180364,0.7283672041708552,0.7150701516906749,0.0,8.511659362724522e-06,0.4797847508304132,0.4797762391710505,0.0
direction_randomized_path,2.0,0.45,2000.0,20.0,100.0,494827.0,3.940679281393571,0.30417451341716534,11.955323696002955,0.0,0.08132187925843182,1.7285262993440798,1.647204420085648,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09132444034402973,0.8413429351086408,0.750018494764611,0.0,0.00031058804211865523,0.6109579893966665,0.6106474013545478,0.0,5.88691418725538e-10,0.3600406540179815,0.3600406534292901,0.0
