replicate,temperature,lag,calibration_msd,log_msd_slope,selected_debye_waller_lag,selected_debye_waller_factor,thermodynamic_claim_allowed
2.0,0.45,21.0,0.039566319435834885,0.15423535711259717,2.0,0.031991325318813324,0.0
2.0,0.45,24.0,0.04043518751859665,0.15647507485155643,2.0,0.031991325318813324,0.0
2.0,0.45,27.0,0.04116080328822136,0.1648028389553602,2.0,0.031991325318813324,0.0
2.0,0.45,31.0,0.04220292344689369,0.18537220135583787,2.0,0.031991325318813324,0.0
2.0,0.45,35.0,0.04318331554532051,0.21407981815610455,2.0,0.031991325318813324,0.0
2.0,0.45,40.0,0.044598136097192764,0.2181543776525512,2.0,0.031991325318813324,0.0
2.0,0.45,45.0,0.04564843326807022,0.20883953052258342,2.0,0.031991325318813324,0.0
2.0,0.45,51.0,0.04692729562520981,0.2455109697164275,2.0,0.031991325318813324,0.0
2.0,0.45,58.0,0.048591498285532,0.2638369545178456,2.0,0.031991325318813324,0.0
2.0,0.45,66.0,0.05023017153143883,0.2681131806067203,2.0,0.031991325318813324,0.0
2.0,0.45,75.0,0.052056748420000076,0.28627490876526096,2.0,0.031991325318813324,0.0
2.0,0.45,86.0,0.0541912205517292,0.3242147423030879,2.0,0.031991325318813324,0.0
2.0,0.45,97.0,0.056530557572841644,0.34981224939271627,2.0,0.031991325318813324,0.0
2.0,0.45,111.0,0.05924876034259796,0.35420437154715145,2.0,0.031991325318813324,0.0
2.0,0.45,126.0,0.062012698501348495,0.383216261605261,2.0,0.031991325318813324,0.0
2.0,0.45,143.0,0.06528812646865845,0.4179418329162363,2.0,0.031991325318813324,0.0
2.0,0.45,162.0,0.06887777149677277,0.44260212037792535,2.0,0.031991325318813324,0.0
2.0,0.45,184.0,0.07299983501434326,0.46290082476938466,2.0,0.031991325318813324,0.0
2.0,0.45,210.0,0.07767434418201447,0.47619940999325117,2.0,0.031991325318813324,0.0
2.0,0.45,238.0,0.08250920474529266,0.5060512872601652,2.0,0.031991325318813324,0.0
2.0,0.45,270.0,0.08821260184049606,0.5488249325534085,2.0,0.031991325318813324,0.0
