q_over_A,t_over_t_peak,alpha_over_alpha_peak,predicted_t_peak,predicted_alpha_peak
0.6,0.3581974248927039,0.484166417003807,13.69700402475259,0.15
0.6,0.36390557939914164,0.4957247157451361,13.69700402475259,0.15
0.6,0.36961373390557944,0.507183213891443,13.69700402475259,0.15
0.6,0.3753218884120172,0.5185357821396657,13.69700402475259,0.15
0.6,0.38103004291845494,0.5297766898061651,13.69700402475259,0.15
0.6,0.38673819742489274,0.540900595897201,13.69700402475259,0.15
0.6,0.3924463519313305,0.5519025395231555,13.69700402475259,0.15
0.6,0.3981545064377683,0.5627779297520918,13.69700402475259,0.15
0.6,0.40386266094420603,0.5735225349923301,13.69700402475259,0.15
0.6,0.4095708154506438,0.5841324719878083,13.69700402475259,0.15
0.6,0.4152789699570816,0.5946041945041507,13.69700402475259,0.15
0.6,0.4209871244635193,0.6049344817775859,13.69700402475259,0.15
0.6,0.4266952789699571,0.6151204267933563,13.69700402475259,0.15
0.6,0.43240343347639487,0.6251594244547354,13.69700402475259,0.15
0.6,0.4381115879828326,0.6350491596985893,13.69700402475259,0.15
0.6,0.4438197424892704,0.6447875956083686,13.69700402475259,0.15
0.6,0.44952789699570816,0.6543729615706189,13.69700402475259,0.15
0.6,0.45523605150214597,0.6638037415164992,13.69700402475259,0.15
0.6,0.4609442060085837,0.6730786622854609,13.69700402475259,0.15
0.6,0.46665236051502146,0.6821966821441228,13.69700402475259,0.15
0.6,0.47236051502145926,0.6911569794895497,13.69700402475259,0.15
0.6,0.478068669527897,0.699958941762439,13.69700402475259,0.15
0.6,0.4837768240343348,0.7086021545924364,13.69700402475259,0.15
0.6,0.48948497854077255,0.7170863911945273,13.69700402475259,0.15
0.6,0.49519313304721035,0.7254116020326551,13.69700402475259,0.15
0.6,0.500901287553648,0.733577904763864,13.69700402475259,0.15
0.6,0.5066094420600858,0.7415855744738946,13.69700402475259,0.15
0.6,0.5123175965665236,0.7494350342128117,13.69700402475259,0.15
0.6,0.5180257510729614,0.7571268458371291,13.69700402475259,0.15
0.6,0.5237339055793991,0.7646617011630408,13.69700402475259,0.15
0.6,0.5294420600858369,0.7720404134336034,13.69700402475259,0.15
0.6,0.5351502145922747,0.7792639091011466,13.69700402475259,0.15
0.6,0.5408583690987124,0.7863332199248063,13.69700402475259,0.15
0.6,0.5465665236051502,0.7932494753817906,13.69700402475259,0.15
0.6,0.552274678111588,0.8000138953899032,13.69700402475259,0.15
0.6,0.5579828326180258,0.8066277833377841,13.69700402475259,0.15
0.6,0.5636909871244635,0.8130925194185945,13.69700402475259,0.15
0.6,0.5693991416309013,0.8194095542619392,13.69700402475259,0.15
0.6,0.5751072961373391,0.8255804028583258,13.69700402475259,0.15
0.6,0.5808154506437768,0.8316066387697967,13.69700402475259,0.15
0.6,0.5865236051502146,0.8374898886199341,13.69700402475259,0.15
0.6,0.5922317596566524,0.8432318268560479,13.69700402475259,0.15
0.6,0.5979399141630901,0.848834170776051,13.69700402475259,0.15
0.6,0.6036480686695279,0.8542986758122166,13.69700402475259,0.15
0.6,0.6093562231759657,0.8596271310638981,13.69700402475259,0.15
0.6,0.6150643776824035,0.8648213550711045,13.69700402475259,0.15
0.6,0.6207725321888412,0.8698831918207321,13.69700402475259,0.15
0.6,0.626480686695279,0.8748145069772736,13.69700402475259,0.15
0.6,0.6321888412017168,0.8796171843296982,13.69700402475259,0.15
0.6,0.6378969957081545,0.8842931224463809,13.69700402475259,0.15
0.6,0.6436051502145923,0.8888442315298943,13.69700402475259,0.15
