model,replicate,realization,temperature,block_size,surrogate_seed,radial_mean_relative_error,radial_standard_deviation_relative_error,lag_one_cosine_mean_absolute_error,lag_one_cosine_quantile_0p10_absolute_error,lag_one_cosine_quantile_0p25_absolute_error,lag_one_cosine_quantile_0p50_absolute_error,lag_one_cosine_quantile_0p75_absolute_error,lag_one_cosine_quantile_0p90_absolute_error,lag_one_cosine_quantile_maximum_absolute_error,normalized_lag_one_dot_correlation_absolute_error,calibration_path_used_in_kernel,heldout_events_used_in_calibration,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,calibration_time,surrogate_realizations_per_replicate,surrogate_base_seed
radial_recoil_markov_surrogate,3.0,3.0,0.58,20.0,4073267.0,0.003080658942664849,0.0015626824108487813,0.0015222792909942717,1.1343480764258729e-05,0.003873145540173706,0.003408432611649914,0.0018592469537871414,0.0003299270988844638,0.003873145540173706,0.0008687351175233615,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,4.0,0.58,20.0,4170676.0,0.0007886074048149005,0.0008869275971005175,0.0021860969471559355,2.8948290253794084e-07,0.0017030268722975084,0.003272595699552572,0.004337074629633619,0.0023787855775773137,0.004337074629633619,0.0017864558387505058,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,5.0,0.58,20.0,4268085.0,0.0013692727344645217,0.0019449134885318742,0.0018454111325700573,0.00047448792721871413,0.002450360939319607,0.001759385126320956,0.004234556717933102,0.002636423166431756,0.004234556717933102,0.00047659816719253234,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,6.0,0.58,20.0,4365494.0,0.00017586160860683098,0.0019034940749399487,0.0035045157330619303,0.0005116937134155286,0.004048338864586221,0.005714987563578633,0.006783491808441178,0.004622241991060427,0.006783491808441178,0.0016535397890264092,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,7.0,0.58,20.0,4462903.0,0.002147521655316398,0.0010024416838567696,0.00018082856069634445,0.0010758727232179632,0.0006817431859311718,0.0020669261936900885,0.0011080826878706596,0.0002974381804157211,0.0020669261936900885,0.0006813388628853501,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,8.0,0.58,20.0,4560312.0,0.003621378891400462,0.005964825845874544,0.0029633390181418306,0.0014487407308952926,0.0024602809502108913,0.007565134702669729,0.004593423718869172,0.0011483528256261977,0.007565134702669729,0.003131365801052194,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,9.0,0.58,20.0,4657721.0,0.00033754085754478247,0.00041985199363669956,0.0003294965221035395,0.0007433795869613569,0.0002091414413466497,0.0013337341703322791,6.565774188826978e-05,0.000697873981032493,0.0013337341703322791,0.0008781776772599226,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,10.0,0.58,20.0,4755130.0,0.0008898183607405352,0.007323739289704867,0.00026264072792278603,0.00014591004053865486,0.0005462553885032806,0.0016996684629182468,0.003002379787193754,0.0006664940232955496,0.003002379787193754,0.000452307563641674,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,11.0,0.58,20.0,4852539.0,0.002128900921192445,0.0030926485661864067,0.001749196695737254,0.0005390747568155829,0.0018170674116138041,0.005669699148786067,0.0006230405968059016,0.0005480901960180917,0.005669699148786067,0.004135350089484402,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,12.0,0.58,20.0,4949948.0,0.00208822249379248,0.0022846481391685103,0.00015464281470484176,0.0010028186992003807,0.0013646510433610315,0.0008470947223165881,0.002085536597680626,0.0011043827123650152,0.002085536597680626,0.0009895101937299478,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,13.0,0.58,20.0,5047357.0,0.002661504556039196,0.003269496933080429,0.000904390659290849,0.00020953836510617663,7.272243387290711e-05,0.0014107464508674727,0.004038510912469151,9.706305139511873e-05,0.004038510912469151,0.0001555989462480034,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,14.0,0.58,20.0,5144766.0,0.003998518681541663,0.0005089724168596543,0.0015122030481288795,0.0007668269453281473,0.0022497628184152685,0.0018155201122508347,0.002826924151626775,0.0009544631334204023,0.002826924151626775,0.000366010515132964,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,15.0,0.58,20.0,5242175.0,0.0035307265336905758,0.005749002673266279,0.0010709691868888704,0.0011824688518032866,0.0014797861450277505,0.0004832072471108173,0.00327880623077742,0.0038185088729763006,0.0038185088729763006,0.0019472185096253425,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,4.0,0.0,0.58,20.0,4781043.0,0.0005694711119907936,0.0006219624884953312,0.0014470976351695364,0.0013414096349156912,0.0008494806623869922,0.003530906773703324,0.0001305856532141103,0.0013127427190711138,0.003530906773703324,0.0023295721909681044,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
radial_recoil_markov_surrogate,4.0,1.0,0.58,20.0,4878452.0,0.0018138113200818484,0.003965405457295623,0.000663265823898529,0.00023230360614123757,3.1157368822753995e-06,0.0011086946300968292,0.002211653618403475,0.000595032559673081,0.002211653618403475,3.123548605196702e-05,1.0,0.0,0.0,0.0,0.0,750.0,16.0,781031.0
