parent_group,clone_index,target_slot,a_particle_index,source_trajectory,parent_restart_sha256,first_passage_tau,escaped_within_horizon,log_u_squared,log_p_squared,cos_u_p,log_gram_eigenvalue_1,log_gram_eigenvalue_2,log_gram_eigenvalue_3,log_b_squared,cos_u_b,cos_p_b,geometry_heldout_rate,kinematic_heldout_rate,full_heldout_rate,geometry_heldout_event_probability,kinematic_heldout_event_probability,full_heldout_event_probability,thermodynamic_claim_allowed
2,2,31,1831,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_replicate_01_T058/clone_002/trajectory.lammpstrj,0b7ad385c0c81c1327c924549e343a7da33dda76a0fd680e2559779e2941ca0b,20.0,False,-6.1816480804474105,-0.7217201036807742,-0.6827461392856558,-1.2354301560956191,-1.0262076310447892,-0.8734538773859215,7.002114819187804,-0.9899314180816243,0.6098817494835898,0.054447039443144794,0.05484762880616382,0.05261588061677968,0.6634271933666575,0.6661129697899993,0.650872331843467,False
2,2,32,1836,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_replicate_01_T058/clone_002/trajectory.lammpstrj,0b7ad385c0c81c1327c924549e343a7da33dda76a0fd680e2559779e2941ca0b,0.45,True,-5.7286161354389495,-0.6443813272335654,-0.47694818817704604,-1.2248559967901056,-0.8718917324544045,-0.7259693236390597,8.444137920098868,-0.18073293813727473,-0.6238609108511727,0.05460260269660509,0.054921240398906744,0.053264039085367074,0.6644727332639006,0.6666041672448074,0.6553689249207907,False
2,2,33,1849,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_replicate_01_T058/clone_002/trajectory.lammpstrj,0b7ad385c0c81c1327c924549e343a7da33dda76a0fd680e2559779e2941ca0b,0.55,True,-6.402182472880242,-1.5349675228813822,0.1517527721950414,-1.2467983082428,-1.1243139391490453,-1.1016345325881884,7.116748505065964,-0.7408292397342262,-0.40607792545395055,0.05352125238494043,0.052828266404536146,0.05079221466833946,0.6571372465817729,0.6523521817241326,0.6379034150055736,False
2,2,34,1911,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_replicate_01_T058/clone_002/trajectory.lammpstrj,0b7ad385c0c81c1327c924549e343a7da33dda76a0fd680e2559779e2941ca0b,20.0,False,-5.177109263061915,-2.370792623144006,0.9061107244270034,-0.9217399152354868,-0.7647001640797748,-0.7282014398843231,7.742329542546401,-0.7185798191598796,-0.9284384946207163,0.07453958877761507,0.07138083256897736,0.06822124915554811,0.7748057183939961,0.7601200409469654,0.7444724335819036,False
2,2,35,1937,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_replicate_01_T058/clone_002/trajectory.lammpstrj,0b7ad385c0c81c1327c924549e343a7da33dda76a0fd680e2559779e2941ca0b,15.65,True,-6.818237642084821,-0.6956615897290933,0.6967016319452812,-1.1651274455992144,-1.0801180584655545,-0.7022709187584605,6.804529073717485,0.8095737143585142,0.38193114696139724,0.05857405923197152,0.05849235933403892,0.06477123665413854,0.6900924291902882,0.6895856269080285,0.7262184444509939,False
2,2,36,1956,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_replicate_01_T058/clone_002/trajectory.lammpstrj,0b7ad385c0c81c1327c924549e343a7da33dda76a0fd680e2559779e2941ca0b,16.35,True,-6.633874225359991,-1.2173327075089178,-0.3023271228536978,-1.1070616690503619,-0.6894666298229719,-0.5551817550433638,8.237362491805722,-0.5492887524785884,-0.2997074518761501,0.056427054007748494,0.05587804777768303,0.05302598845638647,0.6764951200025034,0.6729234231573091,0.6537242199131403,False
2,2,37,1959,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_replicate_01_T058/clone_002/trajectory.lammpstrj,0b7ad385c0c81c1327c924549e343a7da33dda76a0fd680e2559779e2941ca0b,16.6,True,-7.113827840369415,-1.1398110586922077,-0.4183035850190097,-0.9456731806159645,-0.7367713368396925,-0.5186439107602767,7.879131370958057,0.011830882591612399,-0.6803367197537288,0.06621736672767736,0.0656517925311056,0.0649619857505187,0.7340235038794592,0.7309978348753348,0.7272609263483613,False
2,2,38,1975,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_replicate_01_T058/clone_002/trajectory.lammpstrj,0b7ad385c0c81c1327c924549e343a7da33dda76a0fd680e2559779e2941ca0b,8.4,True,-4.857966503938012,-2.3908076712885986,-0.9831574184960664,-1.450764231637544,-1.216447594306668,-1.0486521553482682,5.881230533250855,-0.7527307800373096,0.7904317789409746,0.04881906396086469,0.04763340113014529,0.04776471785283884,0.6233282947326266,0.6142894350829485,0.6153011109477083,False
2,2,39,2010,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_replicate_01_T058/clone_002/trajectory.lammpstrj,0b7ad385c0c81c1327c924549e343a7da33dda76a0fd680e2559779e2941ca0b,9.850000000000001,True,-7.410340690401032,0.34981550761064756,-0.8553546944448414,-1.0082535931875403,-0.6351134296004335,-0.5428297891164775,8.07127253850235,-0.992700043228016,0.8812072250850501,0.058961456101635695,0.060581166048766406,0.0568843810801038,0.6924842956653691,0.702286397780702,0.6794405798757913,False
2,2,40,2138,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/prl-event-clock-closure/tmp/isoconfigurational_replicate_01_T058/clone_002/trajectory.lammpstrj,0b7ad385c0c81c1327c924549e343a7da33dda76a0fd680e2559779e2941ca0b,1.4500000000000002,True,-7.482374027770344,-1.9506265317093177,-0.5963148996426834,-0.9581236480385034,-0.7911757738854285,-0.7539438632168155,4.259076443002728,-0.9572234503162271,0.3827241983391202,0.06355711850732434,0.06211825541825462,0.062139221561833956,0.7194890087083126,0.7112993983635407,0.7114204317510404,False
