held_clone_index,innovation_block_length,lag_frames,correlation_component,observed_correlation,simulated_correlation,simulated_marginal_covariance,thermodynamic_claim_allowed
1.0,40.0,46.0,pp,0.005456783232465205,-0.05096599261867384,0.8253061673942652,0.0
1.0,40.0,47.0,uu,0.23955593673568007,0.22450874183868808,0.9368001956348811,0.0
1.0,40.0,47.0,up,0.005549726643154144,-0.009567104762291813,-0.03242747363493017,0.0
1.0,40.0,47.0,pu,-0.004310919982553845,-0.01088019181385937,-0.03242747363493017,0.0
1.0,40.0,47.0,pp,0.0051270251261447495,-0.05928104101919212,0.8812488429067571,0.0
1.0,40.0,48.0,uu,0.23859562122384642,0.2223267907504342,0.9309422620751229,0.0
1.0,40.0,48.0,up,0.006463752118388017,-0.019699635880491118,0.000987298342727636,0.0
1.0,40.0,48.0,pu,-0.0052848747198996895,-0.014640588593015457,0.000987298342727636,0.0
1.0,40.0,48.0,pp,0.004901912619548574,-0.05393408663642386,0.9119688646696135,0.0
1.0,40.0,49.0,uu,0.23746018899082466,0.21954522768985799,0.9374413358892252,0.0
1.0,40.0,49.0,up,0.007316620018591113,-0.028041078144065788,0.03433729229709532,0.0
1.0,40.0,49.0,pu,-0.006240053585313085,-0.018105479671889694,0.03433729229709532,0.0
1.0,40.0,49.0,pp,0.004628590715777934,-0.0373175991727268,0.9276888431205675,0.0
1.0,40.0,50.0,uu,0.23615885741632486,0.21615435479915796,0.9557193627520374,0.0
1.0,40.0,50.0,up,0.008104461843045445,-0.03367222567322226,0.06621156394251533,0.0
1.0,40.0,50.0,pu,-0.0071527592358663645,-0.01568017167051937,0.06621156394251533,0.0
1.0,40.0,50.0,pp,0.004292116991860078,-0.02404684293131671,0.922516306663652,0.0
1.0,40.0,51.0,uu,0.2347064985111816,0.21346074266533638,0.982449642573747,0.0
1.0,40.0,51.0,up,0.008782188562258163,-0.03653025116213816,0.08260023048222026,0.0
1.0,40.0,51.0,pu,-0.007982207510299738,-0.011621277454165909,0.08260023048222026,0.0
1.0,40.0,51.0,pp,0.0037461971071407027,-0.010537536850723474,0.9065303322020122,0.0
1.0,40.0,52.0,uu,0.23312417586104495,0.21092245783531074,1.0125769977789718,0.0
1.0,40.0,52.0,up,0.00933359380498528,-0.0366231176548424,0.08399065343382484,0.0
1.0,40.0,52.0,pu,-0.0086867597957057,-0.013913949324119433,0.08399065343382484,0.0
1.0,40.0,52.0,pp,0.0029657120547455095,0.009385161139227667,0.8924307225895096,0.0
1.0,40.0,53.0,uu,0.23144339219239995,0.20861761700761727,1.0414188511144649,0.0
1.0,40.0,53.0,up,0.00970318437405474,-0.0343197051046929,0.07551428813303036,0.0
1.0,40.0,53.0,pu,-0.009197149234452352,-0.01278787542023898,0.07551428813303036,0.0
1.0,40.0,53.0,pp,0.0019289975265807445,0.017090228948779665,0.8785393665320771,0.0
1.0,40.0,54.0,uu,0.22970290674993224,0.20605220000670543,1.0650627697981552,0.0
1.0,40.0,54.0,up,0.009841747658631893,-0.03092032508519019,0.05747647170432669,0.0
1.0,40.0,54.0,pu,-0.009497250795493229,-0.016756926622762295,0.05747647170432669,0.0
1.0,40.0,54.0,pp,0.000584299361894781,0.023031275230865584,0.8898871781456164,0.0
1.0,40.0,55.0,uu,0.22795168115727502,0.20260028056338197,1.0821595750320026,0.0
1.0,40.0,55.0,up,0.009703073016717792,-0.02591493140435955,0.03754264683851982,0.0
1.0,40.0,55.0,pu,-0.009504495091147607,-0.018261278177844346,0.03754264683851982,0.0
1.0,40.0,55.0,pp,-0.0009824649420457502,0.030709643873973246,0.9167088469950702,0.0
1.0,40.0,56.0,uu,0.2262458264530171,0.19877698286359513,1.0934109410805477,0.0
1.0,40.0,56.0,up,0.00928902294323802,-0.020100373333339968,0.02367509839979194,0.0
1.0,40.0,56.0,pu,-0.009170795632267227,-0.020080485920829456,0.02367509839979194,0.0
1.0,40.0,56.0,pp,-0.0027341614185629397,0.0361007967283195,0.9534846815734425,0.0
1.0,40.0,57.0,uu,0.22464371363856922,0.1951771857499796,1.1001647714555116,0.0
1.0,40.0,57.0,up,0.008580314932613953,-0.013149715597071548,0.017168033229507988,0.0
