replicate,temperature,block_size,window,block_lag,first_count,second_count,frequency,probability,pair_observation_count
1.0,0.58,50.0,heldout,1.0,3.0,5.0,6.0,0.00013078163825798857,45878.0
1.0,0.58,50.0,heldout,1.0,3.0,6.0,1.0,2.1796939709664764e-05,45878.0
1.0,0.58,50.0,heldout,1.0,4.0,0.0,205.0,0.0044683726404812765,45878.0
1.0,0.58,50.0,heldout,1.0,4.0,1.0,151.0,0.0032913378961593794,45878.0
1.0,0.58,50.0,heldout,1.0,4.0,2.0,92.0,0.0020053184532891582,45878.0
1.0,0.58,50.0,heldout,1.0,4.0,3.0,25.0,0.0005449234927416191,45878.0
1.0,0.58,50.0,heldout,1.0,4.0,4.0,11.0,0.0002397663368063124,45878.0
1.0,0.58,50.0,heldout,1.0,4.0,5.0,3.0,6.539081912899428e-05,45878.0
1.0,0.58,50.0,heldout,1.0,5.0,0.0,34.0,0.000741095950128602,45878.0
1.0,0.58,50.0,heldout,1.0,5.0,1.0,28.0,0.0006103143118706134,45878.0
1.0,0.58,50.0,heldout,1.0,5.0,2.0,10.0,0.00021796939709664762,45878.0
1.0,0.58,50.0,heldout,1.0,5.0,3.0,5.0,0.00010898469854832381,45878.0
1.0,0.58,50.0,heldout,1.0,5.0,4.0,4.0,8.718775883865905e-05,45878.0
1.0,0.58,50.0,heldout,1.0,6.0,0.0,6.0,0.00013078163825798857,45878.0
1.0,0.58,50.0,heldout,1.0,6.0,1.0,3.0,6.539081912899428e-05,45878.0
1.0,0.58,50.0,heldout,1.0,6.0,4.0,2.0,4.359387941932953e-05,45878.0
1.0,0.58,50.0,heldout,1.0,7.0,0.0,1.0,2.1796939709664764e-05,45878.0
1.0,0.58,50.0,heldout,1.0,7.0,1.0,3.0,6.539081912899428e-05,45878.0
1.0,0.58,50.0,heldout,1.0,8.0,2.0,1.0,2.1796939709664764e-05,45878.0
1.0,0.58,100.0,calibration,1.0,0.0,0.0,1812.0,0.09215746109246262,19662.0
1.0,0.58,100.0,calibration,1.0,0.0,1.0,1804.0,0.09175058488454887,19662.0
1.0,0.58,100.0,calibration,1.0,0.0,2.0,1217.0,0.06189604312887804,19662.0
1.0,0.58,100.0,calibration,1.0,0.0,3.0,670.0,0.03407588241277591,19662.0
1.0,0.58,100.0,calibration,1.0,0.0,4.0,274.0,0.013935510121045672,19662.0
1.0,0.58,100.0,calibration,1.0,0.0,5.0,105.0,0.005340250228867867,19662.0
1.0,0.58,100.0,calibration,1.0,0.0,6.0,32.0,0.001627504831654969,19662.0
1.0,0.58,100.0,calibration,1.0,0.0,7.0,9.0,0.00045773573390296,19662.0
1.0,0.58,100.0,calibration,1.0,0.0,8.0,1.0,5.085952598921778e-05,19662.0
1.0,0.58,100.0,calibration,1.0,0.0,10.0,1.0,5.085952598921778e-05,19662.0
1.0,0.58,100.0,calibration,1.0,1.0,0.0,1645.0,0.08366392025226325,19662.0
1.0,0.58,100.0,calibration,1.0,1.0,1.0,1767.0,0.08986878242294782,19662.0
1.0,0.58,100.0,calibration,1.0,1.0,2.0,1277.0,0.06494761468823111,19662.0
1.0,0.58,100.0,calibration,1.0,1.0,3.0,691.0,0.035143932458549486,19662.0
1.0,0.58,100.0,calibration,1.0,1.0,4.0,288.0,0.01464754348489472,19662.0
1.0,0.58,100.0,calibration,1.0,1.0,5.0,139.0,0.007069474112501271,19662.0
1.0,0.58,100.0,calibration,1.0,1.0,6.0,43.0,0.0021869596175363645,19662.0
1.0,0.58,100.0,calibration,1.0,1.0,7.0,9.0,0.00045773573390296,19662.0
1.0,0.58,100.0,calibration,1.0,1.0,8.0,5.0,0.0002542976299460889,19662.0
1.0,0.58,100.0,calibration,1.0,1.0,9.0,1.0,5.085952598921778e-05,19662.0
1.0,0.58,100.0,calibration,1.0,2.0,0.0,1124.0,0.057166107211880784,19662.0
1.0,0.58,100.0,calibration,1.0,2.0,1.0,1142.0,0.058081578679686705,19662.0
1.0,0.58,100.0,calibration,1.0,2.0,2.0,927.0,0.04714678059200488,19662.0
1.0,0.58,100.0,calibration,1.0,2.0,3.0,516.0,0.026243515410436374,19662.0
1.0,0.58,100.0,calibration,1.0,2.0,4.0,267.0,0.013579493439121147,19662.0
1.0,0.58,100.0,calibration,1.0,2.0,5.0,102.0,0.0051876716509002135,19662.0
1.0,0.58,100.0,calibration,1.0,2.0,6.0,36.0,0.00183094293561184,19662.0
1.0,0.58,100.0,calibration,1.0,2.0,7.0,7.0,0.00035601668192452446,19662.0
1.0,0.58,100.0,calibration,1.0,2.0,8.0,2.0,0.00010171905197843556,19662.0
1.0,0.58,100.0,calibration,1.0,2.0,9.0,1.0,5.085952598921778e-05,19662.0
