protocol,model,fold_index,lag_frames,row_coordinate,column_coordinate,held_correlation,simulated_correlation,thermodynamic_claim_allowed
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,4.0,p,u,-0.5684567903650242,-0.56250981036592,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,4.0,p,p,0.37512409745407604,0.3969868205068967,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,5.0,u,u,0.6462785629299551,0.6379117039672397,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,5.0,u,p,0.620519264265374,0.6427167553673977,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,5.0,p,u,-0.6171661398432126,-0.6073344941246104,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,5.0,p,p,0.1372816648582429,0.15708942077647756,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,6.0,u,u,0.5275626865755089,0.5217050163454321,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,6.0,u,p,0.62499122164333,0.6505916249105167,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,6.0,p,u,-0.6212742165419644,-0.607830409951001,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,6.0,p,p,-0.0892897591836981,-0.07395660032320306,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,7.0,u,u,0.4119786941049435,0.4077680607192731,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,7.0,u,p,0.588930833955651,0.6179810223522861,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,7.0,p,u,-0.5848210432990391,-0.5794892090945992,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,7.0,p,p,-0.2848509292302974,-0.26631777520990124,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,8.0,u,u,0.30661106548712797,0.3034441670721978,0.0
l2p_discovery_leave_one_clone_out,relative_phase_generator_l2p,1.0,8.0,u,p,0.5197057053108219,0.5522707646142708,0.0
