block_lag,lag_time,block_size,block_count,paired_particle_block_count,mean_events_per_particle_block,particle_identity_correlation,replicate,temperature,debye_waller_factor,thermodynamic_claim_allowed
4.0,200.0,50.0,15.0,36047.0,0.7056250635744075,0.0016644436850472128,4.0,0.58,0.055333156138658524,0.0
5.0,250.0,50.0,15.0,32770.0,0.7056250635744075,-0.0005241742486987028,4.0,0.58,0.055333156138658524,0.0
6.0,300.0,50.0,15.0,29493.0,0.7056250635744075,0.011509035862100865,4.0,0.58,0.055333156138658524,0.0
1.0,100.0,100.0,7.0,19662.0,1.4213784384672392,0.03435275752247563,4.0,0.58,0.055333156138658524,0.0
2.0,200.0,100.0,7.0,16385.0,1.4213784384672392,0.0003616844352557658,4.0,0.58,0.055333156138658524,0.0
3.0,300.0,100.0,7.0,13108.0,1.4213784384672392,0.012008789561271556,4.0,0.58,0.055333156138658524,0.0
1.0,20.0,20.0,37.0,117972.0,0.29112817425298354,0.07810094630399841,5.0,0.58,0.05519552901387215,0.0
2.0,40.0,20.0,37.0,114695.0,0.29112817425298354,0.025553822591232133,5.0,0.58,0.05519552901387215,0.0
3.0,60.0,20.0,37.0,111418.0,0.29112817425298354,0.012408091859282244,5.0,0.58,0.05519552901387215,0.0
4.0,80.0,20.0,37.0,108141.0,0.29112817425298354,0.005998903534836131,5.0,0.58,0.05519552901387215,0.0
5.0,100.0,20.0,37.0,104864.0,0.29112817425298354,0.0005254120306500744,5.0,0.58,0.05519552901387215,0.0
6.0,120.0,20.0,37.0,101587.0,0.29112817425298354,0.0050480549989344444,5.0,0.58,0.05519552901387215,0.0
7.0,140.0,20.0,37.0,98310.0,0.29112817425298354,-5.5601449222719236e-05,5.0,0.58,0.05519552901387215,0.0
8.0,160.0,20.0,37.0,95033.0,0.29112817425298354,-0.0030908548617011675,5.0,0.58,0.05519552901387215,0.0
9.0,180.0,20.0,37.0,91756.0,0.29112817425298354,-0.006222639669213436,5.0,0.58,0.05519552901387215,0.0
10.0,200.0,20.0,37.0,88479.0,0.29112817425298354,0.004875075534179325,5.0,0.58,0.05519552901387215,0.0
11.0,220.0,20.0,37.0,85202.0,0.29112817425298354,0.0006242999143309766,5.0,0.58,0.05519552901387215,0.0
12.0,240.0,20.0,37.0,81925.0,0.29112817425298354,0.0049144089614149315,5.0,0.58,0.05519552901387215,0.0
13.0,260.0,20.0,37.0,78648.0,0.29112817425298354,0.0010320519975574943,5.0,0.58,0.05519552901387215,0.0
14.0,280.0,20.0,37.0,75371.0,0.29112817425298354,0.0015759515930338405,5.0,0.58,0.05519552901387215,0.0
15.0,300.0,20.0,37.0,72094.0,0.29112817425298354,0.0027572308566438967,5.0,0.58,0.05519552901387215,0.0
1.0,50.0,50.0,15.0,45878.0,0.7215339233038348,0.06231792104501388,5.0,0.58,0.05519552901387215,0.0
2.0,100.0,50.0,15.0,42601.0,0.7215339233038348,0.01029615287060489,5.0,0.58,0.05519552901387215,0.0
3.0,150.0,50.0,15.0,39324.0,0.7215339233038348,-0.0033503065597233314,5.0,0.58,0.05519552901387215,0.0
4.0,200.0,50.0,15.0,36047.0,0.7215339233038348,0.0024060985210703897,5.0,0.58,0.05519552901387215,0.0
5.0,250.0,50.0,15.0,32770.0,0.7215339233038348,0.003120642113873036,5.0,0.58,0.05519552901387215,0.0
6.0,300.0,50.0,15.0,29493.0,0.7215339233038348,0.0018011335906309898,5.0,0.58,0.05519552901387215,0.0
1.0,100.0,100.0,7.0,19662.0,1.4432625659357425,0.029797476526763195,5.0,0.58,0.05519552901387215,0.0
2.0,200.0,100.0,7.0,16385.0,1.4432625659357425,0.006690510622400045,5.0,0.58,0.05519552901387215,0.0
3.0,300.0,100.0,7.0,13108.0,1.4432625659357425,0.007041739160572974,5.0,0.58,0.05519552901387215,0.0
