temperature,lag,observable,channel,shapley_contribution,calibration_value,heldout_oracle_value,observed_value,calibration_to_oracle_shift,oracle_representation_residual
0.45,4096.0,fourth_moment,residual,0.001147514203238257,1.5501355644062975,1.6019599131171347,1.6170913307904564,0.05182434871083719,0.015131417673321712
0.45,4096.0,fs_k2,count,-0.005894750408825311,0.6917496917897088,0.6845520348188373,0.681698915318509,-0.007197656970871491,-0.002853119500328294
0.45,4096.0,fs_k2,kernel,-0.0011583261260981192,0.6917496917897088,0.6845520348188373,0.681698915318509,-0.007197656970871491,-0.002853119500328294
0.45,4096.0,fs_k2,residual,-0.0001445804359480607,0.6917496917897088,0.6845520348188373,0.681698915318509,-0.007197656970871491,-0.002853119500328294
0.45,4096.0,fs_k4,count,-0.0063203015002232885,0.3829135480061537,0.37143430045664355,0.36547921475070194,-0.01147924754951013,-0.00595508570594161
0.45,4096.0,fs_k4,kernel,-0.005001955840783426,0.3829135480061537,0.37143430045664355,0.36547921475070194,-0.01147924754951013,-0.00595508570594161
0.45,4096.0,fs_k4,residual,-0.00015699020850341394,0.3829135480061537,0.37143430045664355,0.36547921475070194,-0.01147924754951013,-0.00595508570594161
0.45,4096.0,fs_k7p25,count,-0.0018262323554980031,0.1723059409231121,0.16626692279186192,0.1585948106586421,-0.0060390181312501845,-0.007672112133219833
0.45,4096.0,fs_k7p25,kernel,-0.004283497540163869,0.1723059409231121,0.16626692279186192,0.1585948106586421,-0.0060390181312501845,-0.007672112133219833
0.45,4096.0,fs_k7p25,residual,7.07117644116878e-05,0.1723059409231121,0.16626692279186192,0.1585948106586421,-0.0060390181312501845,-0.007672112133219833
0.58,10.0,msd,count,0.0023235624205803357,0.14143915023967135,0.1467609979807264,0.10748781085615214,0.005321847741055041,-0.039273187124574255
0.58,10.0,msd,kernel,0.0008173385484413626,0.14143915023967135,0.1467609979807264,0.10748781085615214,0.005321847741055041,-0.039273187124574255
0.58,10.0,msd,residual,0.002180946772033343,0.14143915023967135,0.1467609979807264,0.10748781085615214,0.005321847741055041,-0.039273187124574255
0.58,10.0,fourth_moment,count,0.002419072494849116,0.0698369806360473,0.07503981192891696,0.029224333071752633,0.00520283129286965,-0.04581547885716432
0.58,10.0,fourth_moment,kernel,0.0013356100446216845,0.0698369806360473,0.07503981192891696,0.029224333071752633,0.00520283129286965,-0.04581547885716432
0.58,10.0,fourth_moment,residual,0.0014481487533988487,0.0698369806360473,0.07503981192891696,0.029224333071752633,0.00520283129286965,-0.04581547885716432
0.58,10.0,fs_k2,count,-0.0012661878929697834,0.9141045428685277,0.911167875684756,0.9320426574001933,-0.002936667183771724,0.02087478171543733
0.58,10.0,fs_k2,kernel,-0.00039255915394814656,0.9141045428685277,0.911167875684756,0.9320426574001933,-0.002936667183771724,0.02087478171543733
0.58,10.0,fs_k2,residual,-0.001277920136853794,0.9141045428685277,0.911167875684756,0.9320426574001933,-0.002936667183771724,0.02087478171543733
0.58,10.0,fs_k4,count,-0.0029652630466448873,0.7263911815118695,0.7190791291260055,0.7648964558318289,-0.007312052385864076,0.04581732670582339
0.58,10.0,fs_k4,kernel,-0.0006612357241563652,0.7263911815118695,0.7190791291260055,0.7648964558318289,-0.007312052385864076,0.04581732670582339
0.58,10.0,fs_k4,residual,-0.003685553615062823,0.7263911815118695,0.7190791291260055,0.7648964558318289,-0.007312052385864076,0.04581732670582339
