parent_group,clone_index,target_slot,a_particle_index,first_passage_tau,escaped_within_horizon,geometry_0,geometry_1,geometry_2,geometry_3,radial_A_0.8,radial_A_1.05,radial_A_1.3,radial_A_1.55,radial_A_1.8,radial_A_2.05,radial_A_2.3,radial_B_0.8,radial_B_1.05,radial_B_1.3,radial_B_1.55,radial_B_1.8,radial_B_2.05,radial_B_2.3,geometry_heldout_rate,radial_heldout_rate,geometry_radial_heldout_rate,geometry_heldout_event_probability,radial_heldout_event_probability,geometry_radial_heldout_event_probability,thermodynamic_claim_allowed
5,7,34,1911,2.6500000000000004,True,-5.726882924079386,-1.3491820742790805,-1.250120626444923,-0.9251373893931608,0.5339550768021616,5.640350022607294,2.712266344057845,1.098847595552271,1.7485871897039857,1.8847997791223474,0.34984005344877495,0.4844796772835944,0.34319203650735364,0.24240028842319558,0.8960415976852482,0.8898431428852095,0.5140133254525286,0.04211346060449714,0.05121886490980602,0.05055609099635361,0.054452114251150055,0.6409800418103564,0.6361893794421125,0.6634613524805878,False
5,7,35,1937,20.0,False,-6.8140622929419745,-1.153445882765435,-0.9085752842377692,-0.8952212052770051,0.492459327400861,5.443886509006113,2.098421196258067,0.9868829156043306,2.8672682606406847,1.518300562188254,0.3090287752194721,0.23114778784527434,1.7538127195740179,0.45643860716310747,0.33417422685518683,0.30027398717412673,0.3505412821165804,0.07125281961968429,0.056899526725434246,0.0410353706537503,0.04135808165668504,0.679537666756305,0.5598798024277025,0.56271128769137,False
5,7,36,1956,20.0,False,-7.169822576827992,-1.3643895102582742,-1.0116070265086359,-0.7457999247471502,0.7074001034579653,4.702309118840852,2.1454805048629817,2.7139256363913287,2.616704980606988,1.159307319172853,0.26806997650581127,0.8556447776450227,0.7792256589721139,0.012555379622537983,0.0008120386337163606,0.14434847671481282,0.43403294428183387,0.16705887780956605,0.046996297057554315,0.0594078362185341,0.055371173899007274,0.6093432341223713,0.6952174551526497,0.669590828181751,False
5,7,37,1959,20.0,False,-6.940823066298809,-1.1964795502622247,-1.0967655094552073,-1.000370435871422,0.6295438662312851,5.49437328950835,2.3733001954242723,1.230371500486874,2.7070488499216845,1.6855935771838746,0.37169735506872476,0.1462572910412019,0.6106071617402743,0.12838513498294873,0.38377530659240594,0.4780794691965261,0.3262798081538905,0.07601439055493936,0.05402795447506759,0.049747290000299614,0.04837924188598055,0.6605942855824785,0.6302565159043954,0.620000308353879,False
5,7,38,1975,20.0,False,-6.378335651675927,-1.4468559961409106,-1.2417101291136685,-1.0753356010363857,0.7465972306463019,5.103413091325723,1.9541698057401815,2.379350910502895,2.2669237975481793,1.2695952701661322,0.3637006417459712,1.4743397200439938,1.0112784199421418,0.041792192085284514,0.6927748642723645,0.732357686109007,0.40960554796590937,0.01649669022637712,0.046151983761008035,0.042901716570389596,0.04511043786463871,0.6026904881501117,0.5760053032136623,0.5943273629429914,False
5,7,39,2010,14.450000000000001,True,-5.777579232834542,-1.3482982416145919,-1.0118144309306447,-0.9392763265257458,0.7130005158226578,5.1543102012671405,3.2246471519682927,0.8182931179618136,2.5714714730736348,1.6185587089846631,0.36023851648231847,3.0487886239342975e-08,0.0005286587528667402,0.13905650280494447,0.8376740550681957,0.5138466273046078,0.15681916502157295,0.028654798889592582,0.05224114662364075,0.057569863721322286,0.05888180572653927,0.6482459019075384,0.6838053501282001,0.6919940304469955,False
5,7,40,2138,6.95,True,-6.886030181751235,-1.0560737506854834,-0.8398093049358242,-0.7388423898946124,0.3964554993541181,4.840359071136112,3.083193472286156,1.582422647761047,1.7865114473078347,1.5164868631456843,0.45356500528068916,7.233422608612708e-08,0.0008834655538901374,0.14964231725268273,0.7274720357459504,1.122213503630558,0.39997240376318494,0.022287844566827558,0.06078539951861091,0.0780663715368421,0.07689098669425193,0.7034999791939601,0.7901426848234767,0.7851509808146323,False
5,7,41,2141,20.0,False,-5.681812679436082,-1.0154178954223494,-0.9806752650245073,-0.6081988333842586,0.34542901577972507,4.797936998594786,2.467258224613664,2.549914988919298,1.6380402502173674,1.720201100577625,0.42901987803698755,0.5626565485902119,0.2952261919892078,0.39129470423003526,0.5005084347267807,0.657143305251739,0.20781296624465703,0.04757742743225127,0.06621516105430766,0.07078427738356956,0.0751161551940151,0.7340117704751714,0.7572408665683644,0.7773875927626738,False
5,7,42,2256,20.0,False,-5.8061315724605045,-1.1502338559704104,-1.1165184230332788,-0.7806788249011112,0.5633632636872208,5.025869527065707,2.4346441511002275,1.9892572281664327,2.0383670360535566,1.4827428671923621,0.37929127375924776,0.3773891437105806,0.4534792968345569,0.43427434644458535,0.45466519273449385,0.6611237510866714,0.2482022346711146,0.0547526055198726,0.059267794738149804,0.06742535886680466,0.06865605263024002,0.6943626146046038,0.7403724506128374,0.7466848852977153,False
5,7,43,2277,7.45,True,-4.944059280582667,-1.094022737522015,-0.85621514575452,-0.7233478116988021,0.3056441489163708,5.145614493245027,3.3348280650279847,1.1867059136336737,2.0203945430362618,1.5087453547808953,0.40544843726234464,5.063372076885511e-07,0.0033988842425690256,0.34026009965622683,0.7932542112658612,0.6414716040874842,0.19969047963457257,0.08823675920535018,0.06651260524345153,0.06566785084758422,0.07119232304365104,0.735589406301531,0.7310842154413476,0.7592139407908352,False
