replicate,temperature,block_size,block_lag,lag_time,heldout_identity_correlation,single_clock_prediction,two_clock_prediction,hmm_prediction,static_prediction,poisson_prediction
2.0,0.58,20.0,1.0,20.0,0.07737190959977135,0.043940169702959934,0.044669330478121314,0.05477478482091462,0.009925840801845175,0.0
2.0,0.58,20.0,2.0,40.0,0.02304535040816494,0.029814164437107892,0.03082040920438049,0.03376889160804138,0.009925840801845175,0.0
2.0,0.58,20.0,3.0,60.0,0.007615024728507293,0.020229425764439667,0.021270988272743936,0.020818667643587585,0.009925840801845175,0.0
2.0,0.58,20.0,4.0,80.0,0.009625686603744714,0.013726014949110294,0.014684432178953486,0.012834798591700034,0.009925840801845175,0.0
2.0,0.58,20.0,5.0,100.0,0.004043825903679818,0.009313338330857849,0.010140204531033321,0.007912708810654595,0.009925840801845175,0.0
2.0,0.58,20.0,6.0,120.0,0.00503954984095825,0.006319260993566695,0.007004160978359069,0.00487821918473266,0.009925840801845175,0.0
2.0,0.58,20.0,7.0,140.0,0.002007610911476984,0.004287727782046047,0.004839328280009602,0.0030074432136628975,0.009925840801845175,0.0
2.0,0.58,20.0,8.0,160.0,0.004995413419838619,0.002909297392787843,0.003344515848497078,0.0018541017410029917,0.009925840801845175,0.0
2.0,0.58,20.0,9.0,180.0,-0.000383570272862807,0.0019740085541632103,0.002312065998257809,0.0011430617377487923,0.009925840801845175,0.0
2.0,0.58,20.0,10.0,200.0,0.0005886336955342892,0.0013393989152052598,0.001598768235985708,0.0007047025022469792,0.009925840801845175,0.0
2.0,0.58,20.0,11.0,220.0,-0.002965497103570396,0.0009088053090091627,0.001105830515572469,0.00043445213873678925,0.009925840801845175,0.0
2.0,0.58,20.0,12.0,240.0,0.005430942657023087,0.0006166401064739311,0.0007650834400967426,0.0002678416214659886,0.009925840801845175,0.0
2.0,0.58,20.0,13.0,260.0,0.014283883374090945,0.00041840096788909437,0.0005294751044265672,0.00016512551738867773,0.009925840801845175,0.0
2.0,0.58,20.0,14.0,280.0,0.0062321549339316345,0.0002838922867530542,0.0003665203378542298,0.00010180059523101749,0.009925840801845175,0.0
2.0,0.58,20.0,15.0,300.0,0.009993890157934528,0.0001926258222692295,0.00025378481068449843,6.276050699660095e-05,0.009925840801845175,0.0
2.0,0.58,20.0,16.0,320.0,0.005026682940459847,0.00013069994901683462,0.00017577105288936275,3.869212384791897e-05,0.009925840801845175,0.0
2.0,0.58,20.0,17.0,340.0,0.005774860635961433,8.8682173925401e-05,0.00012177058107330768,2.385386160031785e-05,0.009925840801845175,0.0
2.0,0.58,20.0,18.0,360.0,0.006077212473533332,6.017238745152138e-05,8.438198947752488e-05,1.4706008785757628e-05,0.009925840801845175,0.0
2.0,0.58,20.0,19.0,380.0,0.008426263852548832,4.082800467500646e-05,5.848823461684798e-05,9.066317983663442e-06,0.009925840801845175,0.0
2.0,0.58,20.0,20.0,400.0,0.005121465703854437,2.7702506686897375e-05,4.055062948928047e-05,5.589424226409127e-06,0.009925840801845175,0.0
2.0,0.58,20.0,21.0,420.0,0.0036822518291343242,1.8796629491114665e-05,2.8121335473571605e-05,3.445904196065423e-06,0.009925840801845175,0.0
2.0,0.58,20.0,22.0,440.0,-0.011000686606615672,1.2753837918694556e-05,1.9506637382174508e-05,2.1244148319172753e-06,0.009925840801845175,0.0
2.0,0.58,20.0,23.0,460.0,-0.004355474444150207,8.653699416335364e-06,1.3534301338943664e-05,1.3097109267353582e-06,0.009925840801845175,0.0
2.0,0.58,20.0,24.0,480.0,0.0017392893365903205,5.871684591389898e-06,9.392798982934209e-06,8.074424476042191e-07,0.009925840801845175,0.0
2.0,0.58,20.0,25.0,500.0,0.0034575410502343563,3.984039458972289e-06,6.5201670979253405e-06,4.977917591465805e-07,0.009925840801845175,0.0
2.0,0.58,20.0,26.0,520.0,0.001080358615596171,2.7032396177961214e-06,4.527158050834967e-06,3.068907712363777e-07,0.009925840801845175,0.0
2.0,0.58,20.0,27.0,540.0,-0.007331166845801887,1.8341947931177262e-06,3.1440866672227986e-06,1.891994870134556e-07,0.009925840801845175,0.0
2.0,0.58,20.0,28.0,560.0,-0.00290523408159234,1.2445328623301886e-06,2.184056858910257e-06,1.1664230156527945e-07,0.009925840801845175,0.0
2.0,0.58,20.0,29.0,580.0,0.0002223178966026178,8.444370528318036e-07,1.517513561464053e-06,7.191048310547478e-08,0.009925840801845175,0.0
2.0,0.58,20.0,30.0,600.0,0.007657173912522228,5.729651323631144e-07,1.0546273598657793e-06,4.43331236701355e-08,0.009925840801845175,0.0
2.0,0.58,50.0,1.0,50.0,0.05540960596657409,0.05434476300777575,0.05636476446001226,0.05740259255387565,0.024459907194832688,0.0
2.0,0.58,50.0,2.0,100.0,0.009981379194854631,0.01883825341997563,0.02029674251056952,0.02070577783771215,0.024459907194832688,0.0
2.0,0.58,50.0,3.0,150.0,0.00957730988481425,0.006530156215134229,0.007320371109807208,0.007468813110876561,0.024459907194832688,0.0
2.0,0.58,50.0,4.0,200.0,0.0024083996630050544,0.0022636355527969835,0.00264440633165696,0.002694087115317242,0.024459907194832688,0.0
2.0,0.58,50.0,5.0,250.0,0.0146150747665933,0.0007846743243310261,0.0009567746453096951,0.0009717883252894178,0.024459907194832688,0.0
2.0,0.58,50.0,6.0,300.0,0.017292677425729326,0.0002720021756609925,0.0003467156140604321,0.0003505352680689417,0.024459907194832688,0.0
2.0,0.58,50.0,7.0,350.0,0.013591456729844676,9.428775897234741e-05,0.00012583840558134715,0.00012644211806472382,0.024459907194832688,0.0
2.0,0.58,50.0,8.0,400.0,0.013791251606466996,3.268422934641408e-05,4.574259994208261e-05,4.5609131739489296e-05,0.024459907194832688,0.0
2.0,0.58,50.0,9.0,450.0,-0.012701340913075154,1.1329772386278594e-05,1.6652757562525165e-05,1.6451740368389516e-05,0.024459907194832688,0.0
2.0,0.58,50.0,10.0,500.0,0.00045136807294355154,3.927390820948466e-06,6.071516630841525e-06,5.934332683526063e-06,0.024459907194832688,0.0
2.0,0.58,50.0,11.0,550.0,0.0002871388292554377,1.3614041072131908e-06,2.216870431672798e-06,2.1405823098467123e-06,0.024459907194832688,0.0
2.0,0.58,50.0,12.0,600.0,0.007530285725908413,4.7192174846743243e-07,8.105884139705055e-07,7.721327518338756e-07,0.024459907194832688,0.0
3.0,0.58,20.0,1.0,20.0,0.0657322002073804,0.044321632161588145,0.0442332993756976,0.0500764031333663,0.007674275628449124,0.0
3.0,0.58,20.0,2.0,40.0,0.021404640462181067,0.026676779749077163,0.026572921387506915,0.02907382934145144,0.007674275628449124,0.0
3.0,0.58,20.0,3.0,60.0,0.004147713808514397,0.01605650656515157,0.015964904666862584,0.01687995741875919,0.007674275628449124,0.0
3.0,0.58,20.0,4.0,80.0,0.0029578005649510755,0.00966426253474894,0.00959243398212638,0.009800324515659375,0.007674275628449124,0.0
3.0,0.58,20.0,5.0,100.0,0.01100833201825778,0.005816830078297315,0.005764016800144035,0.005689964626658067,0.007674275628449124,0.0
3.0,0.58,20.0,6.0,120.0,-5.348941338267616e-06,0.0035010961300073295,0.0034638104235194755,0.0033035332045269323,0.007674275628449124,0.0
3.0,0.58,20.0,7.0,140.0,0.0016735335973538414,0.00210727732228003,0.002081680321755747,0.0019179963935596197,0.007674275628449124,0.0
3.0,0.58,20.0,8.0,160.0,-0.0026236919387095554,0.0012683506959251646,0.0012511334881303094,0.0011135683941867632,0.007674275628449124,0.0
3.0,0.58,20.0,9.0,180.0,-0.0003677123867822029,0.0007634085323488666,0.0007520065966655316,0.0006465260167827008,0.007674275628449124,0.0
3.0,0.58,20.0,10.0,200.0,-0.0014434207565870354,0.0004594885224846656,0.0004520295172691162,0.00037536615852155783,0.007674275628449124,0.0
3.0,0.58,20.0,11.0,220.0,0.007072155885646284,0.000276561884428425,0.00027173018683687304,0.00021793361644499462,0.007674275628449124,0.0
3.0,0.58,20.0,12.0,240.0,0.006469056651264452,0.00016646003583507154,0.00016335550786375556,0.00012652994975322562,0.007674275628449124,0.0
3.0,0.58,20.0,13.0,260.0,0.0027271159757658327,0.0001001907532828678,9.820947322599694e-05,7.34619488526434e-05,0.007674275628449124,0.0
3.0,0.58,20.0,14.0,280.0,0.004096272606919761,6.030388611314672e-05,5.904670044330061e-05,4.265122952908482e-05,0.007674275628449124,0.0
3.0,0.58,20.0,15.0,300.0,0.008101643562228644,3.629635032367013e-05,3.55025487458648e-05,2.4762852180679912e-05,0.007674275628449124,0.0
3.0,0.58,20.0,16.0,320.0,0.0037283855129578514,2.184643696671117e-05,2.1347356957245565e-05,1.4377049733209919e-05,0.007674275628449124,0.0
3.0,0.58,20.0,17.0,340.0,0.006217172310655861,1.3149167998558824e-05,1.283655393621729e-05,8.347162819655294e-06,0.007674275628449124,0.0
3.0,0.58,20.0,18.0,360.0,0.008738290809408416,7.91436238860294e-06,7.719188776325279e-06,4.846274335192105e-06,0.007674275628449124,0.0
3.0,0.58,20.0,19.0,380.0,-0.0006480972791108211,4.76358139351463e-06,4.642083009265931e-06,2.8136955561280848e-06,0.007674275628449124,0.0
3.0,0.58,20.0,20.0,400.0,0.001260177554654408,2.8671555052010167e-06,2.7917168081836616e-06,1.6336018423647718e-06,0.007674275628449124,0.0
3.0,0.58,20.0,21.0,420.0,0.0021441498590700435,1.725714333798595e-06,1.6789828690712388e-06,9.48451929550581e-07,0.007674275628449124,0.0
3.0,0.58,20.0,22.0,440.0,0.0034660105350478496,1.0386914684172807e-06,1.0098035017402502e-06,5.506611460268876e-07,0.007674275628449124,0.0
3.0,0.58,20.0,23.0,460.0,-0.006220818491857187,6.251787711515646e-07,6.073548097344817e-07,3.1970802978631513e-07,0.007674275628449124,0.0
3.0,0.58,20.0,24.0,480.0,-0.009088960481832886,3.7628930994700483e-07,3.653107022260874e-07,1.856190963305345e-07,0.007674275628449124,0.0
3.0,0.58,20.0,25.0,500.0,-0.010264152605328973,2.2648504925972e-07,2.1973335466319523e-07,1.0776848159113406e-07,0.007674275628449124,0.0
3.0,0.58,20.0,26.0,520.0,0.0039744104389196995,1.3631925271914329e-07,1.3217296344285985e-07,6.256923912492986e-08,0.007674275628449124,0.0
3.0,0.58,20.0,27.0,540.0,0.011661483072283063,8.204929518590788e-08,7.950633374708831e-08,3.6327037616856674e-08,0.007674275628449124,0.0
3.0,0.58,20.0,28.0,560.0,-0.0029401852442121797,4.938471056890448e-08,4.782695377304876e-08,2.1091093330727773e-08,0.007674275628449124,0.0
3.0,0.58,20.0,29.0,580.0,0.014449837174559402,2.9724199731984372e-08,2.8771007187077926e-08,1.2245265429489775e-08,0.007674275628449124,0.0
3.0,0.58,20.0,30.0,600.0,-0.007253793049514566,1.78907204178943e-08,1.7308054183751975e-08,7.109471428880323e-09,0.007674275628449124,0.0
3.0,0.58,50.0,1.0,50.0,0.039949307697670626,0.043145369704923164,0.04375266984221364,0.047896248527839025,0.019248183370770295,0.0
3.0,0.58,50.0,2.0,100.0,0.013819896487678238,0.012501923021277075,0.012871042211342205,0.015531744945002268,0.019248183370770295,0.0
3.0,0.58,50.0,3.0,150.0,0.004807169694059354,0.0036225921877337188,0.0037909775641234962,0.005036617865726768,0.019248183370770295,0.0
3.0,0.58,50.0,4.0,200.0,-0.0015205734881045634,0.0010496924462176727,0.0011180209891720814,0.0016332691281748554,0.019248183370770295,0.0
3.0,0.58,50.0,5.0,250.0,0.012110051126726093,0.0003041618196432312,0.0003301743645382425,0.000529634789885758,0.019248183370770295,0.0
3.0,0.58,50.0,6.0,300.0,0.012714806146317849,8.813477972718207e-05,9.764838592472528e-05,0.00017174941093192557,0.019248183370770295,0.0
3.0,0.58,50.0,7.0,350.0,0.003396717996756565,2.553818032345457e-05,2.89233620541795e-05,5.5694717791907346e-05,0.019248183370770295,0.0
3.0,0.58,50.0,8.0,400.0,0.010705069721903123,7.400014571456794e-06,8.580800565448486e-06,1.8060624331047442e-05,0.019248183370770295,0.0
3.0,0.58,50.0,9.0,450.0,-0.004352911599150667,2.1442489231498e-06,2.5499687578909323e-06,5.856680205220807e-06,0.019248183370770295,0.0
3.0,0.58,50.0,10.0,500.0,-0.013020167598660435,6.213235663296722e-07,7.591045627217189e-07,1.8991980785104972e-06,0.019248183370770295,0.0
3.0,0.58,50.0,11.0,550.0,0.01516410480915565,1.800364546806179e-07,2.2639056324877668e-07,6.158699493618633e-07,0.019248183370770295,0.0
3.0,0.58,50.0,12.0,600.0,-0.008685727168563995,5.216786674524411e-08,6.764466099648752e-08,1.997136574740313e-07,0.019248183370770295,0.0
4.0,0.58,20.0,1.0,20.0,0.07670459593605282,0.04787414534267092,0.04774093440482355,0.053222270799610054,0.009284787363163426,0.0
4.0,0.58,20.0,2.0,40.0,0.04026183733543599,0.03132173346971483,0.031150830286219854,0.030713908651815943,0.009284787363163426,0.0
4.0,0.58,20.0,3.0,60.0,0.020219238894335127,0.020492292458188892,0.020327825333253318,0.01772461359688933,0.009284787363163426,0.0
4.0,0.58,20.0,4.0,80.0,0.009430761181148014,0.01340711396442927,0.013266407865923984,0.010228653432569854,0.009284787363163426,0.0
4.0,0.58,20.0,5.0,100.0,0.003643064796332683,0.008771625001055676,0.008658755818099658,0.005902828316775538,0.009284787363163426,0.0
4.0,0.58,20.0,6.0,120.0,-0.0009682566415080923,0.005738849193292459,0.0056519198504016155,0.0034064485972688835,0.009284787363163426,0.0
