parent_group,target_slot,a_particle_index,escape_successes,clone_trials,observed_committor,geometry_heldout_committor,softmode_heldout_committor,geometry_softmode_heldout_committor,thermodynamic_claim_allowed
2,1,134,4,8,0.5,0.6881845581495788,0.6513692832184095,0.6624202251531823,False
2,2,236,7,8,0.875,0.7080128711619479,0.6417450502308704,0.6815797482221604,False
2,3,294,5,8,0.625,0.6568306728852402,0.7351257315943726,0.7208536416092949,False
2,4,364,4,8,0.5,0.5425604468496049,0.6219945774863749,0.49317216171293404,False
2,5,419,8,8,1.0,0.7208789962241156,0.7195867614707058,0.7351312080297296,False
2,6,422,6,8,0.75,0.6135978454044123,0.7183361936015379,0.6588813592214896,False
2,7,451,4,8,0.5,0.5850584801081243,0.663839317458221,0.5845969963364138,False
2,8,580,4,8,0.5,0.7525916930871152,0.6601252457324359,0.7365059845894493,False
2,9,682,6,8,0.75,0.7389628779454944,0.6322405594851223,0.7083195082014869,False
2,10,719,5,8,0.625,0.6863800890983894,0.703301816153942,0.7075651390798119,False
2,11,770,4,8,0.5,0.6641530515894384,0.6698068302864596,0.6729567784434425,False
2,12,804,4,8,0.5,0.6009174197502525,0.6157281236515105,0.5392709584368474,False
2,13,896,4,8,0.5,0.6175605441027838,0.6610454166187802,0.6102129149257429,False
2,14,1032,8,8,1.0,0.7369682680023322,0.6440254721976578,0.7069519725393628,False
2,15,1081,4,8,0.5,0.6691413274876716,0.6112789134739087,0.5963533297114766,False
2,16,1093,5,8,0.625,0.6372479727496395,0.7226881780732539,0.684001960780912,False
2,17,1120,6,8,0.75,0.6664800531700616,0.5976424532813699,0.5755098087817998,False
2,18,1211,6,8,0.75,0.7720535243791163,0.6385060052214837,0.7354213768895375,False
2,19,1285,5,8,0.625,0.7183063110659877,0.6599445354702485,0.7016437442133933,False
2,20,1387,4,8,0.5,0.6496040107838935,0.6902559834181832,0.6638860691189677,False
2,21,1394,3,8,0.375,0.7143940143588301,0.6812654381660055,0.7302791710567899,False
2,22,1438,6,8,0.75,0.5969849916609766,0.6755578487787647,0.5854143422346582,False
2,23,1470,7,8,0.875,0.699192072321245,0.6897366565247828,0.7178453020042319,False
2,24,1480,7,8,0.875,0.6561724197271356,0.6642199240635402,0.6545997533133252,False
2,25,1576,3,8,0.375,0.6838133244224499,0.6397663779594017,0.6549674940292934,False
2,26,1583,5,8,0.625,0.5693117633787426,0.7156135556751697,0.608616279624154,False
2,27,1663,4,8,0.5,0.7101112085340946,0.8725457548987181,0.8760499036198605,False
2,28,1725,4,8,0.5,0.604552725612154,0.6744145586584166,0.6027237310293717,False
2,29,1737,5,8,0.625,0.7178798623464762,0.6553453144979756,0.694826449660958,False
2,30,1809,4,8,0.5,0.6838247706453959,0.6949568259789536,0.6984187509606539,False
2,31,1831,6,8,0.75,0.6926385767616154,0.6437256223044818,0.6691667210770598,False
2,32,1836,8,8,1.0,0.6808112010843801,0.7335315596611695,0.7197761569707471,False
2,33,1849,5,8,0.625,0.6991124039739084,0.6624063035847155,0.693488723522452,False
2,34,1911,7,8,0.875,0.7800707677525883,0.6801208080019928,0.7796630714788514,False
2,35,1937,5,8,0.625,0.7160094666670224,0.6833105267319296,0.7304803886312192,False
2,36,1956,7,8,0.875,0.6798012178060437,0.6640634120030918,0.6602737306919401,False
2,37,1959,5,8,0.625,0.7377642218565935,0.6730472199993343,0.7270733927677376,False
2,38,1975,5,8,0.625,0.6650745484757444,0.622524404410143,0.6153825144457484,False
2,39,2010,8,8,1.0,0.6941744740047856,0.6535128771474731,0.6597336510844426,False
2,40,2138,6,8,0.75,0.7343806640561736,0.7023838400504783,0.7487651743901622,False
2,41,2141,6,8,0.75,0.5454901885237041,0.6547076284295763,0.5364027439331666,False
2,42,2256,7,8,0.875,0.724043668534322,0.7013050820443781,0.752708364621561,False
2,43,2277,6,8,0.75,0.6874374618409901,0.6675754292105461,0.6871526766723276,False
2,44,2288,4,8,0.5,0.6468848742577408,0.6819207962463982,0.6542760404199044,False
2,45,2412,7,8,0.875,0.7542400030494995,0.6446094454850644,0.7283985681436093,False
2,46,2426,6,8,0.75,0.7599856438613504,0.6228282707913657,0.708904729477113,False
2,47,2541,6,8,0.75,0.6395260165581139,0.6327679659511274,0.590814239732701,False
2,48,2590,7,8,0.875,0.736106424454456,0.6196585522135999,0.6959662615810488,False
2,49,2687,4,8,0.5,0.658617935238774,0.606166454991111,0.5883692146959675,False
2,50,2823,4,8,0.5,0.6296832126496809,0.6965882860044321,0.6512372598861146,False
2,51,2826,4,8,0.5,0.6358586990322208,0.6626178140031493,0.6307913309366451,False
2,52,2828,5,8,0.625,0.691017318413868,0.6905155923094732,0.709502683525959,False
2,53,2845,7,8,0.875,0.5891759915291117,0.6564247637694682,0.5665687140258535,False
