replicate,temperature,block_size,first_count,second_count,heldout_probability,hybrid_probability
2.0,0.45,20.0,0.0,6.0,2.4510614934562785e-06,1.516775071924878e-06
2.0,0.45,20.0,1.0,0.0,0.036933820114145935,0.04548883309303345
2.0,0.45,20.0,1.0,1.0,0.01304087267593413,0.014608231314324878
2.0,0.45,20.0,1.0,2.0,0.003668013524957321,0.00354921061383324
2.0,0.45,20.0,1.0,3.0,0.0007193865483294178,0.00058043010902723
2.0,0.45,20.0,1.0,4.0,0.00011397435944571696,7.120440027592187e-05
2.0,0.45,20.0,1.0,5.0,1.4706368960737672e-05,6.988036270871459e-06
2.0,0.45,20.0,1.0,6.0,2.4510614934562785e-06,5.715079136402787e-07
2.0,0.45,20.0,2.0,0.0,0.008977012719783621,0.009449995130775659
2.0,0.45,20.0,2.0,1.0,0.003794243191870319,0.00354921061383324
2.0,0.45,20.0,2.0,2.0,0.0011593520864048197,0.0008658755631435098
2.0,0.45,20.0,2.0,3.0,0.00026961676428019065,0.0001416142459278352
2.0,0.45,20.0,2.0,4.0,4.657016837566929e-05,1.737258555502128e-05
2.0,0.45,20.0,2.0,5.0,1.2255307467281393e-06,1.7049544786552626e-06
2.0,0.45,20.0,2.0,6.0,0.0,1.3943759586362134e-07
2.0,0.45,20.0,3.0,0.0,0.0015159815337027083,0.0015405463695487007
2.0,0.45,20.0,3.0,1.0,0.0007549269399845338,0.00058043010902723
2.0,0.45,20.0,3.0,2.0,0.0002610380490530937,0.0001416142459278352
2.0,0.45,20.0,3.0,3.0,7.475737555041649e-05,2.3161091564747718e-05
2.0,0.45,20.0,3.0,4.0,1.2255307467281392e-05,2.8412964578314064e-06
2.0,0.45,20.0,3.0,5.0,1.2255307467281393e-06,2.7884629538737505e-07
2.0,0.45,20.0,3.0,6.0,0.0,2.2805099802610572e-08
2.0,0.45,20.0,4.0,0.0,0.0002218210651577932,0.00018897582287472466
2.0,0.45,20.0,4.0,1.0,0.00010539564421861998,7.120440027592187e-05
2.0,0.45,20.0,4.0,2.0,4.657016837566929e-05,1.737258555502128e-05
2.0,0.45,20.0,4.0,3.0,9.804245973825114e-06,2.8412964578314064e-06
2.0,0.45,20.0,4.0,4.0,1.2255307467281393e-06,3.485572146992818e-07
2.0,0.45,20.0,4.0,5.0,1.2255307467281393e-06,3.4207584281609905e-08
2.0,0.45,20.0,4.0,6.0,0.0,2.7976250230067624e-09
2.0,0.45,20.0,5.0,0.0,1.715743045419395e-05,1.8546163886674385e-05
2.0,0.45,20.0,5.0,1.0,1.715743045419395e-05,6.988036270871459e-06
2.0,0.45,20.0,5.0,2.0,0.0,1.7049544786552626e-06
2.0,0.45,20.0,5.0,3.0,0.0,2.7884629538737505e-07
2.0,0.45,20.0,5.0,4.0,0.0,3.4207584281609905e-08
2.0,0.45,20.0,5.0,5.0,0.0,3.3571499112224513e-09
2.0,0.45,20.0,5.0,6.0,0.0,2.745603583200139e-10
2.0,0.45,20.0,6.0,0.0,1.2255307467281393e-06,1.516775071924878e-06
2.0,0.45,20.0,6.0,1.0,1.2255307467281393e-06,5.715079136402787e-07
2.0,0.45,20.0,6.0,2.0,1.2255307467281393e-06,1.3943759586362134e-07
2.0,0.45,20.0,6.0,3.0,1.2255307467281393e-06,2.2805099802610572e-08
2.0,0.45,20.0,6.0,4.0,0.0,2.7976250230067624e-09
2.0,0.45,20.0,6.0,5.0,0.0,2.745603583200139e-10
2.0,0.45,20.0,6.0,6.0,0.0,2.2454579734083064e-11
2.0,0.45,50.0,0.0,0.0,0.7836928947700995,0.7579469352109436
2.0,0.45,50.0,0.0,1.0,0.04901933586706245,0.05360834048676208
2.0,0.45,50.0,0.0,2.0,0.019240312801496812,0.020518370815091086
2.0,0.45,50.0,0.0,3.0,0.0062942516406050125,0.0077000021395959095
