model,replicate,realization,temperature,calibration_time,block_size,radial_bin_count,required_realizations_per_replicate,surrogate_base_seed,surrogate_seed,scheduled_return_fraction_absolute_error,scheduled_return_given_return_absolute_error,scheduled_return_given_escape_absolute_error,radial_mean_relative_error,radial_standard_deviation_relative_error,lag_one_cosine_mean_absolute_error,lag_one_cosine_quantile_maximum_absolute_error,geometric_return_fraction_absolute_error,return_closure_quantile_maximum_error_over_dw,geometric_return_quality_required,unsupported_tuple_count,active_particle_count,non_propagating_particle_count,return_holding_time_mean_relative_error,return_holding_time_quantile_maximum_relative_error,escape_holding_time_mean_relative_error,escape_holding_time_quantile_maximum_relative_error,calibration_events_only,external_cage_channel_used,calibration_cage_residual_transfer,heldout_events_used_in_calibration,heldout_cage_residual_used_in_prediction,macro_fit_parameter_count,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed
anchor_aware_semi_markov,2.0,5.0,0.45,5000.0,20.0,8.0,16.0,84031.0,2571082.0,0.05969505072920639,0.04807653470493245,0.05834383166501389,0.004593724071137784,0.08106598135048038,0.016029787534438622,0.033293003071048766,0.024152368808819824,0.01250801836102372,1.0,0.0,2971.0,161.0,0.1431350689717229,0.2857142857142857,0.1768876235396597,0.3076923076923077,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
state_schedule_without_anchor_geometry,2.0,5.0,0.45,5000.0,20.0,8.0,16.0,84031.0,2571082.0,0.05969505072920639,0.04807653470493245,0.05834383166501389,0.004593724071137784,0.08106598135048038,0.0023030200343184815,0.0053978713875445505,0.036149821659512305,1.2149830444329173,0.0,0.0,2971.0,161.0,0.1431350689717229,0.2857142857142857,0.1768876235396597,0.3076923076923077,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_aware_semi_markov,2.0,6.0,0.45,5000.0,20.0,8.0,16.0,84031.0,2668491.0,0.05927165954550667,0.047494278248411015,0.05807846099579206,0.005178135624649638,0.07424242044637153,0.018203198549089528,0.03417328431578348,0.024563975433055885,0.012605559786774523,1.0,0.0,2971.0,161.0,0.147477301494503,0.2857142857142857,0.17692448431468089,0.3076923076923077,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
state_schedule_without_anchor_geometry,2.0,6.0,0.45,5000.0,20.0,8.0,16.0,84031.0,2668491.0,0.05927165954550667,0.047494278248411015,0.05807846099579206,0.005178135624649638,0.07424242044637153,0.0006047789300351325,0.001956331048113713,0.03340654868467363,1.2066161032573361,0.0,0.0,2971.0,161.0,0.147477301494503,0.2857142857142857,0.17692448431468089,0.3076923076923077,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_aware_semi_markov,2.0,7.0,0.45,5000.0,20.0,8.0,16.0,84031.0,2765900.0,0.059711072998797576,0.046538723714515895,0.05926334133889288,0.0015927520723522104,0.07814970938419574,0.018044394897173577,0.03722335180427816,0.024137988004418243,0.012131192955764536,1.0,0.0,2971.0,161.0,0.13593006385851147,0.2857142857142857,0.17930534150098287,0.3076923076923077,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
state_schedule_without_anchor_geometry,2.0,7.0,0.45,5000.0,20.0,8.0,16.0,84031.0,2765900.0,0.059711072998797576,0.046538723714515895,0.05926334133889288,0.0015927520723522104,0.07814970938419574,2.6427230167658244e-05,0.0022918942262524222,0.033124785363631615,1.1988525504244942,0.0,0.0,2971.0,161.0,0.13593006385851147,0.2857142857142857,0.17930534150098287,0.3076923076923077,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_aware_semi_markov,2.0,8.0,0.45,5000.0,20.0,8.0,16.0,84031.0,2863309.0,0.06115309248058598,0.05401489669837445,0.05696034850334364,0.0035414193088323387,0.076796940294521,0.01990168876155024,0.03660486813266517,0.023986188652198093,0.013679721305265902,1.0,0.0,2971.0,161.0,0.13883245494714258,0.2857142857142857,0.1769088838334334,0.3076923076923077,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
state_schedule_without_anchor_geometry,2.0,8.0,0.45,5000.0,20.0,8.0,16.0,84031.0,2863309.0,0.06115309248058598,0.05401489669837445,0.05696034850334364,0.0035414193088323387,0.076796940294521,0.0001594857487841883,0.0018877954206305003,0.03271642625290733,1.223347908836235,0.0,0.0,2971.0,161.0,0.13883245494714258,0.2857142857142857,0.1769088838334334,0.3076923076923077,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_aware_semi_markov,2.0,9.0,0.45,5000.0,20.0,8.0,16.0,84031.0,2960718.0,0.05914022254060092,0.04699144151425877,0.058155339554152696,0.000508137671734632,0.07790077843624454,0.018506346271029206,0.03589425306412264,0.024792130343435415,0.014239926611568088,1.0,0.0,2971.0,161.0,0.14582326382201627,0.2857142857142857,0.17711927565002028,0.3076923076923077,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
state_schedule_without_anchor_geometry,2.0,9.0,0.45,5000.0,20.0,8.0,16.0,84031.0,2960718.0,0.05914022254060092,0.04699144151425877,0.058155339554152696,0.000508137671734632,0.07790077843624454,0.0006498518465424541,0.002084473458589975,0.03249032842135391,1.19408320296777,0.0,0.0,2971.0,161.0,0.14582326382201627,0.2857142857142857,0.17711927565002028,0.3076923076923077,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_aware_semi_markov,2.0,10.0,0.45,5000.0,20.0,8.0,16.0,84031.0,3058127.0,0.06101478633851121,0.04876959055974789,0.059783689755071256,0.002022488806905365,0.08285881094833758,0.017153879278840434,0.035891346041591166,0.02335301519943339,0.012483798598502516,1.0,0.0,2971.0,161.0,0.13851719681234742,0.2857142857142857,0.1764333585513772,0.3076923076923077,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
state_schedule_without_anchor_geometry,2.0,10.0,0.45,5000.0,20.0,8.0,16.0,84031.0,3058127.0,0.06101478633851121,0.04876959055974789,0.059783689755071256,0.002022488806905365,0.08285881094833758,0.0008578755668091631,0.003223723654200983,0.03453662096320498,1.2174250727366027,0.0,0.0,2971.0,161.0,0.13851719681234742,0.2857142857142857,0.1764333585513772,0.3076923076923077,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
