temperature,replicate,lag,heldout_msd,heldout_ngp,cage_variance_root_supported,inferred_cage_variance,inferred_cage_fraction,heldout_msd_used_as_diagnostic_input,heldout_ngp_used_as_diagnostic_input,heldout_fs_k2_used_for_cage_diagnostic,blind_prediction_claim_allowed,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,observed_fs_k2,gaussian_fs_k2,gamma_fs_k2,gaussian_fs_k2_normalized_error,gamma_fs_k2_normalized_error,cage_gamma_fs_k2,cage_gamma_fs_k2_normalized_error,observed_fs_k4,gaussian_fs_k4,gamma_fs_k4,gaussian_fs_k4_normalized_error,gamma_fs_k4_normalized_error,cage_gamma_fs_k4,cage_gamma_fs_k4_normalized_error,observed_fs_k7p25,gaussian_fs_k7p25,gamma_fs_k7p25,gaussian_fs_k7p25_normalized_error,gamma_fs_k7p25_normalized_error,cage_gamma_fs_k7p25,cage_gamma_fs_k7p25_normalized_error
0.45,3,100,0.0614576448713,1.52909827745,1,0.0039312734272,0.383803196699,1,1,1,0,0,0,0,0.961011231586,0.959856232788,0.961039726845,0.0384999599265,0.000949841976013,,,0.862271216767,0.848837890168,0.863946017752,0.447777553325,0.055826699492,0.862746073248,0.015828549349,0.650903893695,0.583684561542,0.675165829912,2.24064440509,0.808731207247,0.658809053675,0.263505332664
0.45,3,200,0.0829171147906,1.86151522014,1,0.00239375860392,0.173215766851,1,1,1,0,0,0,0,0.948712065978,0.946221989241,0.94874503564,0.0830025578722,0.00109898874239,,,0.828518525827,0.801626647666,0.83094969743,0.896395938708,0.0810390534293,0.829723933585,0.0401802586088,0.597865613839,0.483652563347,0.631606941076,3.80710168306,1.12471090793,0.617748344566,0.662757690901
0.45,3,500,0.144237885234,1.88756166976,0,,,1,1,1,0,0,0,0,0.915465140149,0.908319954042,0.91542916311,0.238172870229,0.00119923465248,,,0.746495797191,0.680699481242,0.7488878219,2.19321053163,0.0797341569922,,,0.48619658943,0.282639237485,0.524133575219,6.78524506485,1.26456619295,,
0.45,3,1000,0.244033095803,1.54990166363,0,,,1,1,1,0,0,0,0,0.865397675191,0.849855681371,0.864951104228,0.51806646066,0.0148856987631,,,0.639426179093,0.521651821567,0.637634212208,3.92581191752,0.0597322294979,,,0.36388006323,0.117910242624,0.389413522174,8.19899402017,0.851115298155,,
0.45,3,2000,0.452360034996,1.07306531362,0,,,1,1,1,0,0,0,0,0.771058736863,0.739653565846,0.770071897116,1.0468390339,0.0328946582493,,,0.471649465916,0.29930462047,0.46119367956,5.74482818156,0.348526211886,,,0.210854938193,0.0190086262457,0.213152673651,6.39487706492,0.0765911819079,,
0.45,3,3000,0.647231828357,0.823501574253,0,,,1,1,1,0,0,0,0,0.692201946773,0.64954193132,0.691279677312,1.42200051509,0.0307423153601,,,0.358000678743,0.178003593216,0.341691612496,5.9999028509,0.543635541592,,,0.129419366387,0.00344779460823,0.121610689909,4.19905239261,0.260289215909,,
0.58,1,20,0.166608416043,0.538554910633,1,0.0056719438782,0.204261369729,1,1,1,0,0,0,0,0.897710342451,0.894874067455,0.897738014399,0.0945424998582,0.000922398275379,,,0.6706091522,0.64127999392,0.671436410478,0.977638609346,0.0275752759092,0.670420093053,0.00630197156501,0.330256351454,0.232338679892,0.340625723925,3.26392238539,0.345645749056,0.330908247263,0.0217298603003
0.58,1,100,0.62448533249,0.282503349214,0,,,1,1,1,0,0,0,0,0.67487420766,0.659466862166,0.674619881642,0.513578183139,0.00847753391663,,,0.257705789292,0.1891350025,0.255423874986,2.28569289308,0.076063810219,,,0.0375714017325,0.00420806770186,0.0366141230339,1.11211113435,0.031909289953,,
0.58,1,200,1.19709580037,0.170031377903,0,,,1,1,1,0,0,0,0,0.473326473239,0.450199767514,0.473139343075,0.770890190857,0.00623767212813,,,0.0764199928025,0.0410791137601,0.0780778541676,1.17802930141,0.0552620455008,,,0.0035374896626,2.78951421384e-05,0.00242985663287,0.116986484015,0.036921100991,,
0.58,1,400,2.30252212251,0.0824154850697,0,,,1,1,1,0,0,0,0,0.236774636245,0.21545251358,0.235651468631,0.71073742219,0.0374389204793,,,0.00500707551043,0.00215479649588,0.00695359957379,0.0950759671517,0.0648841354455,,,-0.00158938709328,1.73709236274e-09,6.91626790805e-06,0.052979627679,0.0532101120396,,
