replicate,temperature,block_size,window,count_value,frequency,probability,observation_count
5.0,0.58,50.0,heldout,4.0,486.0,0.009887091852303936,49155.0
5.0,0.58,50.0,heldout,5.0,115.0,0.002339538195504018,49155.0
5.0,0.58,50.0,heldout,6.0,10.0,0.00020343810395687112,49155.0
5.0,0.58,50.0,heldout,7.0,2.0,4.0687620791374224e-05,49155.0
5.0,0.58,100.0,calibration,0.0,6762.0,0.2947818126335063,22939.0
5.0,0.58,100.0,calibration,1.0,6693.0,0.2917738349535725,22939.0
5.0,0.58,100.0,calibration,2.0,4878.0,0.21265094380748942,22939.0
5.0,0.58,100.0,calibration,3.0,2711.0,0.11818300710580235,22939.0
5.0,0.58,100.0,calibration,4.0,1229.0,0.05357687780635599,22939.0
5.0,0.58,100.0,calibration,5.0,455.0,0.019835215135794934,22939.0
5.0,0.58,100.0,calibration,6.0,156.0,0.006800645189415406,22939.0
5.0,0.58,100.0,calibration,7.0,43.0,0.0018745368150311697,22939.0
5.0,0.58,100.0,calibration,8.0,11.0,0.0004795326736126248,22939.0
5.0,0.58,100.0,calibration,9.0,1.0,4.359387941932953e-05,22939.0
5.0,0.58,100.0,heldout,0.0,6281.0,0.27381315663280875,22939.0
5.0,0.58,100.0,heldout,1.0,6790.0,0.2960024412572475,22939.0
5.0,0.58,100.0,heldout,2.0,5052.0,0.22023627882645277,22939.0
5.0,0.58,100.0,heldout,3.0,2860.0,0.12467849513928245,22939.0
5.0,0.58,100.0,heldout,4.0,1235.0,0.05383844108287197,22939.0
5.0,0.58,100.0,heldout,5.0,479.0,0.020881468241858842,22939.0
5.0,0.58,100.0,heldout,6.0,179.0,0.0078033044160599856,22939.0
5.0,0.58,100.0,heldout,7.0,55.0,0.0023976633680631238,22939.0
5.0,0.58,100.0,heldout,8.0,6.0,0.00026156327651597714,22939.0
5.0,0.58,100.0,heldout,9.0,1.0,4.359387941932953e-05,22939.0
5.0,0.58,100.0,heldout,10.0,1.0,4.359387941932953e-05,22939.0
