lag,metric,mean,standard_deviation,standard_error,ci95_low,ci95_high,ci95_critical_value,ci95_method,independent_replicate_count,temperature,independence_class,thermodynamic_claim_allowed
4.0,msd,0.06922821596050262,0.0005600698649671697,0.0002504708580431439,0.06853279737269403,0.0699236345483112,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
4.0,ngp_3d,0.37328596092387134,0.0049849480142149525,0.002229336524817444,0.36709633044170326,0.3794755914060394,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
4.0,overlap_mean,0.7602797680805614,0.0032666003785537675,0.001460868100354554,0.7562237479939924,0.7643357881671304,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
4.0,overlap_chi4,1.8565977794866577,0.19346715494294076,0.08652114197317999,1.6163765783590982,2.0968189806142172,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
4.0,fs_k5,0.7597288182568087,0.0017215664893793705,0.0007699079396075884,0.7575912111264324,0.7618664253871851,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
4.0,fs_k7p25,0.5751971846993394,0.002630945537293815,0.0011765946132977355,0.5719304343444469,0.578463935054232,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
4.0,fs_k9,0.4400221791085913,0.0029626896276075086,0.0013249550807127853,0.4363435140601393,0.4437008441570433,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
8.0,msd,0.09426704720305738,0.0011362610152041242,0.0005081513740358687,0.09285619280791596,0.0956779015981988,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
8.0,ngp_3d,0.4878400521796575,0.009594696823026997,0.004290878863957927,0.47592666256082483,0.49975344179849013,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
8.0,overlap_mean,0.6614932465620864,0.005272196141483686,0.0023577977926139237,0.6549469504217373,0.6680395427024355,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
8.0,overlap_chi4,3.2298239611730564,0.3312688494004309,0.14814793321750078,2.818499357146156,3.641148565199957,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
8.0,fs_k5,0.6967016545207022,0.0031529602317338914,0.0014100466817020942,0.6927867373131901,0.7006165717282143,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
8.0,fs_k7p25,0.49225017131515186,0.004454238220183266,0.0019919958896614915,0.48671950407772707,0.49778083855257665,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
8.0,fs_k9,0.3560031413988879,0.004726217348907369,0.0021136286537191433,0.3501347674690636,0.3618715153287122,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
16.0,msd,0.1406291581546099,0.0023340239276674404,0.0010438072326750898,0.1377310846726791,0.14352723163654071,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
16.0,ngp_3d,0.546223208873025,0.013441593533842056,0.006011263373518491,0.5295332661035648,0.5629131516424852,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
16.0,overlap_mean,0.5265391569131221,0.007516094950468708,0.003361299846918189,0.517206692406044,0.5358716214202003,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
16.0,overlap_chi4,4.953178336678631,0.6339587301780938,0.283514963121533,4.166014605069516,5.740342068287746,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
16.0,fs_k5,0.5994480781170464,0.005307070822758392,0.0023733942242187005,0.5928584793405096,0.6060376768935831,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
16.0,fs_k7p25,0.3799606343467471,0.006315799740874792,0.002824511510574318,0.3721185331886382,0.387802735504856,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
16.0,fs_k9,0.25265394864000773,0.005789905350997447,0.002589324389624014,0.24546483161266686,0.2598430656673486,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
