parent_group,target_slot,a_particle_index,escape_successes,clone_trials,observed_committor,geometry_heldout_committor,radial_heldout_committor,geometry_radial_heldout_committor,geometry_heldout_baseline_committor,radial_heldout_baseline_committor,geometry_radial_heldout_baseline_committor,thermodynamic_claim_allowed
2,37,1959,5,8,0.625,0.7377642218565935,0.776393650759247,0.7745065016695356,0.67626953125,0.67626953125,0.67626953125,False
2,38,1975,5,8,0.625,0.6650745484757444,0.5420774705498037,0.5651261635589035,0.67626953125,0.67626953125,0.67626953125,False
2,39,2010,8,8,1.0,0.6941744740047856,0.7760578143800609,0.7514154765595534,0.67626953125,0.67626953125,0.67626953125,False
2,40,2138,6,8,0.75,0.7343806640561736,0.7474456579719119,0.7474140597522554,0.67626953125,0.67626953125,0.67626953125,False
2,41,2141,6,8,0.75,0.5454901885237041,0.6062648527787026,0.5729431256285489,0.67626953125,0.67626953125,0.67626953125,False
2,42,2256,7,8,0.875,0.724043668534322,0.7171783020230754,0.7548617544366604,0.67626953125,0.67626953125,0.67626953125,False
2,43,2277,6,8,0.75,0.6874374618409901,0.6715077721686775,0.7230700703649888,0.67626953125,0.67626953125,0.67626953125,False
2,44,2288,4,8,0.5,0.6468848742577408,0.624337836328812,0.5932597812529915,0.67626953125,0.67626953125,0.67626953125,False
2,45,2412,7,8,0.875,0.7542400030494995,0.7512399153170941,0.7646607890231466,0.67626953125,0.67626953125,0.67626953125,False
2,46,2426,6,8,0.75,0.7599856438613504,0.7508242827721995,0.7693184006231731,0.67626953125,0.67626953125,0.67626953125,False
2,47,2541,6,8,0.75,0.6395260165581139,0.6921156950155514,0.6522682178118655,0.67626953125,0.67626953125,0.67626953125,False
2,48,2590,7,8,0.875,0.736106424454456,0.6862660054354468,0.7503519098279433,0.67626953125,0.67626953125,0.67626953125,False
2,49,2687,4,8,0.5,0.658617935238774,0.5600120081218725,0.5867768278076834,0.67626953125,0.67626953125,0.67626953125,False
2,50,2823,4,8,0.5,0.6296832126496809,0.6285203031037266,0.5841170505174689,0.67626953125,0.67626953125,0.67626953125,False
2,51,2826,4,8,0.5,0.6358586990322208,0.5714362935551901,0.5898021120029994,0.67626953125,0.67626953125,0.67626953125,False
2,52,2828,5,8,0.625,0.691017318413868,0.5719656731519108,0.582913097249132,0.67626953125,0.67626953125,0.67626953125,False
2,53,2845,7,8,0.875,0.5891759915291117,0.7484921263328791,0.6833440695339087,0.67626953125,0.67626953125,0.67626953125,False
2,54,2879,4,8,0.5,0.7031703002165982,0.72347581496622,0.727042397132738,0.67626953125,0.67626953125,0.67626953125,False
2,55,2971,6,8,0.75,0.6448426510046394,0.5512549529719349,0.5182692241425191,0.67626953125,0.67626953125,0.67626953125,False
2,56,3044,5,8,0.625,0.6640777045023316,0.7382172281756495,0.7141274492676007,0.67626953125,0.67626953125,0.67626953125,False
2,57,3053,7,8,0.875,0.6113513244385455,0.6251446432334289,0.5714547952275119,0.67626953125,0.67626953125,0.67626953125,False
2,58,3080,6,8,0.75,0.5587734827995818,0.71227703338227,0.6197711727474612,0.67626953125,0.67626953125,0.67626953125,False
2,59,3106,6,8,0.75,0.7106562060672442,0.7429212411334667,0.744895887933478,0.67626953125,0.67626953125,0.67626953125,False
2,60,3151,6,8,0.75,0.7447334075276635,0.714414045699471,0.6922723082040593,0.67626953125,0.67626953125,0.67626953125,False
2,61,3182,3,8,0.375,0.7765722148533746,0.7567616603433632,0.7820141906805219,0.67626953125,0.67626953125,0.67626953125,False
2,62,3209,7,8,0.875,0.7066502285245093,0.766701834987308,0.7919201534725384,0.67626953125,0.67626953125,0.67626953125,False
2,63,3267,5,8,0.625,0.6264772022864862,0.6935924389391847,0.7209737488330774,0.67626953125,0.67626953125,0.67626953125,False
3,0,128,7,8,0.875,0.6702412707792105,0.6506615737026868,0.6731735942513097,0.66748046875,0.66748046875,0.66748046875,False
3,1,134,3,8,0.375,0.5847226645476254,0.633389394319481,0.6461946699502061,0.66748046875,0.66748046875,0.66748046875,False
3,2,236,7,8,0.875,0.6697230938962383,0.6390439850370013,0.6380857231203485,0.66748046875,0.66748046875,0.66748046875,False
3,3,294,6,8,0.75,0.7066344442231568,0.7497549055842216,0.7381333955733245,0.66748046875,0.66748046875,0.66748046875,False
3,4,364,7,8,0.875,0.6799834066695006,0.6732927086225539,0.6852268601219783,0.66748046875,0.66748046875,0.66748046875,False
3,5,419,4,8,0.5,0.7599674070588566,0.7822737242846298,0.8144483032185369,0.66748046875,0.66748046875,0.66748046875,False
3,6,422,7,8,0.875,0.6009240990859758,0.653451636813305,0.6731404445582406,0.66748046875,0.66748046875,0.66748046875,False
3,7,451,5,8,0.625,0.5883378450140513,0.6398474648507789,0.6247221172720442,0.66748046875,0.66748046875,0.66748046875,False
3,8,580,6,8,0.75,0.7524579740041313,0.6476057372641273,0.7279930471838332,0.66748046875,0.66748046875,0.66748046875,False
3,9,682,7,8,0.875,0.5826399104457953,0.672239188477696,0.611760427451581,0.66748046875,0.66748046875,0.66748046875,False
3,10,719,4,8,0.5,0.5945859875643309,0.6287942492747663,0.6480289588004843,0.66748046875,0.66748046875,0.66748046875,False
3,11,770,4,8,0.5,0.648648231778446,0.7052698878493501,0.68212101411583,0.66748046875,0.66748046875,0.66748046875,False
3,12,804,6,8,0.75,0.6041082783947681,0.6190298272775989,0.5104079930618307,0.66748046875,0.66748046875,0.66748046875,False
3,13,896,5,8,0.625,0.7316530607796912,0.6794886271638162,0.6929551327660168,0.66748046875,0.66748046875,0.66748046875,False
3,14,1032,5,8,0.625,0.7460209255559451,0.7363510744641822,0.720381843396456,0.66748046875,0.66748046875,0.66748046875,False
3,15,1081,3,8,0.375,0.628339918102909,0.7111631850440646,0.6959202843831345,0.66748046875,0.66748046875,0.66748046875,False
3,16,1093,5,8,0.625,0.6623120270742829,0.6972009716554398,0.7086575181795965,0.66748046875,0.66748046875,0.66748046875,False
3,17,1120,6,8,0.75,0.5688501287062626,0.6755214010397901,0.6451698078463526,0.66748046875,0.66748046875,0.66748046875,False
3,18,1211,8,8,1.0,0.7026745135494081,0.6656430853078699,0.6947284173136677,0.66748046875,0.66748046875,0.66748046875,False
