replicate,temperature,block_size,first_count,second_count,heldout_probability,two_clock_probability,single_clock_probability,hmm_probability,poisson_probability
1.0,0.45,50.0,1.0,2.0,0.010011620631089657,0.008198201544613235,0.008565835876021586,0.012443974925537284,0.004788107895548815
1.0,0.45,50.0,1.0,3.0,0.00427836497412329,0.0029425832114949226,0.003060460633841542,0.004673335180804801,0.000400674674237732
1.0,0.45,50.0,1.0,4.0,0.0016398344137129612,0.0010553753587488589,0.0010826095039140145,0.0013174299692506285,2.514670691601732e-05
1.0,0.45,50.0,1.0,5.0,0.0004685241182037032,0.00038084486236734016,0.0003815617362847798,0.000297116444879578,1.2625841549343895e-06
1.0,0.45,50.0,1.0,6.0,0.0001356254026379141,0.00013912819901664404,0.00013464137616171212,5.5839920598098314e-05,5.2827286478480024e-08
1.0,0.45,50.0,1.0,7.0,1.5411977572490238e-05,5.173933075247169e-05,4.777125870787132e-05,8.99530946878834e-06,1.894564879343091e-09
1.0,0.45,50.0,1.0,8.0,3.0823955144980473e-06,1.968404400740625e-05,1.7112829541424028e-05,1.267930588780019e-06,5.945230734243138e-11
1.0,0.45,50.0,1.0,9.0,3.0823955144980473e-06,7.692053442417037e-06,6.215026835014324e-06,1.5886284177583955e-07,1.6583470546027203e-12
1.0,0.45,50.0,1.0,10.0,0.0,3.0956747185974113e-06,2.2977436777973383e-06,1.7913963468018766e-08,4.163174767805981e-14
1.0,0.45,50.0,2.0,0.0,0.021068173341594155,0.01767491415107921,0.016815901499784118,0.019238115025687872,0.019072811180319525
1.0,0.45,50.0,2.0,1.0,0.009842088877792265,0.008198201544613235,0.008565835876021586,0.012443974925537284,0.004788107895548815
1.0,0.45,50.0,2.0,2.0,0.0059767649026117135,0.0040936834800771645,0.00439098507594303,0.006896100543598729,0.0006010120113565981
1.0,0.45,50.0,2.0,3.0,0.002811144709222219,0.0018610655225571003,0.00201849271191483,0.002591060984131616,5.029341383203464e-05
1.0,0.45,50.0,2.0,4.0,0.0010788384300743166,0.0007965492115615066,0.0008664926410666076,0.0007304373857320576,3.156460387335974e-06
1.0,0.45,50.0,2.0,5.0,0.00044078255857322074,0.00032801881705808635,0.0003555505514357119,0.00016473362453136938,1.584818594354401e-07
1.0,0.45,50.0,2.0,6.0,0.0001171310295509258,0.0001317425510680675,0.0001413816481571408,3.095995770517186e-05,6.63097707770082e-09
1.0,0.45,50.0,2.0,7.0,3.698874617397657e-05,5.208662022158204e-05,5.495928077414791e-05,4.987371001835868e-06,2.378092293697255e-10
1.0,0.45,50.0,2.0,8.0,6.1647910289960945e-06,2.0413976970605583e-05,2.101216113434963e-05,7.029930735327281e-07,7.462561745712241e-12
1.0,0.45,50.0,2.0,9.0,0.0,7.976599102193498e-06,7.93670276956749e-06,8.808011921031489e-08,2.0815873839029907e-13
1.0,0.45,50.0,2.0,10.0,0.0,3.123134801357879e-06,2.972540007016241e-06,9.932241046139266e-09,5.225692685735348e-15
