held_clone_index,bath_order,lag_frames,correlation_component,observed_correlation,simulated_correlation,simulated_marginal_covariance,thermodynamic_claim_allowed
1.0,40.0,25.0,pp,0.10146953906764392,0.1088035118374529,1.0166347323837828,0.0
1.0,40.0,26.0,uu,0.3227187929772666,0.2018167291003003,1.012318435087514,0.0
1.0,40.0,26.0,up,0.065746564070452,0.08209981348139297,-0.011000772061006513,0.0
1.0,40.0,26.0,pu,-0.06494347759431085,-0.058656016980017066,-0.011000772061006513,0.0
1.0,40.0,26.0,pp,0.0607973279358131,0.059081003028769216,1.0133333349017821,0.0
1.0,40.0,27.0,uu,0.3103029735000668,0.1913085592880172,1.0072424213952846,0.0
1.0,40.0,27.0,up,0.0731965764214124,0.08866952339265642,-0.015347209171326263,0.0
1.0,40.0,27.0,pu,-0.07230660605043782,-0.055347874426009705,-0.015347209171326263,0.0
1.0,40.0,27.0,pp,0.02254804232927874,0.011077088209386618,1.0264144720674606,0.0
1.0,40.0,28.0,uu,0.29714939234762777,0.18178548105780498,1.000345726828568,0.0
1.0,40.0,28.0,up,0.07426296270293019,0.08663234674206238,-0.016788005631224668,0.0
1.0,40.0,28.0,pu,-0.0732392812252089,-0.051035841353214546,-0.016788005631224668,0.0
1.0,40.0,28.0,pp,-0.010201116710687175,-0.030053791687720755,1.0573444520147628,0.0
1.0,40.0,29.0,uu,0.28430852074693386,0.17324086081987103,0.9971162341514754,0.0
1.0,40.0,29.0,up,0.0701130879622734,0.07864935061010965,0.0006955986676019598,0.0
1.0,40.0,29.0,pu,-0.06894208992511527,-0.04230018752919624,0.0006955986676019598,0.0
1.0,40.0,29.0,pp,-0.035371334211355215,-0.0573144831599319,1.0790465345733895,0.0
1.0,40.0,30.0,uu,0.2725904784868913,0.16597794137364372,1.0008724390383938,0.0
1.0,40.0,30.0,up,0.06219631345577359,0.06621856695197564,0.021980223903299654,0.0
1.0,40.0,30.0,pu,-0.06086896021598641,-0.03409130252097944,0.021980223903299654,0.0
1.0,40.0,30.0,pp,-0.0521022372221113,-0.07915418495121877,1.0890661781192412,0.0
1.0,40.0,31.0,uu,0.26253556219568014,0.16123280706021653,1.0123864414274597,0.0
1.0,40.0,31.0,up,0.05200576614391703,0.051110552946560146,0.041241343930304986,0.0
1.0,40.0,31.0,pu,-0.05053193618402162,-0.018378290554879818,0.041241343930304986,0.0
1.0,40.0,31.0,pp,-0.06079518800477339,-0.08680438089672232,1.0839316857440622,0.0
1.0,40.0,32.0,uu,0.254423979110264,0.158997513761887,1.0299005435914017,0.0
1.0,40.0,32.0,up,0.040912419423865226,0.03535860902117458,0.055674073577258905,0.0
1.0,40.0,32.0,pu,-0.03932442218010403,-0.006009578639416397,0.055674073577258905,0.0
1.0,40.0,32.0,pp,-0.06234959547438548,-0.08731315022435318,1.0637148098858695,0.0
1.0,40.0,33.0,uu,0.2483021215204155,0.1581186222674105,1.0510565629945334,0.0
1.0,40.0,33.0,up,0.030076332395209862,0.020131453083382378,0.05952134557742985,0.0
1.0,40.0,33.0,pu,-0.028407824106420825,-0.004267283840018614,0.05952134557742985,0.0
1.0,40.0,33.0,pp,-0.058250213466998595,-0.0808376223372274,1.0435240274970505,0.0
1.0,40.0,34.0,uu,0.24403651595582884,0.1577019366549516,1.0714839008477712,0.0
