record,model,member_index,fit_time,evaluation_epsilon,horizon_time,position_relative_l2_error,paired_improvement_fraction,position_error_threshold,linearity_mismatch,linearity_identified,model_identified,transition_stable,spectral_radius,design_rank,maximum_held_residual_state_correlation,gate_pass,fit_failure,fit_parameters_from_macro_observables,second_generator_response_allowed,one_tau_generator_response_allowed,autonomous_stochastic_single_particle_gle_allowed,event_clock_claim_allowed,kramers_escape_claim_allowed,thermodynamic_claim_allowed,position_relative_l2_error_standard_error,maximum_position_relative_l2_error,identified_fold_count,evaluable_fold_count,all_identified_folds_pass,integrity_gate_pass,primary_fit_time,minimum_one_tau_identified_folds
leave_one_member_out,first_generator_constrained,3,0.05,0.002,1.0,21059440023.04896,nan,0.5,0.00036504490675649294,1.0,1.0,0.0,1.16777678496121,12.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,second_generator_constrained,3,0.05,0.002,0.2,2.9376790669692268,-3.530915092726217,0.2,0.00019807928860044252,1.0,1.0,0.0,1.1885299333966142,15.0,0.971633743331065,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,second_generator_constrained,3,0.05,0.002,0.5,46410.52321598658,-10.040237378425802,0.35,0.0002742770439332557,1.0,1.0,0.0,1.1885299333966142,15.0,0.8610994934673358,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,second_generator_constrained,3,0.05,0.002,1.0,1801131152960.4307,-84.52607054077143,0.5,0.00036504490675649294,1.0,1.0,0.0,1.1885299333966142,15.0,0.8384411729394488,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,free_second_generator_transition,3,0.05,0.002,0.2,1.2607705190922016,nan,0.2,0.00019807928860044252,1.0,1.0,0.0,1.1650832345395752,15.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,free_second_generator_transition,3,0.05,0.002,0.5,5855.011215617038,nan,0.35,0.0002742770439332557,1.0,1.0,0.0,1.1650832345395752,15.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,free_second_generator_transition,3,0.05,0.002,1.0,38563595619.4816,nan,0.5,0.00036504490675649294,1.0,1.0,0.0,1.1650832345395752,15.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,first_generator_constrained,4,0.05,0.001,0.2,2.4007470145072296,nan,0.2,0.0002284393549653755,1.0,1.0,0.0,1.1748878702898664,12.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,first_generator_constrained,4,0.05,0.001,0.5,20289.65451260724,nan,0.35,0.0002640837267522488,1.0,1.0,0.0,1.1748878702898664,12.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,first_generator_constrained,4,0.05,0.001,1.0,175992479047.20895,nan,0.5,0.0003447787512848587,1.0,1.0,0.0,1.1748878702898664,12.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,second_generator_constrained,4,0.05,0.001,0.2,28.14806475282602,-10.724710926529513,0.2,0.0002284393549653755,1.0,1.0,0.0,1.263210443795518,15.0,0.9490662930673933,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,second_generator_constrained,4,0.05,0.001,0.5,9641858.050732357,-474.2105584026216,0.35,0.0002640837267522488,1.0,1.0,0.0,1.263210443795518,15.0,0.9521018741495545,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,second_generator_constrained,4,0.05,0.001,1.0,1.4138782976826418e+17,-803373.2722059033,0.5,0.0003447787512848587,1.0,1.0,0.0,1.263210443795518,15.0,0.8720407047640178,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,free_second_generator_transition,4,0.05,0.001,0.2,4.493321574891569,nan,0.2,0.0002284393549653755,1.0,1.0,0.0,1.2145566032179724,15.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,free_second_generator_transition,4,0.05,0.001,0.5,260465.2854790438,nan,0.35,0.0002640837267522488,1.0,1.0,0.0,1.2145566032179724,15.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,free_second_generator_transition,4,0.05,0.001,1.0,93621147821006.67,nan,0.5,0.0003447787512848587,1.0,1.0,0.0,1.2145566032179724,15.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,first_generator_constrained,4,0.05,0.002,0.2,2.400717178134458,nan,0.2,0.0002284393549653755,1.0,1.0,0.0,1.1748878702898664,12.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,first_generator_constrained,4,0.05,0.002,0.5,20288.31156445957,nan,0.35,0.0002640837267522488,1.0,1.0,0.0,1.1748878702898664,12.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,first_generator_constrained,4,0.05,0.002,1.0,175983787825.17557,nan,0.5,0.0003447787512848587,1.0,1.0,0.0,1.1748878702898664,12.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,second_generator_constrained,4,0.05,0.002,0.2,28.151725040345074,-10.726381306698164,0.2,0.0002284393549653755,1.0,1.0,0.0,1.263210443795518,15.0,0.9491892761739524,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,second_generator_constrained,4,0.05,0.002,0.5,9643438.853609085,-474.3199310336972,0.35,0.0002640837267522488,1.0,1.0,0.0,1.263210443795518,15.0,0.952112378139745,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,second_generator_constrained,4,0.05,0.002,1.0,1.4141380248266429e+17,-803560.5338791689,0.5,0.0003447787512848587,1.0,1.0,0.0,1.263210443795518,15.0,0.8720769232069048,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,free_second_generator_transition,4,0.05,0.002,0.2,4.493634956212173,nan,0.2,0.0002284393549653755,1.0,1.0,0.0,1.2145566032179724,15.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
