temperature,replicate,lag,kernel_model,count_tail_probability,predicted_msd,observed_msd,msd_relative_error,predicted_ngp,observed_ngp,ngp_absolute_error,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25
0.45,3.0,50.0,lag_conditioned,0.0,0.04951075394568581,0.049422321755792684,0.0017893167854414749,1.109006266957537,1.1237178798062692,0.014711612848732347,0.9680764644994264,0.9681502777661694,7.38132667429392e-05,0.8830648527119266,0.8834658788950288,0.0004010261831022266,0.6866045228491557,0.6881653367468185,0.0015608138976627162
0.45,3.0,50.0,lag_pooled,0.0,0.04938325872973891,0.049422321755792684,0.0007903923706132909,1.2420546716739813,1.1237178798062692,0.11833679186771207,0.9682090413208881,0.9681502777661694,5.8763554718788136e-05,0.8838226596631704,0.8834658788950288,0.00035678076814160686,0.688291230963546,0.6881653367468185,0.0001258942167275956
0.45,3.0,100.0,lag_conditioned,0.0,0.06003487654936219,0.06145764487131366,0.023150387961182184,1.4434723875096704,1.5290982774510748,0.08562588994140441,0.9617887437068017,0.9610112315857834,0.0007775121210182867,0.8641112314204454,0.862271216767361,0.0018400146530844763,0.6525660869892316,0.6509038936949388,0.0016621932942927353
0.45,3.0,100.0,lag_pooled,0.0,0.06068476431999562,0.06145764487131366,0.012575824422435544,1.6205192971470392,1.5290982774510748,0.09142101969596439,0.9615022164185664,0.9610112315857834,0.0004909848327829813,0.8638039994334967,0.862271216767361,0.001532782666135768,0.6523443300679275,0.6509038936949388,0.0014404363729886294
0.45,3.0,200.0,lag_conditioned,0.0,0.07815117980486792,0.08291711479064671,0.057478302251737334,1.7759892125304964,1.8615152201432474,0.08552600761275109,0.9513010256591854,0.9487120659775828,0.002588959681602554,0.834722415398275,0.8285185258267364,0.006203889571538612,0.6048304207340179,0.5978656138385857,0.006964806895432218
0.45,3.0,200.0,lag_pooled,0.0,0.08055967714352892,0.08291711479064671,0.028431255152449153,1.9720751830815866,1.8615152201432474,0.11055996293833914,0.9501054594736172,0.9487120659775828,0.0013933934960344008,0.8321958429221654,0.8285185258267364,0.003677317095429067,0.6013128340350953,0.5978656138385857,0.0034472201965095595
0.45,3.0,500.0,lag_conditioned,0.0,0.12374229534338449,0.1442378852338565,0.14209574590782437,2.041476275955759,1.8875616697620217,0.1539146061937373,0.9264287114780917,0.9154651401493429,0.010963571328748811,0.773367956224233,0.746495797190644,0.026872159033589083,0.5214938192442301,0.4861965894302254,0.03529722981400468
0.45,3.0,500.0,lag_pooled,0.0,0.13078174016387262,0.1442378852338565,0.09329133637925358,2.1569448239205227,1.8875616697620217,0.269383154158501,0.9229908531112797,0.9154651401493429,0.007525712961936826,0.765807112241644,0.746495797190644,0.019311315051000033,0.5122779397842037,0.4861965894302254,0.02608135035397824
0.45,3.0,1000.0,lag_conditioned,0.0,0.19696337095404154,0.24403309580251992,0.19288254608944044,1.9204488064992922,1.5499016636258744,0.3705471428734177,0.889427813175213,0.8653976751912258,0.024030137983987232,0.6932037425653125,0.6394261790931611,0.053777563472151346,0.42929675224704367,0.3638800632295381,0.06541668901750558
0.45,3.0,1000.0,lag_pooled,0.0,0.20626418182526873,0.24403309580251992,0.15476963832731572,1.941536877375034,1.5499016636258744,0.39163521374915966,0.8851105458641121,0.8653976751912258,0.019712870672886296,0.6848174986671081,0.6394261790931611,0.04539131957394693,0.4214007763296437,0.3638800632295381,0.05752071310010559
0.45,3.0,2000.0,lag_conditioned,0.0,0.3463079894697223,0.45236003499621646,0.23444167769458502,1.401770146909334,1.073065313621913,0.32870483328742095,0.819560000645723,0.7710587368632903,0.04850126378243269,0.560998809972392,0.47164946591635304,0.089349344056039,0.3030401889098965,0.21085493819329598,0.0921852507166005
0.45,3.0,2000.0,lag_pooled,0.0,0.34658425421281763,0.45236003499621646,0.23383095897117334,1.5062305002333063,1.073065313621913,0.43316518661139325,0.8205908659717128,0.7710587368632903,0.04953212910842253,0.565225008589984,0.47164946591635304,0.093575542673631,0.3085137940961573,0.21085493819329598,0.09765885590286133
0.45,3.0,3000.0,lag_conditioned,0.0,0.49249334979631415,0.6472318283567606,0.23907736267128243,1.1521454673791243,0.8235015742528151,0.32864389312630915,0.7581357350708743,0.6922019467726407,0.0659337882982336,0.4611620050609016,0.3580006787434651,0.10316132631743652,0.22190331210861544,0.1294193663865033,0.09248394572211213
0.45,3.0,3000.0,lag_pooled,0.0,0.4734454555504766,0.6472318283567606,0.26850714874066917,1.2204816336642725,0.8235015742528151,0.3969800594114574,0.7669381260138647,0.6922019467726407,0.074736179241224,0.47817391973099393,0.3580006787434651,0.12017324098752885,0.2382532811443619,0.1294193663865033,0.10883391475785859
0.45,3.0,4096.0,lag_conditioned,1.1102230246251565e-16,0.6423594840693535,0.8260570992756984,0.222378834789283,0.9639995690854068,0.6039678820050809,0.36003168708032596,0.7001584302491332,0.6222742180858518,0.07788421216328134,0.38068459392585136,0.266577211230073,0.11410738269577836,0.16492569588299347,0.0704769541542022,0.09444874172879127
0.45,3.0,4096.0,lag_pooled,1.1102230246251565e-16,0.5949674974918304,0.8260570992756984,0.2797501552695224,1.0151954614692946,0.6039678820050809,0.41122757946421373,0.7185979150248643,0.6222742180858518,0.09632369693901244,0.40730071312286825,0.266577211230073,0.14072350189279526,0.1873574633368011,0.0704769541542022,0.11688050918259889
0.58,1.0,10.0,lag_conditioned,0.0,0.14160696182156973,0.10750766441484316,0.31718015261820365,1.1272899328500636,0.5215776650020589,0.6057122678480047,0.9141403219350819,0.932042696508698,0.017902374573616098,0.7269183578897522,0.7649719650823928,0.038053607192640615,0.4251443327639039,0.4560534322972421,0.030909099533338202
0.58,1.0,10.0,lag_pooled,0.0,0.15458060294002357,0.10750766441484316,0.43785658242503156,1.439255712167994,0.5215776650020589,0.9176780471659352,0.9082889929316734,0.932042696508698,0.023753703577024554,0.7187753780594038,0.7649719650823928,0.04619658702298901,0.42326564478444595,0.4560534322972421,0.03278778751279615
0.58,1.0,20.0,lag_conditioned,0.0,0.21414658804135656,0.16660841604263024,0.28532875546072467,0.866363488797445,0.5385549106326213,0.32780857816482367,0.8741209519766455,0.8977103424506039,0.02358939047395836,0.6278445769446698,0.6706091522002315,0.042764575255561765,0.3067030579041717,0.3302563514537057,0.023553293549534005
0.58,1.0,20.0,lag_pooled,0.0,0.23851926409237412,0.16660841604263024,0.43161593968544776,1.1358427428571654,0.5385549106326213,0.5972878322245441,0.8639776548596436,0.8977103424506039,0.033732687590960264,0.6159937056741602,0.6706091522002315,0.05461544652607131,0.3046137221594443,0.3302563514537057,0.025642629294261365
0.58,1.0,50.0,lag_conditioned,0.0,0.39530609684359247,0.33915786238642154,0.16555191751149234,0.5880961643628566,0.4228744500577841,0.1652217143050725,0.7831950110537856,0.8059051064886428,0.022710095434857136,0.44727185404871633,0.46632311008109595,0.019051256032379615,0.15894898163304047,0.14432782920476006,0.01462115242828041
0.58,1.0,50.0,lag_pooled,0.0,0.4413090122845019,0.33915786238642154,0.30119057001749194,0.7799842544318074,0.4228744500577841,0.3571098043740233,0.7675711578029696,0.8059051064886428,0.03833394868567319,0.43558421949274334,0.46632311008109595,0.030738890588352608,0.15785318271306986,0.14432782920476006,0.013525353508309801
