replicate,temperature,block_size,block_lag,lag_time,heldout_identity_correlation,single_mode_prediction,two_mode_prediction,hmm_prediction,static_prediction,poisson_prediction
2.0,0.58,20.0,22.0,440.0,-0.011000686606615672,9.4698874030625e-10,5.0860957089726773e-08,2.1244148319172753e-06,0.009925840801845175,0.0
2.0,0.58,20.0,23.0,460.0,-0.004355474444150207,3.9679635163660816e-10,2.616850625633649e-08,1.3097109267353582e-06,0.009925840801845175,0.0
2.0,0.58,20.0,24.0,480.0,0.0017392893365903205,1.6626105250333316e-10,1.3463976277124378e-08,8.074424476042191e-07,0.009925840801845175,0.0
2.0,0.58,20.0,25.0,500.0,0.0034575410502343563,6.966479773693012e-11,6.927359758911465e-09,4.977917591465805e-07,0.009925840801845175,0.0
2.0,0.58,20.0,26.0,520.0,0.001080358615596171,2.919014387708203e-11,3.5642006671475752e-09,3.068907712363777e-07,0.009925840801845175,0.0
2.0,0.58,20.0,27.0,540.0,-0.007331166845801887,1.2230919018559975e-11,1.8338193536654714e-09,1.891994870134556e-07,0.009925840801845175,0.0
2.0,0.58,20.0,28.0,560.0,-0.00290523408159234,5.1248592904683465e-12,9.435196656784665e-10,1.1664230156527945e-07,0.009925840801845175,0.0
2.0,0.58,20.0,29.0,580.0,0.0002223178966026178,2.147359712483157e-12,4.854509566291787e-10,7.191048310547478e-08,0.009925840801845175,0.0
2.0,0.58,20.0,30.0,600.0,0.007657173912522228,8.997620175390896e-13,2.497697078976348e-10,4.43331236701355e-08,0.009925840801845175,0.0
2.0,0.58,50.0,1.0,50.0,0.05540960596657409,0.06778941795663347,0.06781518725619783,0.05740259255387565,0.024459907194832688,0.0
2.0,0.58,50.0,2.0,100.0,0.009981379194854631,0.009362324362984904,0.009010543217899738,0.02070577783771215,0.024459907194832688,0.0
2.0,0.58,50.0,3.0,150.0,0.00957730988481425,0.0012930206530732352,0.00208765505100575,0.007468813110876561,0.024459907194832688,0.0
2.0,0.58,50.0,4.0,200.0,0.0024083996630050544,0.00017857770618202526,0.0012651252002486115,0.002694087115317242,0.024459907194832688,0.0
2.0,0.58,50.0,5.0,250.0,0.0146150747665933,2.4663176933359898e-05,0.0011599498245720345,0.0009717883252894178,0.024459907194832688,0.0
2.0,0.58,50.0,6.0,300.0,0.017292677425729326,3.4062051162545444e-06,0.0011391916260106304,0.0003505352680689417,0.024459907194832688,0.0
2.0,0.58,50.0,7.0,350.0,0.013591456729844676,4.704273632447257e-07,0.0011284288876158494,0.00012644211806472382,0.024459907194832688,0.0
2.0,0.58,50.0,8.0,400.0,0.013791251606466996,6.497022244295379e-08,0.001118910482873395,4.5609131739489296e-05,0.024459907194832688,0.0
2.0,0.58,50.0,9.0,450.0,-0.012701340913075154,8.972968271173863e-09,0.0011096068761351893,1.6451740368389516e-05,0.024459907194832688,0.0
2.0,0.58,50.0,10.0,500.0,0.00045136807294355154,1.23924709764057e-09,0.0011003964456369705,5.934332683526063e-06,0.024459907194832688,0.0
2.0,0.58,50.0,11.0,550.0,0.0002871388292554377,1.7115109767457903e-10,0.00109126432737165,2.1405823098467123e-06,0.024459907194832688,0.0
2.0,0.58,50.0,12.0,600.0,0.007530285725908413,2.36374959368348e-11,0.0010822082146486427,7.721327518338756e-07,0.024459907194832688,0.0
3.0,0.58,20.0,1.0,20.0,0.0657322002073804,0.07032947610032941,0.07000084258812668,0.0500764031333663,0.007674275628449124,0.0
3.0,0.58,20.0,2.0,40.0,0.021404640462181067,0.02252355927211495,0.023328411475493804,0.02907382934145144,0.007674275628449124,0.0
3.0,0.58,20.0,3.0,60.0,0.004147713808514397,0.007213344253563965,0.007792496835966777,0.01687995741875919,0.007674275628449124,0.0
3.0,0.58,20.0,4.0,80.0,0.0029578005649510755,0.002310129349087484,0.0026091039181559,0.009800324515659375,0.007674275628449124,0.0
3.0,0.58,20.0,5.0,100.0,0.01100833201825778,0.0007398368110434504,0.0008756658563808522,0.005689964626658067,0.007674275628449124,0.0
3.0,0.58,20.0,6.0,120.0,-5.348941338267616e-06,0.00023693846718632973,0.00029459265923854726,0.0033035332045269323,0.007674275628449124,0.0
3.0,0.58,20.0,7.0,140.0,0.0016735335973538414,7.58813786967818e-05,9.934388197373612e-05,0.0019179963935596197,0.007674275628449124,0.0
3.0,0.58,20.0,8.0,160.0,-0.0026236919387095554,2.4301599066209457e-05,3.35807468984317e-05,0.0011135683941867632,0.007674275628449124,0.0
3.0,0.58,20.0,9.0,180.0,-0.0003677123867822029,7.782775264728267e-06,1.1377821146492162e-05,0.0006465260167827008,0.007674275628449124,0.0
3.0,0.58,20.0,10.0,200.0,-0.0014434207565870354,2.4924940394350005e-06,3.863956891654093e-06,0.00037536615852155783,0.007674275628449124,0.0
3.0,0.58,20.0,11.0,220.0,0.007072155885646284,7.98240515150723e-07,1.3151958082610693e-06,0.00021793361644499462,0.007674275628449124,0.0
3.0,0.58,20.0,12.0,240.0,0.006469056651264452,2.556427056381369e-07,4.486525053508415e-07,0.00012652994975322562,0.007674275628449124,0.0
3.0,0.58,20.0,13.0,260.0,0.0027271159757658327,8.187155588519216e-08,1.5337843238417414e-07,7.34619488526434e-05,0.007674275628449124,0.0
3.0,0.58,20.0,14.0,280.0,0.004096272606919761,2.6219999691875446e-08,5.2543965882788513e-08,4.265122952908482e-05,0.007674275628449124,0.0
3.0,0.58,20.0,15.0,300.0,0.008101643562228644,8.397157918997008e-09,1.8036527982879677e-08,2.4762852180679912e-05,0.007674275628449124,0.0
3.0,0.58,20.0,16.0,320.0,0.0037283855129578514,2.6892548415407976e-09,6.203254160626246e-09,1.4377049733209919e-05,0.007674275628449124,0.0
3.0,0.58,20.0,17.0,340.0,0.006217172310655861,8.612546855156026e-10,2.137401369524585e-09,8.347162819655294e-06,0.007674275628449124,0.0
3.0,0.58,20.0,18.0,360.0,0.008738290809408416,2.7582348160711647e-10,7.377591211037277e-10,4.846274335192105e-06,0.007674275628449124,0.0
3.0,0.58,20.0,19.0,380.0,-0.0006480972791108211,8.833460564609414e-11,2.5507415900396913e-10,2.8136955561280848e-06,0.007674275628449124,0.0
3.0,0.58,20.0,20.0,400.0,0.001260177554654408,2.8289841420265947e-11,8.832888755849798e-11,1.6336018423647718e-06,0.007674275628449124,0.0
3.0,0.58,20.0,21.0,420.0,0.0021441498590700435,9.060040758999891e-12,3.063265141136761e-11,9.48451929550581e-07,0.007674275628449124,0.0
3.0,0.58,20.0,22.0,440.0,0.0034660105350478496,2.9015482036578832e-12,1.0638330021733465e-11,5.506611460268876e-07,0.007674275628449124,0.0
3.0,0.58,20.0,23.0,460.0,-0.006220818491857187,9.29243278490467e-13,3.699402477943044e-12,3.1970802978631513e-07,0.007674275628449124,0.0
3.0,0.58,20.0,24.0,480.0,-0.009088960481832886,2.97597354933182e-13,1.2880185801283164e-12,1.856190963305345e-07,0.007674275628449124,0.0
3.0,0.58,20.0,25.0,500.0,-0.010264152605328973,9.530785717072534e-14,4.4896183327460875e-13,1.0776848159113406e-07,0.007674275628449124,0.0
3.0,0.58,20.0,26.0,520.0,0.0039744104389196995,3.0523079213909366e-14,1.5666036249672883e-13,6.256923912492986e-08,0.007674275628449124,0.0
3.0,0.58,20.0,27.0,540.0,0.011661483072283063,9.775252454052162e-15,5.471902598972739e-14,3.6327037616856674e-08,0.007674275628449124,0.0
3.0,0.58,20.0,28.0,560.0,-0.0029401852442121797,3.1306002867793286e-15,1.9130035787973386e-14,2.1091093330727773e-08,0.007674275628449124,0.0
