record,model,member_index,fit_time,evaluation_epsilon,horizon_time,position_relative_l2_error,full_state_relative_l2_error,linearity_tolerance,linearity_identified,fit_parameters_from_macro_observables,thermodynamic_claim_allowed,position_error_threshold,model_identified,gate_evaluable,transition_stable,gate_pass,spectral_radius,design_rank,fit_failure,training_second_generator_relative_l2_error,maximum_residual_state_correlation,position_relative_l2_error_standard_error,maximum_position_relative_l2_error,linearity_identified_fold_count,evaluable_fold_count,all_identified_folds_pass
leave_one_member_out,generator_constrained,5,0.05,0.001,1.0,147590609.85723832,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.1229720170531032,12.0,,0.18703436430060982,0.0042480589472190045,,,,,
leave_one_member_out,generator_constrained,5,0.05,0.002,0.2,1.6639514526826593,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.1229720170531032,12.0,,0.18703436430060982,0.0042480589472190045,,,,,
leave_one_member_out,generator_constrained,5,0.05,0.002,1.0,147231551.59161508,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.1229720170531032,12.0,,0.18703436430060982,0.0042480589472190045,,,,,
leave_one_member_out,free_transition,5,0.05,0.001,0.2,2.0202193696934394,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0871604090261229,12.0,,,,,,,,
leave_one_member_out,free_transition,5,0.05,0.001,1.0,117345.63429396969,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.0871604090261229,12.0,,,,,,,,
leave_one_member_out,free_transition,5,0.05,0.002,0.2,2.019408441213182,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0871604090261229,12.0,,,,,,,,
leave_one_member_out,free_transition,5,0.05,0.002,1.0,117050.3180486778,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.0871604090261229,12.0,,,,,,,,
leave_one_member_out,generator_constrained,6,0.05,0.001,0.2,1.5458713482551836,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.157103200252482,12.0,,0.22278690694752265,0.006497253495624528,,,,,
leave_one_member_out,generator_constrained,6,0.05,0.001,1.0,12616195406.116138,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.157103200252482,12.0,,0.22278690694752265,0.006497253495624528,,,,,
leave_one_member_out,generator_constrained,6,0.05,0.002,0.2,1.5449051847022024,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.157103200252482,12.0,,0.22278690694752265,0.006497253495624528,,,,,
