held_clone_index,lag_frames,lag_time,kernel,observed_random_force_correlation,fdt_target_force_correlation,thermodynamic_claim_allowed
3.0,68.0,0.68,-241.95043076466297,13.864230221091187,-53.112552385089344,0.0
3.0,69.0,0.6900000000000001,318.43717620302385,13.329271245219639,69.90279434093567,0.0
3.0,70.0,0.7000000000000001,-237.53257897128407,14.131628041562953,-52.14275297591356,0.0
3.0,71.0,0.71,313.1181916047442,13.59787109189801,68.73517977121253,0.0
3.0,72.0,0.72,-234.6306913664039,14.274777506347462,-51.50573548045907,0.0
3.0,73.0,0.73,307.2412037688827,13.671730265674656,67.44507326752816,0.0
3.0,74.0,0.74,-232.291329328275,14.178130986245382,-50.992202653073186,0.0
3.0,75.0,0.75,301.45096907519974,13.482738174763282,66.17401066797723,0.0
3.0,76.0,0.76,-227.99319408453755,13.816610765048093,-50.0486832198995,0.0
3.0,77.0,0.77,295.6935912092693,13.045072133442583,64.91016074409586,0.0
3.0,78.0,0.78,-225.05559057435724,13.247705982750944,-49.40382542887191,0.0
3.0,79.0,0.79,292.566351271583,12.484911862664267,64.22367428285595,0.0
3.0,80.0,0.8,-220.02972207328997,12.694949725294121,-48.300555212737656,0.0
3.0,81.0,0.81,287.5621768331049,12.125196880837718,63.12516631092217,0.0
3.0,82.0,0.8200000000000001,-215.53381861944575,12.534684715985945,-47.313622034086414,0.0
3.0,83.0,0.8300000000000001,282.76333030858194,12.287954627489926,62.071731577963824,0.0
3.0,84.0,0.84,-212.1263850361006,12.904758107039122,-46.56562793412896,0.0
3.0,85.0,0.85,279.1751062018426,12.851853039972504,61.284050645814524,0.0
3.0,86.0,0.86,-207.58321439299803,13.450542232290822,-45.568318741441935,0.0
3.0,87.0,0.87,274.20006746765637,13.346375603694044,60.19193849477509,0.0
3.0,88.0,0.88,-203.4384745249098,13.73121189150454,-44.658472403616955,0.0
3.0,89.0,0.89,269.08186174876886,13.460992182301574,59.06839856759684,0.0
3.0,90.0,0.9,-198.5775440039746,13.583314032908323,-43.59140909599024,0.0
3.0,91.0,0.91,263.03336224096654,13.121265462063462,57.74064210961471,0.0
3.0,92.0,0.92,-196.04010456778104,12.961504582449635,-43.03439465070534,0.0
3.0,93.0,0.93,256.10565177266113,12.30057469426187,56.219882737565925,0.0
3.0,94.0,0.9400000000000001,-192.16800333700564,11.869191384680388,-42.18439748884881,0.0
3.0,95.0,0.9500000000000001,251.06126869888172,11.049723704282934,55.1125482335114,0.0
3.0,96.0,0.96,-189.1800655680213,10.408397209310893,-41.52849040582763,0.0
3.0,97.0,0.97,247.01539613607343,9.492329157423839,54.22440508056713,0.0
3.0,98.0,0.98,-184.27353082955366,8.687442119376719,-40.45141613692667,0.0
3.0,99.0,0.99,242.01179313360137,7.723177733144992,53.1260225493061,0.0
4.0,0.0,0.0,826.0007489829717,139.98151692663953,181.18622880752193,0.0
4.0,1.0,0.01,976.9572365904671,132.49648597578516,214.2990761473194,0.0
4.0,2.0,0.02,-96.02212294236666,121.40705418988986,-21.062797290972323,0.0
4.0,3.0,0.03,835.3669847096853,99.9881583036325,183.24074622961265,0.0
4.0,4.0,0.04,-228.43231513283365,81.46003677309527,-50.107448168358495,0.0
4.0,5.0,0.05,697.9570377773782,59.32343508520543,153.0993812054755,0.0
4.0,6.0,0.06,-326.05717585960565,44.92190697670509,-71.5218117445688,0.0
4.0,7.0,0.07,609.683150582705,29.821715522589244,133.73618723419116,0.0
4.0,8.0,0.08,-374.0134302588412,23.196223285261254,-82.04118826212053,0.0
4.0,9.0,0.09,564.5248568347627,15.53358725106677,123.83055342738616,0.0
4.0,10.0,0.1,-389.3826968424894,15.071985621626249,-85.41249204756794,0.0
4.0,11.0,0.11,540.7662642999068,12.31492144200149,118.6190208852361,0.0
4.0,12.0,0.12,-393.8462962588063,15.34114037457555,-86.39159859940303,0.0
4.0,13.0,0.13,528.119645628226,15.084109544487642,115.84493969086678,0.0
4.0,14.0,0.14,-390.0438682758528,19.588081271197762,-85.55752237442161,0.0
4.0,15.0,0.15,517.947111604177,20.173497175792534,113.61355784344956,0.0
4.0,16.0,0.16,-381.0957298160509,24.76544862056116,-83.59471608837976,0.0
4.0,17.0,0.17,512.4425468510541,24.99799941758666,112.40611180895968,0.0
4.0,18.0,0.18,-371.5035415670562,28.667702687531705,-81.49063516958266,0.0
4.0,19.0,0.19,507.0581210583252,27.759270457823234,111.22501868661118,0.0
4.0,20.0,0.2,-362.8005372331005,30.001315511506892,-79.58159993383198,0.0
4.0,21.0,0.21,499.04440987336545,27.779708603824325,109.46718237696705,0.0
4.0,22.0,0.22,-357.7880981170365,28.75847585963109,-78.48210342407074,0.0
4.0,23.0,0.23,487.0473438422918,25.662428433730444,106.83558288556046,0.0
4.0,24.0,0.24,-355.7664078132153,26.002509150771917,-78.03863840007759,0.0
4.0,25.0,0.25,474.8385218387556,22.723460231790046,104.15753396160164,0.0
4.0,26.0,0.26,-352.92328332242187,23.0784916498011,-77.41498883904336,0.0
4.0,27.0,0.27,463.50266062626923,20.155084747907196,101.67097212021739,0.0
4.0,28.0,0.28,-350.55272786628694,20.909350835046443,-76.89499899181257,0.0
4.0,29.0,0.29,454.3334207809978,18.567139512938024,99.65966645173955,0.0
4.0,30.0,0.3,-342.53107606606943,19.816000829322807,-75.13542087971277,0.0
