time,log10_time,renewal_mean,effective_shape,poisson_alpha_decay,gamma_exchange_alpha_decay,poisson_ngp,gamma_exchange_ngp,gamma_exchange_local_beta,poisson_scattering_susceptibility,gamma_exchange_scattering_susceptibility
0.026585211137049848,-1.575359886213389,1.24435693725361e-07,0.4000000049774277,0.9999999522556683,0.9999999522556711,5.734298456139264e-05,5.7343002400255304e-05,2.9933643304148063,1.7511168515227382e-08,1.7511170069539617e-08
0.02685683066237971,-1.5709452391375807,1.2828015388995084e-07,0.40000000513120615,0.9999999507805997,0.9999999507806027,5.794725877428242e-05,5.794727735804159e-05,2.9932965219950347,1.8044022276342275e-08,1.8044024163721417e-08
0.02713122530828919,-1.5665305920617725,1.3224329771931165e-07,0.40000000528973195,0.9999999492599938,0.999999949259997,5.8558089281346426e-05,5.855810864089807e-05,2.9932280785682224,1.859299492146249e-08,1.859299669781933e-08
0.027408423428020672,-1.5621159449859643,1.3632878536749826e-07,0.40000000545315145,0.9999999476924463,0.9999999476924496,5.917555107060046e-05,5.917557123875767e-05,2.9931590486080495,1.9158570396804464e-08,1.9158572284183606e-08
0.027688453664499908,-1.557701297910156,1.4054038983704608e-07,0.40000000562161564,0.9999999460765093,0.9999999460765129,5.979972011971313e-05,5.9799741130439565e-05,2.9930892982356454,1.974124674841704e-08,1.974124896886309e-08
0.027971344953295726,-1.553286650834348,1.4488200010646933e-07,0.40000000579528,0.9999999444106908,0.9999999444106946,6.043067326233498e-05,6.0430695150696665e-05,2.9930187885501027,2.03415370103599e-08,2.0341539452850554e-08
0.028257126525609945,-1.5488720037585397,1.4935762496406933e-07,0.40000000597430496,0.9999999426934527,0.9999999426934568,6.106848831732847e-05,6.106851111980531e-05,2.992947562672839,2.0959969093681252e-08,2.0959971425149604e-08
0.028545827911297842,-1.5444573566827315,1.5397139664315162e-07,0.40000000615885584,0.9999999409232095,0.9999999409232139,6.171324408144052e-05,6.171326783666002e-05,2.9928755939745315,2.1597086674596255e-08,2.1597089339131514e-08
0.028837478941919473,-1.5400427096069234,1.5872757458651466e-07,0.40000000634910304,0.999999939098327,0.9999999390983316,6.236502033329927e-05,6.236504508083528e-05,2.992802877810959,2.2253449971643136e-08,2.2253452525156092e-08
0.029132109753822168,-1.5356280625311152,1.6363054957627132e-07,0.400000006545222,0.9999999372171203,0.9999999372171253,6.302389793066965e-05,6.302392371216677e-05,2.9927295553427484,2.2929635190571673e-08,2.2929638077151537e-08
0.029429750791254542,-1.531213415455307,1.686848471211394e-07,0.4000000067473939,0.9999999352778532,0.9999999352778585,6.368995857597426e-05,6.36899854348873e-05,2.9926554672673547,2.362623618967774e-08,2.3626238965235302e-08
0.029730432809512295,-1.5267987683794986,1.7389513260919476e-07,0.4000000069558053,0.9999999332787356,0.9999999332787411,6.436328521752799e-05,6.436331319886198e-05,2.9925805452187433,2.4343863702647184e-08,2.4343866922293955e-08
0.030034186878116122,-1.5223841213036904,1.7926621453716317e-07,0.40000000717064865,0.9999999312179225,0.9999999312179284,6.504396166184812e-05,6.504399081225675e-05,2.992504881584182,2.5083147114912663e-08,2.5083150778648644e-08
0.030341044384022207,-1.5179694742278822,1.8480304967691264e-07,0.40000000739212205,0.9999999290935121,0.9999999290935183,6.573207287452476e-05,6.573210324313298e-05,2.9924284121091205,2.584473446365365e-08,2.5844738238411935e-08
0.030651037034865398,-1.513554827152074,1.9051074738075935e-07,0.4000000076204299,0.999999926903544,0.9999999269035507,6.64277049031714e-05,6.642773654108434e-05,2.9923511516503822,2.6629292215751832e-08,2.662929621255472e-08
0.030964196862235553,-1.5091401800762658,1.9639457413220262e-07,0.400000007855783,0.9999999246459975,0.9999999246460046,6.713094484545046e-05,6.713097780590472e-05,2.992273130481067,2.7437507599259447e-08,2.743751181810694e-08
0.0312805562249874,-1.5047255330004576,2.024599583420883e-07,0.4000000080983983,0.9999999223187899,0.9999999223187974,6.78418808581771e-05,6.784191519615447e-05,2.9921943707305445,2.8270087049087067e-08,2.8270091601001468e-08
0.031600147812584155,-1.5003108859246495,2.0871249606965736e-07,0.40000000834849986,0.9999999199197739,0.9999999199197819,6.85606024206642e-05,6.856063819429635e-05,2.9921148380566365,2.9127758871538845e-08,2.9127763756520153e-08
0.03192300464847534,-1.4958962388488413,2.1515795485885225e-07,0.40000000860631824,0.9999999174467367,0.9999999174467451,6.928719991772248e-05,6.928723718694129e-05,2.992034297701025,3.001127202306719e-08,3.001127724111541e-08
0.032249160093509116,-1.491481591773033,2.2180227998769285e-07,0.40000000887209125,0.999999914897397,0.9999999148974061,7.002176498049906e-05,7.002180380788966e-05,2.9919531076798194,3.092139833071883e-08,3.092140321570014e-08
0.03257864784937944,-1.487066944697225,2.2865159984772341e-07,0.40000000914606404,0.9999999122694037,0.9999999122694132,7.076439047404293e-05,7.076443092492668e-05,2.991871147362076,3.185893127088946e-08,3.185893693302688e-08
0.03291150196210847,-1.4826522976214167,2.3571223122603734e-07,0.4000000094284893,0.9999999095603328,0.999999909560343,7.151517040737687e-05,7.151521254976653e-05,2.9917881461338993,3.2824688855903617e-08,3.282469496213025e-08
0.03324775682556457,-1.4782376505456085,2.4299068499197826e-07,0.40000000971962746,0.9999999067676865,0.9999999067676973,7.227419992483775e-05,7.227424382981255e-05,2.991704424704153,3.3819512634813975e-08,3.381951907410752e-08
0.03358744718501622,-1.4738230034698,2.50493672714347e-07,0.40000001001974694,0.9999999038888894,0.9999999038889009,7.304157552212587e-05,7.304162126316172e-05,2.9916198755852292,3.4844268803624345e-08,3.48442757980294e-08
0.033930608140722206,-1.469408356393992,2.582281121270291e-07,0.4000000103291245,0.9999999009212874,0.9999999009212996,7.381739485534666e-05,7.381744250968673e-05,2.991534388972127,3.589984964857962e-08,3.589985686502928e-08
0.034277275151558616,-1.4649937093181837,2.6620113378991727e-07,0.4000000106480454,0.9999998978621445,0.9999998978621576,7.46017568606927e-05,7.46018065083579e-05,2.9914480618609787,3.6987172769009646e-08,3.698718054057082e-08
0.03462748403868277,-1.4605790622423755,2.744200876049485e-07,0.4000000109768035,0.9999998947086408,0.9999998947086547,7.539476176599003e-05,7.539481349060077e-05,2.9913609324972867,3.81071836308422e-08,3.810719162444798e-08
0.03498127098923462,-1.4561644151665674,2.828925495607093e-07,0.400000011315702,0.9999998914578694,0.999999891457884,7.619651111356873e-05,7.619656500225618e-05,2.9912728270121534,3.926085512251376e-08,3.926086367123105e-08
0.03533867256007597,-1.4517497680907592,2.916263282209952e-07,0.4000000116650531,0.9999998881068342,0.9999998881068498,7.700710766034291e-05,7.700716380346765e-05,2.9911838409346956,4.0449188110081025e-08,4.044919732493213e-08
0.035699725681567936,-1.447335121014951,3.0062947283707174e-07,0.40000001202517893,0.9999998846524468,0.9999998846524634,7.782665565581048e-05,7.782671414829377e-05,2.9910939706992394,4.167321399073387e-08,4.167322398274109e-08
