temperature,replicate,lag,heldout_msd,heldout_ngp,inferred_mean_event_count,count_fano_factor,inferred_cage_variance,model,model_class,maximum_omitted_count_probability,calibration_event_path_statistics_used,heldout_msd_used_as_diagnostic_input,heldout_ngp_used_as_diagnostic_input,macro_fit_parameter_count,observed_fs_k2,predicted_fs_k2,fs_k2_absolute_error,observed_fs_k4,predicted_fs_k4,fs_k4_absolute_error,observed_fs_k7p25,predicted_fs_k7p25,fs_k7p25_absolute_error,maximum_absolute_error
0.45,3.0,500.0,0.1442378852,1.88756167,1.4803644816740584,4.852915281432737,0.007923031297426287,inverse_gaussian_variance_mixture,marginal_variance_mixture,0.0,0.0,1.0,1.0,0.0,0.91546514,0.91578252,0.00031738000000003375,0.7464958,0.7498757,0.0033798999999999912,0.48619659,0.49640485,0.010208260000000025,0.010208260000000025
0.45,3.0,1000.0,0.2440330958,1.549901664,2.759910204774996,6.473744485483298,0.010625248809561824,independent_jump,factorized_event_path,0.0,1.0,1.0,1.0,0.0,0.86539768,0.8645415512293557,0.0008561287706442267,0.63942618,0.6282680794835969,0.011158100516403091,0.36388006,0.3328577918597806,0.03102226814021941,0.03102226814021941
0.45,3.0,1000.0,0.2440330958,1.549901664,2.759910204774996,6.473744485483298,0.010625248809561824,disjoint_pair,factorized_event_path,0.0,1.0,1.0,1.0,0.0,0.86539768,0.8822662415655463,0.01686856156554639,0.63942618,0.660186348912837,0.02076016891283705,0.36388006,0.35663635428175977,0.007243705718240234,0.02076016891283705
0.45,3.0,1000.0,0.2440330958,1.549901664,2.759910204774996,6.473744485483298,0.010625248809561824,pair_eigenmode,factorized_event_path,0.0,1.0,1.0,1.0,0.0,0.86539768,0.8969592805977484,0.031561600597748485,0.63942618,0.6888063468176776,0.04938016681767765,0.36388006,0.3801885291953105,0.016308469195310482,0.04938016681767765
0.45,3.0,1000.0,0.2440330958,1.549901664,2.759910204774996,6.473744485483298,0.010625248809561824,empirical_path,factorized_event_path,6.437151282789877e-06,1.0,1.0,1.0,0.0,0.86539768,0.9015305412328474,0.036132861232847424,0.63942618,0.6991569074449406,0.05973072744494068,0.36388006,0.3885260087042098,0.024645948704209775,0.05973072744494068
0.45,3.0,1000.0,0.2440330958,1.549901664,2.759910204774996,6.473744485483298,0.010625248809561824,gamma_variance_mixture,marginal_variance_mixture,0.0,0.0,1.0,1.0,0.0,0.86539768,0.86563492,0.00023724000000002743,0.63942618,0.64144117,0.00201499000000005,0.36388006,0.37188615,0.008006090000000021,0.008006090000000021
0.45,3.0,1000.0,0.2440330958,1.549901664,2.759910204774996,6.473744485483298,0.010625248809561824,inverse_gaussian_variance_mixture,marginal_variance_mixture,0.0,0.0,1.0,1.0,0.0,0.86539768,0.86587905,0.0004813700000000365,0.63942618,0.64399845,0.004572270000000045,0.36388006,0.37655821,0.01267815,0.01267815
0.45,3.0,2000.0,0.452360035,1.073065314,5.564880510738076,7.883484726844285,0.014808905602831027,independent_jump,factorized_event_path,0.0,1.0,1.0,1.0,0.0,0.77105874,0.7694551290291873,0.00160361097081263,0.47164947,0.45073210527097435,0.020917364729025667,0.21085494,0.1697664788152577,0.0410884611847423,0.0410884611847423
0.45,3.0,2000.0,0.452360035,1.073065314,5.564880510738076,7.883484726844285,0.014808905602831027,disjoint_pair,factorized_event_path,0.0,1.0,1.0,1.0,0.0,0.77105874,0.8022610315453013,0.031202291545301297,0.47164947,0.4969920113976233,0.025342541397623264,0.21085494,0.1940120216749879,0.016842918325012085,0.031202291545301297
0.45,3.0,2000.0,0.452360035,1.073065314,5.564880510738076,7.883484726844285,0.014808905602831027,pair_eigenmode,factorized_event_path,0.0,1.0,1.0,1.0,0.0,0.77105874,0.8328444605816869,0.061785720581686965,0.47164947,0.5460416069656556,0.07439213696565561,0.21085494,0.22390221947042163,0.013047279470421641,0.07439213696565561
0.45,3.0,2000.0,0.452360035,1.073065314,5.564880510738076,7.883484726844285,0.014808905602831027,empirical_path,factorized_event_path,0.00014616999632433014,1.0,1.0,1.0,0.0,0.77105874,0.8444737186331958,0.0734149786331958,0.47164947,0.5686521555040734,0.09700268550407343,0.21085494,0.2380167666214751,0.02716182662147512,0.09700268550407343
0.45,3.0,2000.0,0.452360035,1.073065314,5.564880510738076,7.883484726844285,0.014808905602831027,gamma_variance_mixture,marginal_variance_mixture,0.0,0.0,1.0,1.0,0.0,0.77105874,0.77143365,0.00037491000000000607,0.47164947,0.47201762,0.0003681500000000115,0.21085494,0.2181305,0.007275560000000014,0.007275560000000014
0.45,3.0,2000.0,0.452360035,1.073065314,5.564880510738076,7.883484726844285,0.014808905602831027,inverse_gaussian_variance_mixture,marginal_variance_mixture,0.0,0.0,1.0,1.0,0.0,0.77105874,0.77187308,0.0008143400000000245,0.47164947,0.47508286,0.0034333899999999806,0.21085494,0.22164538,0.010790440000000012,0.010790440000000012
0.58,1.0,20.0,0.166608416,0.5385549106,0.09630959937704466,1.0984061584572011,0.02242872112221946,independent_jump,factorized_event_path,0.0,1.0,1.0,1.0,0.0,0.89771034,0.897493262417568,0.000217077582432057,0.67060915,0.6636216024214228,0.0069875475785772245,0.33025635,0.283613494100846,0.04664285589915396,0.04664285589915396
0.58,1.0,20.0,0.166608416,0.5385549106,0.09630959937704466,1.0984061584572011,0.02242872112221946,disjoint_pair,factorized_event_path,0.0,1.0,1.0,1.0,0.0,0.89771034,0.8975037611550762,0.0002065788449238104,0.67060915,0.6637324790630171,0.006876670936982854,0.33025635,0.28365942621990864,0.04659692378009134,0.04659692378009134
0.58,1.0,20.0,0.166608416,0.5385549106,0.09630959937704466,1.0984061584572011,0.02242872112221946,pair_eigenmode,factorized_event_path,0.0,1.0,1.0,1.0,0.0,0.89771034,0.8975045165811234,0.00020582341887664946,0.67060915,0.6637374485259135,0.006871701474086445,0.33025635,0.28366064373936456,0.04659570626063542,0.04659570626063542
0.58,1.0,20.0,0.166608416,0.5385549106,0.09630959937704466,1.0984061584572011,0.02242872112221946,empirical_path,factorized_event_path,0.0,1.0,1.0,1.0,0.0,0.89771034,0.8975060504808567,0.00020428951914330806,0.67060915,0.6637384201867415,0.006870729813258536,0.33025635,0.28366106854025486,0.04659528145974512,0.04659528145974512
0.58,1.0,20.0,0.166608416,0.5385549106,0.09630959937704466,1.0984061584572011,0.02242872112221946,gamma_variance_mixture,marginal_variance_mixture,0.0,0.0,1.0,1.0,0.0,0.89771034,0.89821683,0.0005064899999999151,0.67060915,0.67434511,0.0037359599999999826,0.33025635,0.33730975,0.007053400000000043,0.007053400000000043
0.58,1.0,20.0,0.166608416,0.5385549106,0.09630959937704466,1.0984061584572011,0.02242872112221946,inverse_gaussian_variance_mixture,marginal_variance_mixture,0.0,0.0,1.0,1.0,0.0,0.89771034,0.89822013,0.0005097899999999544,0.67060915,0.67444022,0.0038310700000000475,0.33025635,0.33785312,0.0075967700000000304,0.0075967700000000304
0.58,1.0,100.0,0.6244853325,0.2825033492,0.6188265036811005,1.3045580070810445,0.06977350706851128,independent_jump,factorized_event_path,0.0,1.0,1.0,1.0,0.0,0.67487421,0.6734906826605512,0.001383527339448798,0.25770579,0.23961614565375502,0.018089644346244965,0.037571402,0.015769575565094736,0.02180182643490526,0.02180182643490526
