temperature,replicate,lag,count_source,kernel_source,residual_source,model_code,count_tail_probability,predicted_msd,observed_msd,msd_relative_error,predicted_ngp,observed_ngp,ngp_absolute_error,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25
0.58,2.0,600.0,calibration,heldout,heldout,chh,1.1102230246251565e-16,3.4238178863758564,3.687875142081927,0.07160146304655035,0.0708712860157894,0.05260664913915636,0.018264636876633045,0.12008348048997157,0.09566220281545856,0.024421277674513006,0.0012925121344593072,-0.0033646927489369453,0.004657204883396253,0.0019967784226200794,0.004720807730679563,0.002724029308059484
0.58,2.0,600.0,heldout,calibration,calibration,hcc,1.606090294392626e-05,3.40081453469022,3.687875142081927,0.07783902554511424,0.06994744905246209,0.05260664913915636,0.017340799913305727,0.1269759218253109,0.09566220281545856,0.03131371900985233,-0.0020752616438720504,-0.0033646927489369453,0.0012894311050648949,0.0015713968931217015,0.004720807730679563,0.0031494108375578617
0.58,2.0,600.0,heldout,calibration,heldout,hch,1.606090294392626e-05,3.4042014965702125,3.687875142081927,0.07692062084064255,0.06957958188757885,0.05260664913915636,0.016972932748422487,0.12662633978087728,0.09566220281545856,0.03096413696541872,-0.0020513318907794727,-0.0033646927489369453,0.0013133608581574726,0.0015239689983772321,0.004720807730679563,0.003196838732302331
0.58,2.0,600.0,heldout,heldout,calibration,hhc,0.0,3.5965910651356605,3.687875142081927,0.02475248576195932,0.07106307910063148,0.05260664913915636,0.018456429961475118,0.10896066894075888,0.09566220281545856,0.01329846612530032,-0.00021314434318658052,-0.0033646927489369453,0.003151548405750365,0.0017941408264045453,0.004720807730679563,0.0029266669042750182
0.58,2.0,600.0,heldout,heldout,heldout,hhh,0.0,3.599978027015653,3.687875142081927,0.023834081057487633,0.07072487925775617,0.05260664913915636,0.01811823011859981,0.10866068534651833,0.09566220281545856,0.012998482531059771,-0.00021068658489832053,-0.0033646927489369453,0.0031540061640386247,0.0017399900751564456,0.004720807730679563,0.0029808176555231177
0.58,3.0,10.0,calibration,calibration,calibration,ccc,0.0,0.14452971954278881,0.10975445504306826,0.3168460404279221,1.082642381915135,0.49736612603232255,0.5852762558828124,0.9123424511211061,0.9306286338583718,0.018286182737265677,0.7217450958216253,0.760305793190972,0.03856069736934675,0.4186106031267524,0.44752078500364273,0.028910181876890317
0.58,3.0,10.0,calibration,calibration,heldout,cch,0.0,0.14731384243023,0.10975445504306826,0.34221287302117465,1.0591616315368673,0.49736612603232255,0.5617955055045447,0.9107345628577286,0.9306286338583718,0.01989407100064322,0.7171512420308207,0.760305793190972,0.04315455116015132,0.41097153945745873,0.44752078500364273,0.036549245546183995
0.58,3.0,10.0,calibration,heldout,calibration,chc,0.0,0.14558432625582346,0.10975445504306826,0.3264548231659057,1.0998099631202676,0.49736612603232255,0.602443837087945,0.9118374760997118,0.9306286338583718,0.018791157758660026,0.7209626229870965,0.760305793190972,0.039343170203875566,0.41819719152038676,0.44752078500364273,0.029323593483255972
0.58,3.0,10.0,calibration,heldout,heldout,chh,0.0,0.14836844914326464,0.10975445504306826,0.35182165575915825,1.0757347691936636,0.49736612603232255,0.5783686431613411,0.910230477790988,0.9306286338583718,0.02039815606738382,0.7163737495776176,0.760305793190972,0.043932043613354455,0.41056567204027283,0.44752078500364273,0.036955112963369896
0.58,3.0,10.0,heldout,calibration,calibration,hcc,0.0,0.14729085646588366,0.10975445504306826,0.34200344221185297,1.0843672978480985,0.49736612603232255,0.5870011718157759,0.9108354073484582,0.9306286338583718,0.019793226509913553,0.7182079467933998,0.760305793190972,0.04209784639757219,0.4152161372816933,0.44752078500364273,0.03230464772194941
0.58,3.0,10.0,heldout,calibration,heldout,hch,0.0,0.15007497935332484,0.10975445504306826,0.36737027480510553,1.0609401571950232,0.49736612603232255,0.5635740311627007,0.9092301750592617,0.9306286338583718,0.021398458799110065,0.7136366066927694,0.760305793190972,0.04666918649820262,0.40763901791223334,0.44752078500364273,0.03988176709140939
0.58,3.0,10.0,heldout,heldout,calibration,hhc,0.0,0.1484091674475362,0.10975445504306826,0.3521926503056265,1.101396550705875,0.49736612603232255,0.6040304246735524,0.9103007122610827,0.9306286338583718,0.020327921597289134,0.7173836078648002,0.760305793190972,0.04292218532617187,0.4147839043503046,0.44752078500364273,0.03273688065333813
0.58,3.0,10.0,heldout,heldout,heldout,hhh,0.0,0.1511932903349774,0.10975445504306826,0.3775594828988791,1.0773979113370378,0.49736612603232255,0.5800317853047152,0.9086964223044001,0.9306286338583718,0.021932211553971737,0.7128175146200665,0.760305793190972,0.04748827857090554,0.40721467263313577,0.44752078500364273,0.040306112370506963
0.58,3.0,20.0,calibration,calibration,calibration,ccc,0.0,0.2189576990311089,0.17092970264885723,0.2809809859724386,0.833799254764301,0.5122257578577492,0.3215734969065518,0.8713238948998381,0.8951448081875134,0.023820913287675327,0.6206261040732944,0.6632518336417978,0.04262572956850341,0.29873258741844705,0.3201497833263796,0.021417195907932562
0.58,3.0,20.0,calibration,calibration,heldout,cch,0.0,0.2236238850169791,0.17092970264885723,0.3082798457584175,0.8086493589995123,0.5122257578577492,0.29642360114176314,0.8686906951201128,0.8951448081875134,0.026454113067400642,0.6135182921722275,0.6632518336417978,0.04973354146957032,0.28862965089926934,0.3201497833263796,0.03152013242711027
