model,replicate,realization,temperature,block_size,radial_bin_count,surrogate_seed,radial_mean_relative_error,radial_standard_deviation_relative_error,lag_one_cosine_mean_absolute_error,lag_one_cosine_quantile_0p10_absolute_error,lag_one_cosine_quantile_0p25_absolute_error,lag_one_cosine_quantile_0p50_absolute_error,lag_one_cosine_quantile_0p75_absolute_error,lag_one_cosine_quantile_0p90_absolute_error,lag_one_cosine_quantile_maximum_absolute_error,normalized_lag_one_dot_correlation_absolute_error,calibration_path_used_in_kernel,heldout_events_used_in_calibration,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,calibration_time,surrogate_realizations_per_replicate,surrogate_base_seed
radial_recoil_markov_surrogate,3.0,2.0,0.45,20.0,8.0,3975858.0,0.0004666890978335392,0.0019269577960654427,2.6021917877538936e-05,0.00014174476111494805,0.00036049209848187935,0.0007394740024244673,0.0022933275235625106,0.0008832827356810569,0.0022933275235625106,0.003581113253350421,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,3.0,0.45,20.0,8.0,4073267.0,7.253141348395609e-05,0.001070348006226185,0.0002116249238492962,0.00023297683595735474,0.0004401026336640079,0.0005219281225704586,0.0007460710176567104,0.0008003320239101108,0.0008003320239101108,0.003725175826183258,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,4.0,0.45,20.0,8.0,4170676.0,0.00035614765254088354,0.00043074562351064216,8.588009998727886e-05,0.0003340986001506563,0.00017414456563313863,7.572822510060195e-05,0.0005360598621801382,0.0013250556435283611,0.0013250556435283611,0.0032899297511125303,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,5.0,0.45,20.0,8.0,4268085.0,0.00048669136559498227,0.0020219012072508757,6.101956155990518e-05,3.8316137503491277e-05,6.868629866862985e-05,0.0002731573741051596,0.00036781940784659517,0.001126720414413307,0.001126720414413307,0.00323521104000718,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,6.0,0.45,20.0,8.0,4365494.0,0.0004042137225872544,0.002017746182705338,0.0010506519385261592,0.00010595561209247872,0.0007378078370625651,0.0017242075127962275,0.0019709971680011568,0.0005983964197051606,0.0019709971680011568,0.003803062847812455,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,7.0,0.45,20.0,8.0,4462903.0,0.0005914359404877167,0.0014006280774574442,0.00023898472684941163,0.0004095110767944332,0.00017414456563313863,0.00023433872673284117,0.0013661134608069364,0.0013724621227960143,0.0013724621227960143,0.0031745290588587882,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,8.0,0.45,20.0,8.0,4560312.0,0.0014782703617679527,0.0018888408902439924,0.0013748536026250147,0.0002930940044645336,0.0006587128101284145,0.0023503560835307358,0.0034270532624889327,0.001451147330869762,0.0034270532624889327,0.002084760586050838,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,9.0,0.45,20.0,8.0,4657721.0,0.0001827500183828601,0.0007821824805890332,0.000740431020323784,0.0001963010992608316,0.0004483465163426237,6.49668362673328e-05,0.0017933280918129846,0.0008586129191269776,0.0017933280918129846,0.002671534515829632,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,10.0,0.45,20.0,8.0,4755130.0,0.0010369737675606228,8.685282830467322e-05,0.0010236594188662296,5.727916901343555e-05,0.00029387008612036247,0.0005858805074836493,0.0025165378616881506,0.0021594090947131828,0.0025165378616881506,0.00239508257562554,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,11.0,0.45,20.0,8.0,4852539.0,0.00026953228582504707,0.001535682248076764,0.001581423751320532,0.00017331070341719546,0.00020766127141980117,0.0018672125614070945,0.0031001218112775564,0.0036353480733988253,0.0036353480733988253,0.002436173910192574,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,12.0,0.45,20.0,8.0,4949948.0,0.0016240111864791462,0.0024732947501711067,0.0007846338730259084,0.00021409989657039663,0.0003296398475722828,0.0008560224502756064,0.0021261523943237742,0.0007011108932704069,0.0021261523943237742,0.002410644150043495,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,13.0,0.45,20.0,8.0,5047357.0,0.0004172693022050922,0.0007699352488703681,0.0002417308137854235,0.00011416071509795511,0.00024977645608403876,0.00034398573594507376,0.0003631336583651418,0.0005100197521875072,0.0005100197521875072,0.00345796355708472,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,14.0,0.45,20.0,8.0,5144766.0,0.0006403763202895707,0.0015437939517071175,0.0004157283398182887,0.0005656687469208777,0.0009355317230185234,0.001118229736016274,0.0004082433126463003,0.001867484371055328,0.001867484371055328,0.002623594140465535,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
radial_recoil_markov_surrogate,3.0,15.0,0.45,20.0,8.0,5242175.0,7.613252939686621e-05,0.00035143938312964806,0.0001730637994648565,0.00013399990916773685,0.0002511459209508793,7.794810515404649e-05,0.00019510909304787383,0.0005349544248656746,0.0005349544248656746,0.002697316187320109,1.0,0.0,0.0,0.0,0.0,5000.0,16.0,781031.0
