model,replicate,realization,temperature,lag,block_size,block_count,particle_window_count,predicted_msd,observed_msd,msd_relative_error,predicted_ngp,observed_ngp,ngp_absolute_error,surrogate_realizations,surrogate_iteration_count,surrogate_base_seed,heldout_path_used_in_prediction,macro_fit_parameter_count,calibration_path_distribution_used,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25
radial_multivariate_surrogate,1.0,3.0,0.58,20.0,20.0,1.0,121249.0,0.1606402341972408,0.16660841604263024,0.03582161085945601,0.5601949371167014,0.5385549106326213,0.021640026484080144,8.0,240.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9011923297630997,0.8977103424506039,0.0034819873124958267,0.6803680039861727,0.6706091522002315,0.009758851785941158,0.34340427088835074,0.3302563514537057,0.01314791943464505
radial_multivariate_surrogate,1.0,3.0,0.58,100.0,20.0,5.0,108141.0,0.6022116700194857,0.6244853324897498,0.035667230776200265,0.18780077676432372,0.2825033492140283,0.09470257244970459,8.0,240.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6793878665239942,0.6748742076596806,0.004513658864313541,0.24644137946450861,0.25770578929215066,0.011264409827642041,0.02278926698307878,0.03757140173250425,0.014782134749425468
radial_multivariate_surrogate,1.0,3.0,0.58,200.0,20.0,10.0,91756.0,1.1489774154454082,1.1970958003749623,0.04019593495732099,0.12984896625872877,0.17003137790337108,0.04018241164464231,8.0,240.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4829351450221744,0.4733264732392782,0.009608671782896205,0.07847293036368327,0.07641999280253814,0.002052937561145135,0.0006522861744282668,0.0035374896626027496,0.002885203488174483
radial_multivariate_surrogate,1.0,3.0,0.58,400.0,20.0,20.0,58986.0,2.251376028919402,2.302522122507715,0.022213073693558627,0.09309058588089969,0.08241548506967367,0.010675100811226024,8.0,240.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2487991429201645,0.2367746362454057,0.012024506674758795,0.011964077851295163,0.005007075510426834,0.006957002340868329,-0.0015318823393908282,-0.0015893870932790705,5.75047538882423e-05
radial_multivariate_surrogate,1.0,3.0,0.58,600.0,20.0,30.0,26216.0,3.361252389695326,3.5092386999443375,0.04217048850263694,0.06411872781181227,0.04880248109629837,0.015316246715513904,8.0,240.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12232229117104806,0.10971466137823888,0.012607629792809188,0.00694900724519154,0.003664696471714173,0.0032843107734773667,0.0027204373916710003,-0.002099056579231919,0.00481949397090292
phase_randomized_cross_spectrum,1.0,4.0,0.58,20.0,20.0,1.0,121249.0,0.1606402341972408,0.16660841604263024,0.03582161085945601,0.057466987160104344,0.5385549106326213,0.48108792347251694,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8987271538733642,0.8977103424506039,0.001016811422760333,0.6548435583219788,0.6706091522002315,0.015765593878252715,0.257560192172764,0.3302563514537057,0.0726961592809417
phase_randomized_cross_spectrum,1.0,4.0,0.58,100.0,20.0,5.0,108141.0,0.5979947625329628,0.6244853324897498,0.042419843315089856,0.10422812300354267,0.2825033492140283,0.17827522621048564,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6767478262015716,0.6748742076596806,0.0018736185418909423,0.2299066881039201,0.25770578929215066,0.027799101188230563,0.016231327190747352,0.03757140173250425,0.021340074541756897
phase_randomized_cross_spectrum,1.0,4.0,0.58,200.0,20.0,10.0,91756.0,1.1403607772029176,1.1970958003749623,0.04739388706757952,0.11467816591602542,0.17003137790337108,0.05535321198734566,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.48325736948330855,0.4733264732392782,0.009930896244030374,0.07809919787063338,0.07641999280253814,0.0016792050680952408,0.005229818610091177,0.0035374896626027496,0.0016923289474884274
phase_randomized_cross_spectrum,1.0,4.0,0.58,400.0,20.0,20.0,58986.0,2.231996139256995,2.302522122507715,0.030629883014504533,0.11087792576012334,0.08241548506967367,0.028462440690449675,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25418101431114754,0.2367746362454057,0.01740637806574183,0.0109471661384236,0.005007075510426834,0.005940090627996766,-0.00046968254144446155,-0.0015893870932790705,0.0011197045518346088
phase_randomized_cross_spectrum,1.0,4.0,0.58,600.0,20.0,30.0,26216.0,3.338782141773931,3.5092386999443375,0.04857365734998598,0.0783058378453596,0.04880248109629837,0.029503356749061238,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12858175102769423,0.10971466137823888,0.018867089649455354,0.0027876264029089498,0.003664696471714173,0.0008770700688052234,0.0027556220469988264,-0.002099056579231919,0.0048546786262307455
radial_multivariate_surrogate,1.0,4.0,0.58,20.0,20.0,1.0,121249.0,0.1606402341972408,0.16660841604263024,0.03582161085945601,0.5601949371167014,0.5385549106326213,0.021640026484080144,8.0,240.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9012217693884153,0.8977103424506039,0.0035114269378113683,0.6805098274911222,0.6706091522002315,0.00990067529089067,0.3438748367639435,0.3302563514537057,0.013618485310237793
radial_multivariate_surrogate,1.0,4.0,0.58,100.0,20.0,5.0,108141.0,0.6005711013496425,0.6244853324897498,0.03829430395869193,0.17598710052705346,0.2825033492140283,0.10651624868697485,8.0,240.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.678991246463576,0.6748742076596806,0.0041170388038953565,0.24318630890889648,0.25770578929215066,0.01451948038325418,0.022444659781015227,0.03757140173250425,0.015126741951489022
radial_multivariate_surrogate,1.0,4.0,0.58,200.0,20.0,10.0,91756.0,1.143686340810565,1.1970958003749623,0.04461586077544333,0.11841798003105919,0.17003137790337108,0.051613397872311895,8.0,240.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4822060877799782,0.4733264732392782,0.00887961454070002,0.07828480701587509,0.07641999280253814,0.0018648142133369516,0.003322522240876673,0.0035374896626027496,0.00021496742172607674
radial_multivariate_surrogate,1.0,4.0,0.58,400.0,20.0,20.0,58986.0,2.2154818888862975,2.302522122507715,0.0378021269678922,0.09130638742941732,0.08241548506967367,0.008890902359743658,8.0,240.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2482169415935922,0.2367746362454057,0.011442305348186493,0.007177832064107102,0.005007075510426834,0.0021707565536802677,-0.0013514334280428511,-0.0015893870932790705,0.00023795366523621936
radial_multivariate_surrogate,1.0,4.0,0.58,600.0,20.0,30.0,26216.0,3.300151381489816,3.5092386999443375,0.05958195960218893,0.06573625200105981,0.04880248109629837,0.016933770904761447,8.0,240.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1207233041074881,0.10971466137823888,0.01100864272924923,-0.0018514747162882142,0.003664696471714173,0.005516171188002387,0.003752695383184094,-0.002099056579231919,0.005851751962416014
phase_randomized_cross_spectrum,1.0,5.0,0.58,20.0,20.0,1.0,121249.0,0.1606402341972408,0.16660841604263024,0.03582161085945601,0.06254897034479812,0.5385549106326213,0.47600594028782317,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8987580513418592,0.8977103424506039,0.0010477088912552723,0.6551860297919929,0.6706091522002315,0.015423122408238621,0.2591361028617609,0.3302563514537057,0.07112024859194477
phase_randomized_cross_spectrum,1.0,5.0,0.58,100.0,20.0,5.0,108141.0,0.5981121019380188,0.6244853324897498,0.04223194553919152,0.09958588235422816,0.2825033492140283,0.18291746685980015,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6764511687381097,0.6748742076596806,0.0015769610784290844,0.2275407780912094,0.25770578929215066,0.030165011200941255,0.014977336798266632,0.03757140173250425,0.022594064934237615
phase_randomized_cross_spectrum,1.0,5.0,0.58,200.0,20.0,10.0,91756.0,1.1381592330838681,1.1970958003749623,0.049232958024440276,0.1009973202506107,0.17003137790337108,0.06903405765276038,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.48225062509030187,0.4733264732392782,0.008924151851023687,0.0750685079884418,0.07641999280253814,0.001351484814096346,0.001640658338231106,0.0035374896626027496,0.0018968313243716436
phase_randomized_cross_spectrum,1.0,5.0,0.58,400.0,20.0,20.0,58986.0,2.217165759813795,2.302522122507715,0.03707081111601085,0.1071656665535643,0.08241548506967367,0.024750181483890632,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2530877176322404,0.2367746362454057,0.01631308138683471,0.013748346095186149,0.005007075510426834,0.008741270584759315,-0.0009731084898619095,-0.0015893870932790705,0.000616278603417161
