temperature,model_code,lag,replicate_count,predicted_msd,observed_msd,msd_relative_error,predicted_fourth_moment,observed_fourth_moment,predicted_ngp,observed_ngp,ngp_absolute_error,maximum_count_tail_probability,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25
0.45,chh,100.0,3.0,0.061405240005351774,0.057100198209926144,0.07539451578781486,0.015356357870297965,0.01411335245273373,1.4435915157608386,1.5972048553147098,0.15361333955387124,9.956187795312488e-07,0.9609687460466173,0.9636844599785942,0.002715713931976893,0.8615398109205339,0.8709383880301901,0.009398577109656192,0.646903826711399,0.6685948251395887,0.021690998428189667
0.45,chh,200.0,3.0,0.07975237006909587,0.07520056123369137,0.0605289210709401,0.02959276753064392,0.028383001374182756,1.7915771604288069,2.011392781175742,0.21981562074693528,1.5232470345072358e-06,0.9504147342214005,0.9533016497076988,0.0028869154862982693,0.8322545265082679,0.8424183294324846,0.010163802924216703,0.599650455163749,0.6236796305483269,0.024029175384577828
0.45,chh,500.0,3.0,0.12889583498785329,0.1262955126161884,0.02058919052466468,0.08358833136449224,0.08409026771246454,2.0186943204187853,2.163159893849566,0.14446557343078092,1.2466455748594285e-05,0.9237610119190252,0.9255414798411173,0.0017804679220921882,0.766606819263723,0.7737458591055776,0.0071390398418546,0.510175680350251,0.5291930232489127,0.01901734289866175
0.45,chh,1000.0,3.0,0.2079841562079392,0.2096882357573943,0.00812672939566661,0.20749890786867423,0.2133528256573274,1.8781045126647613,1.911397588989531,0.03329307632476963,1.9491075828104165e-05,0.8842586592422091,0.8837103017827217,0.0005483574594874474,0.6830537144821404,0.6839386458670308,0.0008849313848904306,0.41749186087613777,0.4252107551608982,0.007718894284760414
0.45,chh,2000.0,3.0,0.3672638285957765,0.3804918087436149,0.03476547942389929,0.5566521115529035,0.5843678384835524,1.4761605299758274,1.4218482813129847,0.05431224866284268,1.1102230246251565e-16,0.8122449395532495,0.8061750197934495,0.00606991975979998,0.5530623648294603,0.5420765220261176,0.010985842803342694,0.2979520529839605,0.2894792740466868,0.008472778937273717
0.45,chh,3000.0,3.0,0.5195529836950245,0.5428630069869955,0.04293905274803422,1.003346286847301,1.0655669393941465,1.2301928118173162,1.1694592246975226,0.0607335871197936,0.00013859727401044353,0.7507794901597302,0.7409790220423944,0.009800468117335814,0.45916198934971014,0.44362214992805216,0.015539839421657986,0.22529477110576324,0.2129683136864647,0.012326457419298525
0.45,chh,4096.0,3.0,0.6747775217665734,0.7020352157102732,0.03882667611783874,1.5264590666430775,1.6170913307904564,1.0114775942935235,0.9686476986099484,0.04282989568357509,0.0004095530250710633,0.6921026280158751,0.681698915318509,0.010403712697366063,0.37887261208871137,0.36547921475070194,0.013393397338009427,0.16803504997313445,0.1585948106586421,0.009440239314492366
0.45,hhh,20.0,3.0,0.04232757275780691,0.03949186469853002,0.07180486616481385,0.005344288389269508,0.004358074301659739,0.7897583865558759,0.6766043934790436,0.11315399307683238,0.0,0.9724678176037784,0.9742347768868319,0.001766959283053482,0.8970576382218981,0.9029575283359126,0.005899890114014483,0.714293011281763,0.7268548226920929,0.01256181141032986
0.45,hhh,50.0,3.0,0.05094370014372059,0.04695635520102237,0.0849159805020685,0.009184803575465186,0.007866374695904966,1.1234407745204407,1.1406078866688234,0.017167112148382735,1.1102230246251565e-16,0.9671978918844677,0.9696913070864693,0.0024934152020016365,0.880238694880728,0.8886703237343586,0.00843162885363058,0.6809289511054413,0.6995204967944827,0.018591545689041422
0.45,hhh,100.0,3.0,0.06203885248732904,0.057100198209926144,0.08649101810901194,0.015756660600735734,0.01411335245273373,1.456336820488613,1.5972048553147098,0.1408680348260969,2.220446049250313e-16,0.9605957376242488,0.9636844599785942,0.00308872235434543,0.8604607546011321,0.8709383880301901,0.010477633429057942,0.6451894028586774,0.6685948251395887,0.023405422280911248
0.45,hhh,200.0,3.0,0.08089902247398394,0.07520056123369137,0.07577684457146772,0.03051465444963358,0.028383001374182756,1.7975197344468783,2.011392781175742,0.21387304672886387,1.1102230246251565e-16,0.9497610093021566,0.9533016497076988,0.0035406404055422502,0.8304940378222111,0.8424183294324846,0.01192429161027353,0.5971458739353824,0.6236796305483269,0.026533756612944437
0.45,hhh,500.0,3.0,0.1318201480009891,0.1262955126161884,0.04374371876212302,0.08706622745258612,0.08409026771246454,2.0063351013609796,2.163159893849566,0.1568247924885866,0.0,0.922201595379589,0.9255414798411173,0.0033398844615283307,0.7629207808103735,0.7737458591055776,0.010825078295204071,0.5058316075885981,0.5291930232489127,0.023361415660314577
0.45,hhh,1000.0,3.0,0.21375772970140794,0.2096882357573943,0.01940735458674947,0.2167697071078298,0.2133528256573274,1.846467206316702,1.911397588989531,0.06493038267282891,1.1102230246251565e-16,0.8813966887315394,0.8837103017827217,0.002313613051182273,0.6770753199147835,0.6839386458670308,0.006863325952247257,0.411297769028441,0.4252107551608982,0.013912986132457172
0.45,hhh,2000.0,3.0,0.3812728443162716,0.3804918087436149,0.002052700096844884,0.5876100770311651,0.5843678384835524,1.4253182613068396,1.4218482813129847,0.003469979993854899,2.220446049250313e-16,0.8059751960330609,0.8061750197934495,0.0001998237603886288,0.542138072788375,0.5420765220261176,6.155076225744516e-05,0.2890274694558572,0.2894792740466868,0.00045180459082955204
0.45,hhh,3000.0,3.0,0.5407671523341907,0.5428630069869955,0.0038607431816679583,1.0654176546074607,1.0655669393941465,1.186001886443849,1.1694592246975226,0.01654266174632646,1.1102230246251565e-16,0.7422281796571665,0.7409790220423944,0.0012491576147720673,0.446945863039746,0.44362214992805216,0.0033237131116938268,0.2174793054795285,0.2129683136864647,0.004510991793063801
0.45,hhh,4096.0,3.0,0.6958409323056608,0.7020352157102732,0.008823322913146692,1.6019599131171347,1.6170913307904564,0.9851025636635009,0.9686476986099484,0.016454865053552536,1.1102230246251565e-16,0.6845520348188373,0.681698915318509,0.002853119500328294,0.37143430045664355,0.36547921475070194,0.00595508570594161,0.16626692279186192,0.1585948106586421,0.007672112133219833
0.58,ccc,10.0,5.0,0.14143915023967135,0.10748781085615214,0.3158622276618446,0.0698369806360473,0.029224333071752633,1.0945822943521466,0.5176702584574213,0.5769120358947253,0.0,0.9141045428685277,0.9320426574001933,0.017938114531665605,0.7263911815118695,0.7648964558318289,0.038505274319959315,0.4245810899008847,0.45575524978039256,0.031174159879507835
0.58,ccc,20.0,5.0,0.213907980131552,0.1664470675350989,0.28514117610660183,0.1409178199470055,0.07085669523708141,0.8478350158612764,0.5345457720903428,0.3132892437709336,1.1102230246251565e-16,0.874067104413189,0.8977986067917458,0.023731502378556812,0.6270413157911253,0.6708725623542008,0.043831246563075466,0.3055612182619213,0.33086790404330846,0.025306685781387173
